Reduced Composition,row_count,log10_min,log10_max,log10_span,IDs,conductivities,DOIs
Li4Zn(PO4)2,2,-17.255707016877324,-10.0,7.255707016877324,5zv|gxz,5.55e-18|<1E-10,10.1021/acs.chemmater.7b05139|10.1021/acs.chemmater.7b05139
Li3PO4,2,-17.3767507096021,-12.756961951313706,4.619788758288394,w7d|9lo,4.2e-18|1.75e-13,10.1006/jssc.1995.1140|10.1021/acs.chemmater.8b01504
Li2PS3,2,-9.795880017344075,-6.623423042943488,3.1724569744005873,0iv|2ro,2.38e-07|1.6e-10,10.1016/j.ssi.2015.10.015|10.1021/acs.chemmater.6b04175
Li3BN2,2,-9.795880017344075,-7.060480747381382,2.7353992699626932,5bz|qa9,8.7e-08|1.6e-10,10.1016/0022-4596(87)90135-6|10.1016/0022-4596(87)90135-6
Li4SnSe4,2,-7.346787486224656,-4.698970004336019,2.6478174818886373,2uv|mn3,2e-05|4.5e-08,10.1021/cm400541n|10.1021/acs.chemmater.0c04150
LiTi2(PO4)3,5,-6.416801226031377,-3.7931741239681505,2.6236271020632267,qea|qno|019|yp3|rr5,2e-06|3.83e-07|0.000161|6e-05|7.2e-05,10.1149/1.2086597|10.1021/jp973296c|10.1021/ic400577v|10.1016/j.ssi.2014.07.018|10.1007/s11164-013-1348-0
Li7La3Zr2O12,5,-5.787812395596042,-3.2448877336049287,2.5429246619911132,2mn|wyu|9p1|etz|3qz,0.000511|1.63e-06|0.000569|1.97e-06|0.00012,10.1002/anie.200701144|10.1016/j.jssc.2009.05.020|10.1016/j.ssi.2010.12.010|10.1039/c1cp22108f|10.1039/c2jm31413d
Li7La3Hf2O12,2,-6.006563769502388,-3.619788758288394,2.386775011213994,32j|ipo,0.00024|9.85e-07,10.1007/s11581-010-0486-2|10.1016/j.jssc.2009.10.030
Li6PS5I,3,-5.8996294548824375,-3.657577319177794,2.2420521357046437,p9u|ywe|5wz,0.00022|1.3e-06|1.26e-06,10.1002/pssa.201001117|10.1021/jacs.7b06327|10.1021/jacs.8b10282
Li1.3Ti1.7Al0.3P3O12,5,-4.425968732272281,-2.207608310501746,2.218360421770535,9s4|kab|lap|mg4|ym6,0.000722|3.75e-05|0.00113|0.0062|0.00121,10.1149/1.2086597|10.1016/s0955-2219(99)00055-2|10.1016/j.ssi.2012.03.045|10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010
Li6PS5Br,4,-4.494850021680094,-2.5575202309355514,1.9373297907445424,w87|6jf|nig|9zr,3.2e-05|0.00115|0.00277|0.000701,10.1002/pssa.201001117|10.1021/jacs.7b06327|10.1021/acs.inorgchem.8b02443|10.1039/c7ta08581h
Li2ZrCl6,9,-5.0,-3.0915149811213505,1.9084850188786495,v63|v50|trv1_0033|trv1_0041|qtx|nek|trv1_0061|trv1_0083|trv1_0136,0.0004|0.00081|4.17e-4|2.94e-4|0.00012|0.000397|4.0e-4|1.50e-4|1.0e-5,10.1002/aenm.202003190|10.1038/s41467-021-24697-2|10.1002/aenm.202405760|10.1002/smll.202407418|10.1016/j.ensm.2024.103444|10.1016/j.est.2024.111700|10.1002/smll.202505926|10.1021/acs.jpcc.5c05412|10.1021/acsaem.6c01288
LiGe2(PO4)3,2,-8.316052869248487,-6.47755576649368,1.8384971027548076,4ba|ldx,3.33e-07|4.83e-09,10.1002/chin.199345017|10.1021/acsami.8b00842
Li6PS5Cl,3,-4.481486060122112,-2.688246138944246,1.7932399211778662,97p|tt3|122,3.3e-05|0.0013|0.00205,10.1002/pssa.201001117|10.1016/j.ssi.2012.06.008|10.1021/jacs.7b06327
Li3ClO,2,-3.070581074285707,-1.6020599913279623,1.4685210829577449,trv1_0001|4p7,8.5e-4|0.025,10.1021/ja308741y|10.1039/c3ta15087a
LiAlCl4,2,-6.0,-4.5376020021010435,1.4623979978989565,p81|v80,1e-06|0.000029,10.1149/1.2133238|10.1021/acsmaterialslett.1c00055
Li1.2Ti1.8Cr0.2P3O12,2,-4.739928612014925,-3.3665315444204134,1.3733970675945115,f4x|pwy,1.82e-05|0.00043,10.1149/1.2086597|10.1016/j.ssi.2014.07.018
Li1.5Ti1.5Al0.5P3O12,2,-4.958607314841775,-3.6055483191737836,1.353058995667991,xa0|nf0,0.000248|1.1e-05,10.1149/1.2086597|10.1021/cm010528i
Li1.1Ti1.9Al0.1P3O12,2,-4.522878745280337,-3.1739251972991736,1.3489535479811638,yq2|hyj,3e-05|0.00067,10.1016/s0955-2219(99)00055-2|10.1016/j.ssi.2014.07.018
Li5La3Ta2O12,4,-5.8124792791635365,-4.468521082957745,1.3439581962057918,ka6|8k7|hcm|gz8,6.61e-06|1.54e-06|3.4e-05|1.59e-05,10.1007/s11581-007-0097-8|10.1016/j.ssi.2009.11.015|10.1149/2.024205esl|10.1021/acs.inorgchem.7b00816
Li10Ge(PS6)2,6,-2.844663962534938,-1.609064892896621,1.2355990696383172,1hh|j8q|nkr|mtn|zzr|trv1_0011,0.012|0.0121|0.00143|0.0246|0.0076|1.2e-2,10.1038/nmat3066|10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886|10.1016/j.ssi.2017.01.014|10.1021/acs.chemmater.8b00266|10.1021/jacs.0c10735|10.1039/d1ta06338c
Li1.4Ti1.6Al0.4P3O12,5,-3.4111682744057927,-2.2494916051486538,1.161676669257139,iqt|w3n|50s|rg6|oxc,0.000388|0.00112|0.0033|0.00338|0.00563,10.1149/1.2086597|10.1016/j.materresbull.2007.08.007|10.1016/j.ssi.2014.07.018|10.1016/j.jeurceramsoc.2014.11.023|10.1039/c5ta08545d
Li1.3Hf1.7In0.3P3O12,2,-5.0,-3.8477116556169433,1.1522883443830567,ppz|9l3,1e-05|0.000142,10.1016/0167-2738(86)90179-7|10.1016/0167-2738(93)90387-i
Li1.3Ti1.7Fe0.3P3O12,2,-3.6090648928966207,-2.638272163982407,0.9707927289142138,t9r|b9u,0.000246|0.0023,10.1149/1.2086597|10.1016/j.ssi.2014.07.018
Li3YCl6,6,-4.216096420727265,-3.2684112348132612,0.9476851859140036,ei3|v78|yz0|v65|trv1_0022|trv1_0049,0.000539|0.0000608|0.00007|0.000345|1.53e-4|2.6e-4,10.1002/adma.201803075|10.1021/acs.nanolett.0c01156|10.1021/acsenergylett.9b02599|10.1126/sciadv.abh1896|10.1007/s10008-023-05612-9|10.1021/acsami.4c01352
Li1.3Ti1.7Cr0.3P3O12,2,-4.454692883534176,-3.537602002101044,0.9170908814331322,txm|y9l,3.51e-05|0.00029,10.1149/1.2086597|10.1016/j.ssi.2014.07.018
Li1.2Ti1.8Al0.2P3O12,3,-3.2254830342714502,-2.3169529617611504,0.9085300725102998,my9|yqu|z9y,0.000595|0.00482|0.00338,10.1149/1.2086597|10.1021/ic400577v|10.1016/j.jeurceramsoc.2014.11.023
Li0.33La0.56Ti1O3,3,-3.7825160557860937,-2.886056647693163,0.8964594080929307,vwy|v7r|2ha,0.000668|0.0013|0.000165,10.1016/s0167-2738(98)00070-8|10.1016/s0167-2738(98)00070-8|10.1016/j.jallcom.2013.04.195
Li1.2Ti1.8Fe0.2P3O12,2,-3.744727494896694,-2.853871964321762,0.8908555305749322,6st|kbp,0.00018|0.0014,10.1149/1.2086597|10.1016/j.ssi.2014.07.018
