audit_stage,duplicate_group,Reduced Composition,normalized_DOIs,candidate_rows,sources,IDs,conductivities,log10_min,log10_max,log10_span,kept_source,kept_ID,kept_conductivity,dropped_rows
doi_formula,95,Li2ZnGe3O8,10.1039/a800234g,2,v1|caltech,mfs|caltech_icsd_86169,1e-10|2.7e-31,-30.568636235841012,-10.0,20.568636235841012,v1,mfs,1e-10,1
doi_formula,181,LiGd(PO3)4,10.1016/j.jssc.2006.06.003,2,v1|caltech,00x|caltech_icsd_416442,1e-10|3.99e-25,-24.39902710431325,-10.0,14.399027104313252,v1,00x,1e-10,1
doi_formula,205,LiB6O9F,10.1002/zaac.200900056,2,v1|caltech,mde|caltech_icsd_420286,1e-10|3.98e-23,-22.400116927926312,-10.0,12.400116927926312,v1,mde,1e-10,1
formula_span,,Li3VO4,10.1016/s0924-0136(01)01044-5|10.1021/acs.chemmater.8b01504|10.1039/c5ta07823g,3,v1|caltech|liverpool,h6c|caltech_icsd_239303|liverpool_716_0598,9.2e-14|4.37e-18|1.67e-06,-17.359518563029578,-5.777283528852417,11.582235034177161,liverpool,liverpool_716_0598,1.67e-06,2
formula_span,,Li2B3PO8,10.1016/j.ssi.2014.10.009|10.1039/c4dt01670j,2,caltech|caltech,caltech_icsd_192496|caltech_icsd_193168,5.17e-15|0.00052,-14.286509456906057,-3.283996656365201,11.002512800540856,caltech,caltech_icsd_193168,0.00052,1
doi_formula,94,Li2CoGe3O8,10.1039/a800234g,2,v1|caltech,aui|caltech_icsd_86167,1e-10|1.58e-21,-20.801342913045577,-10.0,10.801342913045577,v1,aui,1e-10,1
doi_formula,297,Li4P2O7,10.1016/j.jssc.2013.12.015,2,v1|caltech,47i|caltech_icsd_248414,1e-10|1.8e-20,-19.744727494896694,-10.0,9.744727494896694,v1,47i,1e-10,1
doi_formula,412,KNa2Li3Fe2(Si2O5)6,10.1016/j.jssc.2018.05.008,2,v1|caltech,uex|caltech_icsd_235750,1e-10|1.91e-19,-18.718966632752274,-10.0,8.718966632752274,v1,uex,1e-10,1
doi_formula,93,Li2Ti3CoO8,10.1039/a800234g,2,v1|caltech,i12|caltech_icsd_86166,1e-10|9.62e-19,-18.016824927962187,-10.0,8.016824927962187,v1,i12,1e-10,1
doi_formula,46,Li6Ge2O7,10.4028/www.scientific.net/msf.76.107,2,v1|caltech,lkm|caltech_icsd_31050,8.5e-07|9.97e-15,-14.001304841688345,-6.070581074285707,7.930723767402638,v1,lkm,8.5e-07,1
doi_formula,373,LiGaGeO4,10.1149/2.1111610jes,2,v1|caltech,um1|caltech_icsd_257739,1e-10|9.62e-18,-17.016824927962187,-10.0,7.016824927962187,v1,um1,1e-10,1
doi_formula,371,Li1Al0.5Ga0.5Ge1O4,10.1149/2.1111610jes,2,v1|caltech,bnu|caltech_icsd_257740,1e-10|1.3e-17,-16.886056647693163,-10.0,6.886056647693163,v1,bnu,1e-10,1
doi_formula,374,LiScO2,10.2320/matertrans.y-m2016816,2,v1|caltech,sg0|caltech_icsd_257819,1e-10|1.36e-17,-16.866461091629784,-10.0,6.866461091629784,v1,sg0,1e-10,1
formula_span,,LiScO2,10.1016/0167-2738(81)90021-7|10.2320/matertrans.y-m2016816,2,v1|caltech,sg0|caltech_icsd_36124,1e-10|2.74e-17,-16.562249437179613,-10.0,6.562249437179613,v1,sg0,1e-10,1
formula_span,,LiGaO2,10.1007/bf00549810|10.1021/acs.chemmater.9b04540,2,v1|caltech,bsa|caltech_icsd_14987,2.4e-14|5e-08,-13.619788758288394,-7.301029995663981,6.318758762624412,caltech,caltech_icsd_14987,5e-08,1
formula_span,,Li4GeO4,10.1016/0025-5408(76)90235-x|10.1021/acs.chemmater.0c04150|10.1021/acs.chemmater.8b01504|10.1111/j.1151-2916.1976.tb10985.x,4,v1|caltech|caltech|liverpool,dth|caltech_icsd_18096|caltech_icsd_112252|liverpool_705_0588,1.3e-12|2.8e-10|2.6e-06|3.1e-12,-11.886056647693163,-5.585026652029182,6.301029995663981,caltech,caltech_icsd_112252,2.6e-06,3
doi_formula,372,LiAlGeO4,10.1149/2.1111610jes,2,v1|caltech,kxw|caltech_icsd_257741,1e-10|2.22e-16,-15.653647025549361,-10.0,5.653647025549361,v1,kxw,1e-10,1
doi_formula,130,Li1.96Ca1.9P6Pb6.12O24,10.1006/jssc.2002.9596,2,v1|caltech,hai|caltech_icsd_59615,1e-10|2.25e-16,-15.647817481888637,-10.0,5.647817481888637,v1,hai,1e-10,1
doi_formula,150,Li3Cr(MoO4)3,10.1039/b301189e,3,v1|caltech|liverpool,2r7|caltech_icsd_247057|liverpool_2022_0811,3.19e-09|9.59e-15|3.19e-09,-14.018181392829337,-8.496209316942819,5.521972075886518,v1,2r7,3.19e-09,2
doi_formula,117,LiNdTiO4,10.4028/www.scientific.net/msf.321-324.965,2,v1|caltech,3rx|caltech_icsd_91844,1e-10|7.68e-16,-15.114638779968487,-10.0,5.114638779968487,v1,3rx,1e-10,1
doi_formula,273,Li3AlF6,10.1149/2.012206eel,2,v1|caltech,l9v|caltech_icsd_85171,5e-07|4.7e-12,-11.327902142064282,-6.301029995663981,5.026872146400301,v1,l9v,5e-07,1
doi_formula,152,Li3Fe(MoO4)3,10.1039/b301189e,3,v1|caltech|liverpool,mfu|caltech_icsd_16176|liverpool_2024_0813,5.89e-10|6.26e-15|5.89e-10,-14.20342566678957,-9.229884705212898,4.973540961576672,v1,mfu,5.89e-10,2
doi_formula,204,LiBO2,10.1140/epjst/e2008-00753-4,2,v1|caltech,n27|caltech_icsd_200891,1e-08|2.07e-13,-12.684029654543082,-8.0,4.684029654543082,v1,n27,1e-08,1
doi_formula,5,Li2ZrO3,10.1016/0167-2738(81)90021-7,2,v1|caltech,t0h|caltech_icsd_94894,6.1e-10|1.32e-14,-13.87942606879415,-9.214670164989233,4.664755903804917,v1,t0h,6.1e-10,1
doi_formula,4,LiYO2,10.1016/0167-2738(81)90021-7,2,v1|caltech,bv2|caltech_icsd_45511,1.8e-08|4.93e-13,-12.30715308072277,-7.7447274948966935,4.562425585826077,v1,bv2,1.8e-08,1
doi_formula,116,LiLaTiO4,10.4028/www.scientific.net/msf.321-324.965,2,v1|caltech,nua|caltech_icsd_91843,1e-10|4.98e-15,-14.302770657240282,-10.0,4.302770657240282,v1,nua,1e-10,1
formula_span,,Li3PO4,10.1006/jssc.1995.1140|10.1021/acs.chemmater.8b01504,2,caltech|liverpool,caltech_icsd_20208|liverpool_541_0446,9.8e-18|1.75e-13,-17.008773924307505,-12.756961951313706,4.251811972993799,liverpool,liverpool_541_0446,1.75e-13,1
doi_formula,0,Li5AlO4,10.1016/0025-5408(76)90169-0,2,v1|caltech,5z0|caltech_icsd_16229,5e-10|2.9e-14,-13.537602002101044,-9.301029995663981,4.236572006437063,v1,5z0,5e-10,1
formula_span,,Li1.3Ti1.7Al0.3P3O12,10.1007/s11581-007-0197-5|10.1016/j.ensm.2021.10.003|10.1016/j.ssi.2012.03.045|10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010|10.1016/s0955-2219(99)00055-2|10.1021/acs.chemmater.9b04899|10.1149/1.2086597,8,caltech|caltech|caltech|liverpool|liverpool|liverpool|liverpool|liverpool,caltech_icsd_18657|caltech_icsd_36778|caltech_icsd_257190|liverpool_26_0020|liverpool_27_0021|liverpool_98_0079|liverpool_451_0369|liverpool_496_0412,0.00171|0.00045838|0.0051|0.0062|0.00121|5.2e-07|0.00216|0.003,-6.2839966563652006,-2.207608310501746,4.076388345863455,liverpool,liverpool_26_0020,0.0062,7
doi_formula,66,Li0.38Sm0.52Ti1O2.97,10.1016/0167-2738(94)90310-7,2,v1|liverpool,i6k|liverpool_605_0501,2e-07|0.0015,-6.698970004336019,-2.8239087409443187,3.8750612633917,v1,i6k,2e-07,1
formula_span,,LiZr2(PO4)3,10.1016/0025-5408(86)90194-7|10.1016/0167-2738(90)90188-w|10.1016/0167-2738(94)90332-8|10.1016/j.jpowsour.2013.03.175,4,v1|liverpool|liverpool|liverpool,ur9|liverpool_387_0317|liverpool_391_0321|liverpool_535_0441,1e-09|3.3e-06|5e-08|5e-08,-9.0,-5.481486060122113,3.518513939877887,liverpool,liverpool_387_0317,3.3e-06,3
doi_formula,220,Li6Zr2O7,10.3103/s1062873810050199,2,v1|caltech,tws|caltech_icsd_73835,5.2e-10|1.6e-13,-12.795880017344075,-9.2839966563652,3.5118833609788744,v1,tws,5.2e-10,1
doi_formula,375,Li0.9Zr0.1Sc0.9O2,10.2320/matertrans.y-m2016816,2,v1|caltech,97b|caltech_icsd_257820,1e-10|3.92e-14,-13.406713932979542,-10.0,3.4067139329795424,v1,97b,1e-10,1
doi_formula,1161,Li4Zn(PO4)2,10.1021/acs.chemmater.7b05139,2,caltech|caltech,caltech_icsd_255464|caltech_icsd_255465,5.44e-18|1.19e-14,-17.26440110030182,-13.924453038607469,3.3399480616943524,caltech,caltech_icsd_255464,5.44e-18,1
doi_formula,62,LiLaNb2O7,10.1016/0925-8388(93)90192-p,2,v1|caltech,ia5|caltech_icsd_72566,1e-08|4.95e-12,-11.30539480106643,-8.0,3.3053948010664307,v1,ia5,1e-08,1
doi_formula,232,LiSbO2,10.1021/ic201183e,2,v1|caltech,1xt|caltech_icsd_262075,1e-10|5.66e-14,-13.247183568811728,-10.0,3.247183568811728,v1,1xt,1e-10,1
formula_span,,Li6PS5I,10.1002/zaac.201100158|10.1007/s10008-011-1572-8|10.1021/acs.chemmater.9b01857|10.1021/jacs.7b06327,4,caltech|caltech|caltech|liverpool,caltech_icsd_259204|caltech_icsd_403591|caltech_icsd_418489|liverpool_582_0479,1.3e-06|1.71e-06|4.1e-07|0.00063,-6.3872161432802645,-3.2006594505464183,3.1865566927338462,liverpool,liverpool_582_0479,0.00063,3
formula_span,,Li2PS3,10.1016/j.ssi.2015.10.015|10.1021/acs.chemmater.6b04175,2,caltech|liverpool,caltech_icsd_242170|liverpool_783_0653,2.38e-07|1.6e-10,-9.795880017344075,-6.623423042943488,3.1724569744005873,caltech,caltech_icsd_242170,2.38e-07,1
doi_formula,1,Li5GaO4,10.1016/0025-5408(76)90169-0,2,v1|caltech,9zk|caltech_icsd_9082,5e-09|5.33e-12,-11.273272790973428,-8.301029995663981,2.9722427953094464,v1,9zk,5e-09,1
doi_formula,358,Sr2Li2Al(PO4)3,10.1016/j.jssc.2016.08.006,2,v1|caltech,kbo|caltech_icsd_431319,1e-10|1.36e-13,-12.866461091629782,-10.0,2.866461091629782,v1,kbo,1e-10,1
doi_formula,1034,Li3PS4,10.1021/ja3110895,3,caltech|caltech|liverpool,caltech_icsd_180318|caltech_icsd_180319|liverpool_792_0662,2.6e-07|8.93e-07|0.00016,-6.585026652029182,-3.795880017344075,2.789146634685107,caltech,caltech_icsd_180318,2.6e-07,2
doi_formula,11,LiGaO2,10.1007/bf00549810,2,v1|caltech,bsa|caltech_icsd_18152,2.4e-14|4.12e-17,-16.385102783966865,-13.619788758288394,2.765314025678471,v1,bsa,2.4e-14,1
formula_span,,Li4SnSe4,10.1021/acs.chemmater.0c04150|10.1021/cm400541n,2,caltech|caltech,caltech_icsd_111758|caltech_icsd_193768,4.79e-08|2e-05,-7.319664486585436,-4.698970004336019,2.6206944822494176,caltech,caltech_icsd_193768,2e-05,1
formula_span,,Li7La3Zr2O12,10.1002/anie.200701144|10.1016/j.jpowsour.2012.02.031|10.1016/j.jssc.2009.05.020|10.1016/j.materresbull.2012.01.027|10.1016/j.ssi.2010.12.010|10.1016/j.ssi.2013.09.008|10.1016/j.ssi.2020.115312|10.1021/acs.chemmater.9b03526,8,caltech|caltech|caltech|caltech|caltech|caltech|liverpool|liverpool,caltech_icsd_14991|caltech_icsd_19912|caltech_icsd_183684|caltech_icsd_184230|caltech_icsd_238687|caltech_icsd_422259|liverpool_17_0011|liverpool_867_0725,4.86e-06|2.58e-05|1.63e-06|2.85e-06|9.9e-06|0.000569|0.000511|2.3e-05,-5.787812395596042,-3.2448877336049287,2.5429246619911132,caltech,caltech_icsd_422259,0.000569,7
doi_formula,779,Li1.5Ti1.5Al0.5P3O12,10.1021/cm010528i,2,caltech|liverpool,caltech_icsd_19905|liverpool_430_0354,0.0038|1.1e-05,-4.958607314841775,-2.42021640338319,2.5383909114585848,caltech,caltech_icsd_19905,0.0038,1
doi_formula,286,Li2PNO2,10.1016/j.ssi.2012.12.013,2,v1|caltech,cdk|caltech_icsd_188493,1e-10|3.29e-08,-10.0,-7.482804102050026,2.517195897949974,v1,cdk,1e-10,1
doi_formula,1087,Li6CoCl8,10.1002/zaac.19875531020,2,caltech|liverpool,caltech_icsd_202401|liverpool_2030_0819,4.6e-09|1.51e-06,-8.337242168318426,-5.82102305270683,2.5162191156115954,caltech,caltech_icsd_202401,4.6e-09,1
formula_span,,Li2HClO,10.1002/aenm.201700971|10.1016/j.jssc.2020.121263|10.1021/acs.inorgchem.0c01631|10.1039/d2ta01462a,4,v1|caltech|caltech|liverpool,trv1_0014|caltech_icsd_19668|caltech_icsd_120969|liverpool_5_0005,1.93e-06|1.4e-07|6.77e-09|7.11e-08,-8.169411331314855,-5.714442690992226,2.4549686403226287,v1,trv1_0014,1.93e-06,3
doi_formula,2,Li4B7ClO12,10.1107/s0567740877009443,3,v1|caltech|liverpool,6l9|caltech_icsd_1125|liverpool_730_0608,2e-06|2.4e-05|1e-07,-7.0,-4.619788758288394,2.3802112417116064,v1,6l9,2e-06,2
doi_formula,151,Li2Mg2(MoO4)3,10.1039/b301189e,3,v1|caltech|liverpool,b56|caltech_icsd_170956|liverpool_2023_0812,1e-10|4.19e-13|5.35e-12,-12.377785977033705,-10.0,2.377785977033705,v1,b56,1e-10,2
formula_span,,LiGe2(PO4)3,10.1016/s0167-2738(97)00434-7|10.1021/acsami.8b00842|10.1021/jp9085602|10.1149/1.2220723,4,caltech|caltech|liverpool|liverpool,caltech_icsd_69763|caltech_icsd_263767|liverpool_250_0209|liverpool_441_0365,4.83e-09|3.33e-07|1e-06|7.2e-07,-8.316052869248487,-6.0,2.3160528692484874,liverpool,liverpool_250_0209,1e-06,3
formula_span,,LiTi2(PO4)3,10.1007/s11164-013-1348-0|10.1016/0167-2738(94)90332-8|10.1016/j.solidstatesciences.2016.08.011|10.1021/acs.inorgchem.6b02274|10.1021/jp973296c,5,caltech|caltech|liverpool|liverpool|liverpool,caltech_icsd_7930|caltech_icsd_95979|liverpool_35_0026|liverpool_313_0250|liverpool_534_0440,3.13e-06|7.61e-06|3.83e-07|7.2e-05|4e-07,-6.416801226031377,-4.142667503568732,2.2741337224626452,liverpool,liverpool_313_0250,7.2e-05,4
doi_formula,22,Li2CrCl4,10.1016/0022-4596(88)90301-5,2,v1|caltech,4kt|caltech_icsd_202627,1e-10|5.66e-13,-12.247183568811728,-10.0,2.247183568811728,v1,4kt,1e-10,1
formula_span,,Li0.5La0.5Ti1O3,10.1016/0167-2738(94)90309-3|10.1016/j.jallcom.2009.07.091|10.1016/j.jallcom.2017.05.278|10.1016/j.ssi.2009.08.002|10.1016/s0167-2738(00)00761-x|10.1557/proc-575-337,6,v1|caltech|caltech|caltech|liverpool|liverpool,s3h|caltech_icsd_91810|caltech_icsd_165472|caltech_icsd_254044|liverpool_115_0095|liverpool_604_0500,0.000925|0.000309847|0.001|0.000626|5.8e-06|0.001,-5.236572006437063,-3.0,2.236572006437063,caltech,caltech_icsd_165472,0.001,5
doi_formula,359,Ba3LiZrTa5(Si2O13)2,10.1016/j.ssi.2015.08.011,2,v1|caltech,u8r|caltech_icsd_239277,1e-10|5.83e-13,-12.234331445240986,-10.0,2.2343314452409864,v1,u8r,1e-10,1
doi_formula,21,LiSi2N3,10.1016/0167-2738(87)90119-6,2,v1|caltech,tka|caltech_icsd_34118,6.17e-08|3.97e-10,-9.401209493236886,-7.209714835966758,2.1914946572701277,v1,tka,6.17e-08,1
doi_formula,360,LiLaO2,10.1016/j.ssi.2015.09.001,2,v1|caltech,ecp|caltech_icsd_239278,1e-10|6.61e-13,-12.17979854051436,-10.0,2.1797985405143603,v1,ecp,1e-10,1
doi_formula,96,Li0.25Nd0.25Ta1O3,10.1016/s0167-2738(98)00414-7,2,v1|liverpool,il5|liverpool_615_0511,1.31e-08|1.91e-06,-7.882728704344236,-5.718966632752273,2.1637620715919628,v1,il5,1.31e-08,1
