ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
caltech_icsd_19975,,,,0.000316,,,,,,,,,,,,10.1016/j.ssi.2019.115185,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,19975,,,unparseable formula:  + 1wt%  is an invalid formula!
caltech_icsd_65051,Li2.08Ti0.92In1.08P3O12,,Li2.08 Ti0.92 In1.08 P3 O12,8.3e-06,,,,,,,,,,,,10.1016/s0167-2738(96)00565-6,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=418,,,65051,,,"explicitly excluded Caltech high-temperature extrapolation: ICSD 65051, 418 K"
caltech_icsd_65930,Li2B4O7,,Li2 B4 O7,5.96e-09,,,,,,,,,,,,,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=323,,,65930,,,missing or invalid DOI
caltech_icsd_99517,,,,3.38e-17,,,,,,,,,,,,10.1016/0167-2738(81)90021-7,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=523,,,99517,,,unparseable formula: r- is an invalid formula!
caltech_icsd_100169,Li14Zn(GeO4)4,,Li14 Zn1 Ge4 O16,0.000103,,,,,,,,,,,,10.1016/0022-4596(88)90179-x,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=473,,,100169,,,"explicitly excluded Caltech high-temperature extrapolation: ICSD 100169, 473 K"
caltech_icsd_151533,,,,0.00026,,,,,,,,,,,,10.1016/j.mseb.2004.07.003,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,151533,,,unparseable formula: ( is an invalid formula!
caltech_icsd_235185,,,,8.6e-05,,,,,,,,,,,,10.1021/acs.chemmater.8b02759,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,235185,,,unparseable formula: ?- is an invalid formula!
caltech_icsd_281198,,,,1e-08,,,,,,,,,,,,10.1002/cphc.200390060,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,281198,,,unparseable formula: could not convert string to float: '*'
caltech_icsd_412011,,,,3.8e-07,,,,,,,,,,,,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,412011,,,unparseable formula: could not convert string to float: '1.0*'
caltech_icsd_429902,Li17Sb13S28,,Li17 Sb13 S28,1.05e-09,,,,,,,,,,,,,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,429902,,,missing or invalid DOI
