family,row_count,fraction
halides,237,0.18975180144115292
nasicon,192,0.15372297838270615
garnet,156,0.12489991993594876
perovskites,120,0.09607686148919135
argyrodites,85,0.06805444355484387
oxides,62,0.049639711769415534
thio_lisicon,48,0.03843074459567654
oxyhalides,43,0.0344275420336269
lgps,41,0.03282626100880705
lisicon,35,0.02802241793434748
glass,30,0.02401921537229784
sulfides,28,0.02241793434747798
chalcogenidotetrelates,20,0.016012810248198558
antiperovskite,18,0.014411529223378704
other,13,0.010408326661329063
phosphates,12,0.009607686148919135
nitrides,9,0.007205764611689352
silicates,8,0.006405124099279423
rocksalt,7,0.005604483586869495
molybdates,7,0.005604483586869495
hydrides,7,0.005604483586869495
thio_phosphate,7,0.005604483586869495
chlorides,6,0.004803843074459567
pyrochlore,6,0.004803843074459567
olivine,6,0.004803843074459567
phenakite,4,0.0032025620496397116
zircon,4,0.0032025620496397116
borophosphates,4,0.0032025620496397116
hexaoxometalates,4,0.0032025620496397116
lanthanumlithiumoxide,3,0.0024019215372297837
glass_ceramic,3,0.0024019215372297837
nitride,2,0.0016012810248198558
germanates,2,0.0016012810248198558
fluorophosphates,2,0.0016012810248198558
nitridosilicates,2,0.0016012810248198558
pyrophosphate,2,0.0016012810248198558
fluorooxoborate,2,0.0016012810248198558
boracites,1,0.0008006405124099279
zirconates,1,0.0008006405124099279
borates,1,0.0008006405124099279
tavorite,1,0.0008006405124099279
diphosphate,1,0.0008006405124099279
fluorides,1,0.0008006405124099279
lipon,1,0.0008006405124099279
layered,1,0.0008006405124099279
sugilites,1,0.0008006405124099279
copper_pyroborate,1,0.0008006405124099279
organic_salts,1,0.0008006405124099279
hybrid_halide,1,0.0008006405124099279
