ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
5z0,Li5AlO4,,Li5 Al1 O4,5e-10,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19713800303; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,,model threshold: conductivity < 1e-06
9zk,Li5GaO4,,Li5 Ga1 O4,5e-09,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,,model threshold: conductivity < 1e-06
r5y,Li2CdCl4,,Li2 Cd1 Cl4,5.8e-07,,,,,,,,,,,chlorides,10.1016/0025-5408(81)90142-2,1,data/database/obelix/processed/all-v1.csv,,,,composition corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,,model threshold: conductivity < 1e-06
bv2,LiYO2,,Li1 Y1 O2,1.8e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/database/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,,model threshold: conductivity < 1e-06
t0h,Li2ZrO3,,Li2 Zr1 O3,6.1e-10,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/database/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,,model threshold: conductivity < 1e-06
vy5,K0.1Li0.9Sb1O3,,K0.1 Li0.9 Sb1 O3,1.36e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90178-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,,model threshold: conductivity < 1e-06
dvn,Li2MgCl4,,Li2 Mg1 Cl4,6.24e-07,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,,model threshold: conductivity < 1e-06
br1,Li3AlN2,,Li3 Al1 N2,5e-08,,,,,,,,,,,nitrides,10.1016/0167-2738(85)90106-7,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19482570102; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1985,,,,,,model threshold: conductivity < 1e-06
45e,Li2MgBr4,,Li2 Mg1 Br4,7.8e-10,,,,,,,,,,,halides,10.1002/chin.198639014|10.1149/1.2108704,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,model threshold: conductivity < 1e-06
ci1,Li1Zr1.8Ti0.2P3O12,,Li1 Zr1.8 Ti0.2 P3 O12,5.6e-08,,,,,,,,,,,nasicon,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,model threshold: conductivity < 1e-06
