Reduced Composition,candidate_rows,distinct_conductivities,log10_min,log10_max,log10_span,median_log10,IDs,conductivities,DOIs,sources,normalized_families,preferred_family,kept_ID,kept_conductivity,kept_DOI,kept_source,kept_family,selection_rule,dropped_rows
Li7P3S11,3,3,-3.0639892042847903,-2.065501548756432,0.9984876555283582,-2.494850021680094,mdp|ptg|liverpool_717_0599,0.0032|0.0086|0.000863,10.1016/j.ssi.2006.04.017|10.1016/j.ssi.2007.05.020|10.1039/c3ee41655k|10.1021/acs.chemmater.6b02163|10.1021/acs.chemmater.7b04842,v1|v1|liverpool,thio_lisicon|thio_phosphate,thio_lisicon,liverpool_717_0599,0.000863,10.1021/acs.chemmater.7b04842,liverpool,thio_lisicon,highest reported conductivity within thio_lisicon,2
Li3YCl6,5,5,-4.323306390375134,-3.462180904926726,0.8611254854484076,-4.154901959985743,yz0|v65|v78|a71299_lyc|caltech_icsd_29965,7e-05|0.000345|6.08e-05|0.00034|4.75e-05,10.1021/acsenergylett.9b02599|10.1126/sciadv.abh1896|10.1021/acs.nanolett.0c01156|10.1002/aenm.71299|10.1021/acs.chemmater.0c04352,literature|literature|literature|literature|caltech,halides,,v65,0.000345,10.1126/sciadv.abh1896,literature,halides,highest reported conductivity,4
Li2ZrCl6,5,5,-3.9208187539523753,-3.0915149811213505,0.8293037728310249,-3.401209493236885,qtx|nek|v50|v63|smll_74786_x00,0.00012|0.000397|0.00081|0.0004|0.00037,10.1016/j.ensm.2024.103444|10.1016/j.est.2024.111700|10.1038/s41467-021-24697-2|10.1002/aenm.202003190|10.1002/smll.74786,literature|literature|literature|literature|literature,halides,,v50,0.00081,10.1038/s41467-021-24697-2,literature,halides,highest reported conductivity,4
Li6PS5Cl,4,4,-3.2700257143004445,-2.468521082957745,0.8015046313426994,-2.6632591514633264,caltech_icsd_131109|caltech_icsd_133976|caltech_icsd_259200|liverpool_499_0415,0.0023|0.0034|0.00205|0.000537,10.1021/acs.chemmater.9b01550|10.1021/acs.chemmater.0c02418|10.1021/jacs.7b06327|10.1016/j.ssi.2012.06.008,caltech|caltech|caltech|liverpool,argyrodites,,caltech_icsd_133976,0.0034,10.1021/acs.chemmater.0c02418,caltech,argyrodites,highest reported conductivity,3
Li1.4Ti1.6Al0.4P3O12,2,2,-3.037630664329979,-2.2494916051486538,0.7881390591813253,-2.6435611347393166,liverpool_40_0030|liverpool_172_0141,0.00563|0.000917,10.1039/c5ta08545d|10.1016/j.ssi.2006.04.010,liverpool|liverpool,nasicon,,liverpool_40_0030,0.00563,10.1039/c5ta08545d,liverpool,nasicon,highest reported conductivity,1
Li10Ge(PS6)2,4,4,-2.692503962086787,-1.9208187539523751,0.7716852081344119,-2.1531365255381765,caltech_icsd_30161|caltech_icsd_131108|liverpool_37_0028|liverpool_675_0561,0.0076|0.0065|0.00203|0.012,10.1021/acs.chemmater.8b00266|10.1021/acs.chemmater.9b01550|10.1016/j.ssi.2015.02.014|10.1038/nmat3066,caltech|caltech|liverpool|liverpool,thio_lisicon,,liverpool_675_0561,0.012,10.1038/nmat3066,liverpool,thio_lisicon,highest reported conductivity,3
Li3ErCl6,4,4,-4.045757490560675,-3.3675427078152755,0.6782147827453993,-3.4359458254484463,er0|v60|v61|caltech_icsd_50151,9e-05|0.000429|0.000407|0.00033,10.1021/acsenergylett.9b02599|10.1021/acsami.1c25087|10.1126/sciadv.abh1896|10.1016/j.isci.2019.05.036,literature|literature|literature|caltech,halides,,v60,0.000429,10.1021/acsami.1c25087,literature,halides,highest reported conductivity,3
Li3ScCl6,3,3,-3.167491087293764,-2.5199930570428495,0.6474980302509143,-2.9030899869919438,v05|v33|v55,0.00302|0.00125|0.00068,10.1021/jacs.0c00134|10.1126/sciadv.abh1896|10.1016/j.cej.2022.140509,literature|literature|literature,halides,,v05,0.00302,10.1021/jacs.0c00134,literature,halides,highest reported conductivity,2
Li3InCl6,14,13,-3.3279021420642825,-2.6903698325741012,0.6375323094901812,-2.94086763695526,de5|v23|v22|v24|v31|v54|v56|trv1_0089|trv1_0119|v52|aenm_202503135_x0_y0|s10008_2026_06605_x00|acsnano_4c02678_in|caltech_icsd_122395,0.00204|0.00149|0.0015|0.00142|0.0013|0.0007|0.00067|0.0013|0.00186|0.00079|0.00101|0.00052|0.00097|0.00047,10.1002/anie.201909805|10.1039/c9ee02311a|10.1016/j.nanoen.2020.105015|10.1021/acs.nanolett.0c01156|10.1002/aenm.202100836|10.1002/adfm.202108805|10.1021/acsami.2c21022|10.1021/acs.jpclett.5c00947|10.1039/d5ta05447h|10.1021/acsami.2c06216|10.1002/aenm.202503135|10.1007/s10008-026-06605-0|10.1021/acsnano.4c02678|10.1021/acs.chemmater.1c01348,v1|v1|v1|v1|v1|v1|v1|v1|v1|literature|literature|literature|literature|caltech,halides,,de5,0.00204,10.1002/anie.201909805,v1,halides,highest reported conductivity,13
Li3YBr6,4,4,-2.962573502059376,-2.388276691992658,0.5742968100667181,-2.8376530430691127,elz|v43|trv1_0076|caltech_icsd_29957,0.00192|0.00109|0.0011|0.00409,10.1002/adma.201803075|10.1126/sciadv.abh1896|10.1016/s1003-6326(25)66819-1|10.1021/acs.chemmater.0c04352,v1|v1|v1|caltech,halides,,caltech_icsd_29957,0.00409,10.1021/acs.chemmater.0c04352,caltech,halides,highest reported conductivity,3
