issue_type,severity,Reduced Composition,IDs,details
same_formula_multiple_records,resolved,Ba0.5Sr0.5Li6La2Ta2O12,sqm|liverpool_289_0233,2 records; log10 span=0.056; kept liverpool_289_0233
same_formula_multiple_records,resolved,BaLi6La2Ta2O12,544|7o7|hud|ner|h89,5 records; log10 span=0.488; kept 544
same_formula_multiple_records,resolved,Li0.18La0.61Ti1O3,86o|caltech_icsd_99398,2 records; log10 span=0.314; kept 86o
same_formula_multiple_records,resolved,Li0.24La0.59Ti1O3,liverpool_79_0061|liverpool_235_0194,2 records; log10 span=0.339; kept liverpool_79_0061
same_formula_multiple_records,resolved,Li0.29La0.57Ti1O3,85t|caltech_icsd_19945,2 records; log10 span=0.125; kept 85t
same_formula_multiple_records,resolved,Li0.34La0.51Ti1O2.94,sv7|liverpool_603_0499,2 records; log10 span=0.009; kept liverpool_603_0499
same_formula_multiple_records,resolved,Li0.388La0.475Ta0.238Cl3,v06|trv1_0114,2 records; log10 span=0.287; kept v06
same_formula_multiple_records,resolved,Li1.2Al0.2Ge1.8P3O12,ed4|0fh,2 records; log10 span=0.216; kept ed4
same_formula_multiple_records,resolved,Li1.2Sc0.2Ti1.8P3O12,liverpool_29_0022|liverpool_333_0267,2 records; log10 span=0.027; kept liverpool_333_0267
same_formula_multiple_records,resolved,Li1.3Al0.3Ge1.7P3O12,ag1|3uq,2 records; log10 span=0.325; kept 3uq
same_formula_multiple_records,resolved,Li1.3Cr0.3Ge1.7P3O12,liverpool_361_0291|liverpool_474_0392,2 records; log10 span=0.180; kept liverpool_361_0291
same_formula_multiple_records,resolved,Li1.3La0.3Ti1.7P3O12,ctg|qkr,2 records; log10 span=0.004; kept ctg
same_formula_multiple_records,resolved,Li1.3Sc0.2Ti1.7Al0.1P3O12,dq4|czo,2 records; log10 span=0.003; kept czo
same_formula_multiple_records,resolved,Li1.3Sc0.3Ti1.7P3O12,iwe|do2|o8s,3 records; log10 span=0.237; kept do2
same_formula_multiple_records,resolved,Li1.4Al0.4Ge1.6P3O12,gw2|liverpool_406_0335,2 records; log10 span=0.026; kept gw2
same_formula_multiple_records,resolved,Li1.4La0.4Ti1.6P3O12,e0z|liverpool_469_0387,2 records; log10 span=0.001; kept e0z
same_formula_multiple_records,resolved,Li1.4Ti1.4Al0.4Ge0.2P3O12,caltech_icsd_163298|liverpool_404_0333|liverpool_482_0400,3 records; log10 span=0.301; kept caltech_icsd_163298
same_formula_multiple_records,resolved,Li1.4Ti1.6Al0.4P3O12,liverpool_40_0030|liverpool_172_0141,2 records; log10 span=0.788; kept liverpool_40_0030
same_formula_multiple_records,resolved,Li1.4Ti1.6In0.4P3O12,yn6|liverpool_869_0727,2 records; log10 span=0.201; kept yn6
same_formula_multiple_records,resolved,Li1.5La0.5Ti1.5P3O12,vus|liverpool_470_0388,2 records; log10 span=0.002; kept liverpool_470_0388
same_formula_multiple_records,resolved,Li1.6Al0.6Ge1.4P3O12,0y6|1dm|liverpool_537_0443,3 records; log10 span=0.434; kept 1dm
conflicting_normalized_family,resolved_by_preferred_family,Li1.6Al0.6Ge1.4P3O12,0y6|1dm|liverpool_537_0443,glass_ceramic|nasicon; selected_family=nasicon
same_formula_multiple_records,resolved,Li1.7Al0.7Ge1.3P3O12,tjh|liverpool_421_0347,2 records; log10 span=0.246; kept tjh
same_formula_multiple_records,resolved,Li10.2Si0.96Sn0.24P1.8S12,7tu|caltech_icsd_5667,2 records; log10 span=0.495; kept 7tu
same_formula_multiple_records,resolved,Li10.35Si1.08Sn0.27P1.65S12,ui6|caltech_icsd_5669,2 records; log10 span=0.000; kept ui6
