ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
6l9,Li4B7ClO12,,Li4 B7 Cl1 O12,2e-06,,,,,,,,,,,boracites,10.1107/s0567740877009443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1977,,,,,
yav,Li2VCl4,,Li2 V1 Cl4,6.95e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
bjw,Li2MnCl4,,Li2 Mn1 Cl4,4.79e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: icsd-69678; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
ib2,Li1.1Sc0.1Ti1.9P3O12,,Li1.1 Sc0.1 Ti1.9 P3 O12,0.000158,,,,,,,,,,,nasicon,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
cmn,Li1.8Ti1.2Cr0.8P3O12,,Li1.8 Ti1.2 Cr0.8 P3 O12,0.00024,,,,,,,,,,,nasicon,10.1016/0167-2738(88)90291-3,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1988,,,,,
fwz,Li2SiS3,,Li2 Si1 S3,2e-06,,,,,,,,,,,thio_lisicon,10.1016/0025-5408(89)90053-6,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available；close match: Yes；close match DOI: mp-1210789; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
11b,Li3P,,Li3 P1,0.000703,,,,,,,,,,,phosphates,10.1016/0167-2738(89)90438-4,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
ctg,Li1.3La0.3Ti1.7P3O12,,Li1.3 La0.3 Ti1.7 P3 O12,0.000528,,,,,,,,,,,nasicon,10.1149/1.2096693,1,data/database/obelix/processed/all-v1.csv,,,,duplicate with line 274; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
mdj,Li1.2Ti2Si0.2P2.8O12,,Li1.2 Ti2 Si0.2 P2.8 O12,8.6e-05,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
t1l,Li1.3Ti2Si0.3P2.7O12,,Li1.3 Ti2 Si0.3 P2.7 O12,0.00032,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
v1t,Li1.4Ti1.6Cr0.4P3O12,,Li1.4 Ti1.6 Cr0.4 P3 O12,0.000149,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
d6b,Li1.5Ti1.5Cr0.5P3O12,,Li1.5 Ti1.5 Cr0.5 P3 O12,0.000386,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
x9a,Li1.2Ti1.8Ga0.2P3O12,,Li1.2 Ti1.8 Ga0.2 P3 O12,0.000162,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
3ta,Li1.3Ti1.7Ga0.3P3O12,,Li1.3 Ti1.7 Ga0.3 P3 O12,0.000261,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
gjy,Li1.4Ti1.6Ga0.4P3O12,,Li1.4 Ti1.6 Ga0.4 P3 O12,0.000128,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
lz8,Li1.5Ti1.5Ga0.5P3O12,,Li1.5 Ti1.5 Ga0.5 P3 O12,0.000122,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
xr7,Li1.4Ti1.6Fe0.4P3O12,,Li1.4 Ti1.6 Fe0.4 P3 O12,0.000392,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
pg8,Li1.5Ti1.5Fe0.5P3O12,,Li1.5 Ti1.5 Fe0.5 P3 O12,0.000174,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1039/b312865b; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
do2,Li1.3Sc0.3Ti1.7P3O12,,Li1.3 Sc0.3 Ti1.7 P3 O12,0.000703,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
uaj,Li1.4Sc0.4Ti1.6P3O12,,Li1.4 Sc0.4 Ti1.6 P3 O12,0.000515,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
2eq,Li1.3Ti1.7In0.3P3O12,,Li1.3 Ti1.7 In0.3 P3 O12,0.000393,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
yn6,Li1.4Ti1.6In0.4P3O12,,Li1.4 Ti1.6 In0.4 P3 O12,0.000302,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
8jy,Li1.5Ti1.5In0.5P3O12,,Li1.5 Ti1.5 In0.5 P3 O12,0.000204,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
e0z,Li1.4La0.4Ti1.6P3O12,,Li1.4 La0.4 Ti1.6 P3 O12,0.000498,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
dx2,Li1.1Hf1.9Fe0.1P3O12,,Li1.1 Hf1.9 Fe0.1 P3 O12,0.000107,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
6xc,Li1.1Hf1.9In0.1P3O12,,Li1.1 Hf1.9 In0.1 P3 O12,5.13e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
21m,Li1.1Lu0.1Hf1.9P3O12,,Li1.1 Lu0.1 Hf1.9 P3 O12,5.88e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
4k1,Li1.1Hf1.9Sc0.1P3O12,,Li1.1 Hf1.9 Sc0.1 P3 O12,2.45e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
gzp,Li1.2Lu0.2Hf1.8P3O12,,Li1.2 Lu0.2 Hf1.8 P3 O12,9.79e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ew5,Li1.3Hf1.7Fe0.3P3O12,,Li1.3 Hf1.7 Fe0.3 P3 O12,5.4e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
jdk,Li1.3Lu0.3Hf1.7P3O12,,Li1.3 Lu0.3 Hf1.7 P3 O12,3.56e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
h8a,Li1.3Hf1.7Sc0.3P3O12,,Li1.3 Hf1.7 Sc0.3 P3 O12,8.32e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
jq7,Li1.3Y0.3Hf1.7P3O12,,Li1.3 Y0.3 Hf1.7 P3 O12,3.19e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ylt,Li1.4Hf1.6In0.4P3O12,,Li1.4 Hf1.6 In0.4 P3 O12,0.000142,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
gnq,Li1.4Lu0.4Hf1.6P3O12,,Li1.4 Lu0.4 Hf1.6 P3 O12,2.06e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
sso,Li1.4Y0.4Hf1.6P3O12,,Li1.4 Y0.4 Hf1.6 P3 O12,2.09e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
kxh,Li0.34Pr0.56Ti1O3.01,,Li0.34 Pr0.56 Ti1 O3.01,1e-06,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,
ubi,Li2TiIn(PO4)3,,Li2 Ti1 In1 P3 O12,8.3e-06,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
w1l,Sr0.5Li0.5Ta0.75Cr0.25O3,,Sr0.5 Li0.5 Ta0.75 Cr0.25 O3,6e-05,,,,,,,,,,,perovskites,10.1016/s0378-7753(97)02645-1,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
jce,Sr0.5Li0.5Ta0.75Fe0.25O3,,Sr0.5 Li0.5 Ta0.75 Fe0.25 O3,0.0001,,,,,,,,,,,perovskites,10.1016/s0378-7753(97)02645-1,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
86o,Li0.18La0.61Ti1O3,,Li0.18 La0.61 Ti1 O3,0.000412,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
2lu,Li0.36La0.55Ti1O3,,Li0.36 La0.55 Ti1 O3,0.000688,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
bd5,Li0.39La0.54Ti1O3,,Li0.39 La0.54 Ti1 O3,0.000651,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
ukw,Li0.45La0.52Ti1O3,,Li0.45 La0.52 Ti1 O3,0.000501,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
5h8,Li0.27La0.58Ti1O3,,Li0.27 La0.58 Ti1 O3,0.000599,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
o23,Li0.25La0.25Ta1O3,,Li0.25 La0.25 Ta1 O3,2.61e-05,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00414-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,
za6,Li1.1Al0.1Ge1.9P3O12,,Li1.1 Al0.1 Ge1.9 P3 O12,2.9e-06,,,,,,,,,,,nasicon,10.1016/s0955-2219(99)00055-2,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,
