ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
5z0,Li5AlO4,,Li5 Al1 O4,5e-10,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19713800303; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,
9zk,Li5GaO4,,Li5 Ga1 O4,5e-09,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,
6l9,Li4B7ClO12,,Li4 B7 Cl1 O12,2e-06,,,,,,,,,,,boracites,10.1107/s0567740877009443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1977,,,,,
r5y,Li2CdCl4,,Li2 Cd1 Cl4,5.8e-07,,,,,,,,,,,chlorides,10.1016/0025-5408(81)90142-2,1,data/database/obelix/processed/all-v1.csv,,,,composition corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
bv2,LiYO2,,Li1 Y1 O2,1.8e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/database/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
t0h,Li2ZrO3,,Li2 Zr1 O3,6.1e-10,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/database/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
vy5,K0.1Li0.9Sb1O3,,K0.1 Li0.9 Sb1 O3,1.36e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90178-8,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
fft,Li3N,,Li3 N1,0.0002085,,,,,,,,,,,nitrides,10.1016/0167-2738(83)90045-0,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
yav,Li2VCl4,,Li2 V1 Cl4,6.95e-06,,,,,,,,,,,cholorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
bjw,Li2MnCl4,,Li2 Mn1 Cl4,4.79e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: icsd-69678; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
