addition_id,ID,DOI,Reduced Composition,True Composition,target_temperature_c,target_temperature_k,source_temperature_c,source_temperature_k,source_conductivity_s_cm,activation_energy_ev,calculation_method,calculated_conductivity_s_cm,stored_conductivity_s_cm,structure_source,structure_temperature_k,structure_status,status,year,added_at,note
ADD-0001,7ta,10.1021/ic030208w,Li7TaO6,Li7.0Ta1.0O6.0,27.0,300.15,50.0,323.15,1.53e-07,0.68,sigma_ref*exp[-Ea/kB*(1/T_target-1/T_ref)],2.3552524131022755e-08,2.36e-08,article Table 1,295.0,matched_near_target_temperature,active,2004,2026-07-31,Missing OBLiX row reconstructed from article Tables 1 and 7
ADD-0002,7bi,10.1021/ic030208w,Li7BiO6,Li7.0Bi1.0O6.0,27.0,300.15,50.0,323.15,4.348e-06,0.58,sigma_ref*exp[-Ea/kB*(1/T_target-1/T_ref)],8.813400366789062e-07,8.81e-07,not available,,missing_matched_structure,active,2004,2026-07-31,Missing conductivity row reconstructed from article Table 7; no matched structure in source
ADD-0003,zec,10.1038/s41467-025-68210-5,Li2Zr0.8Al0.2Cl3.8O,Li2Zr0.8Al0.2Cl3.8O,,,,,0.00198,,mS_cm_to_S_cm,0.00198,0.00198,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.98 mS/cm
ADD-0004,tsw,10.1038/s41467-025-68210-5,Li2Zr0.75Al0.25Cl3.75O,Li2Zr0.75Al0.25Cl3.75O,,,,,0.00201,,mS_cm_to_S_cm,0.00201,0.00201,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.01 mS/cm
ADD-0005,wnt,10.1038/s41467-025-68210-5,Li2Zr0.7Al0.3Cl3.7O,Li2Zr0.7Al0.3Cl3.7O,,,,,0.00174,,mS_cm_to_S_cm,0.00174,0.00174,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.74 mS/cm
ADD-0006,odf,10.1038/s41467-025-68210-5,Li2Zr0.6Al0.4Cl3.6O,Li2Zr0.6Al0.4Cl3.6O,,,,,0.00122,,mS_cm_to_S_cm,0.00122,0.00122,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.22 mS/cm
ADD-0007,nsm,10.1038/s41467-025-68210-5,Li2Zr0.5Al0.5Cl3.5O,Li2Zr0.5Al0.5Cl3.5O,,,,,0.000846,,mS_cm_to_S_cm,0.000846,0.000846,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.846 mS/cm
ADD-0008,tlx,10.1038/s41467-025-68210-5,Li2.4Zr0.8Al0.2Cl3.8O1.2,Li2.4Zr0.8Al0.2Cl3.8O1.2,,,,,0.0021,,mS_cm_to_S_cm,0.0021,0.0021,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.1 mS/cm
ADD-0009,btq,10.1038/s41467-025-68210-5,Li2.4Zr0.75Al0.25Cl3.75O1.2,Li2.4Zr0.75Al0.25Cl3.75O1.2,,,,,0.00254,,mS_cm_to_S_cm,0.00254,0.00254,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.54 mS/cm
ADD-0010,xhm,10.1038/s41467-025-68210-5,Li2.4Zr0.7Al0.3Cl3.7O1.2,Li2.4Zr0.7Al0.3Cl3.7O1.2,,,,,0.00224,,mS_cm_to_S_cm,0.00224,0.00224,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.24 mS/cm
ADD-0011,gmh,10.1038/s41467-025-68210-5,Li2.4Zr0.6Al0.4Cl3.6O1.2,Li2.4Zr0.6Al0.4Cl3.6O1.2,,,,,0.00134,,mS_cm_to_S_cm,0.00134,0.00134,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.34 mS/cm
ADD-0012,gno,10.1038/s41467-025-68210-5,Li2.4Zr0.5Al0.5Cl3.5O1.2,Li2.4Zr0.5Al0.5Cl3.5O1.2,,,,,0.000907,,mS_cm_to_S_cm,0.000907,0.000907,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.907 mS/cm
ADD-0013,dbx,10.1038/s41467-025-68210-5,Li2.8Zr0.8Al0.2Cl3.8O1.4,Li2.8Zr0.8Al0.2Cl3.8O1.4,,,,,0.00224,,mS_cm_to_S_cm,0.00224,0.00224,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.24 mS/cm
ADD-0014,pkj,10.1038/s41467-025-68210-5,Li2.8Zr0.75Al0.25Cl3.75O1.4,Li2.8Zr0.75Al0.25Cl3.75O1.4,,,,,0.00255,,mS_cm_to_S_cm,0.00255,0.00255,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.55 mS/cm
ADD-0015,xfm,10.1038/s41467-025-68210-5,Li2.8Zr0.7Al0.3Cl3.7O1.4,Li2.8Zr0.7Al0.3Cl3.7O1.4,,,,,0.00232,,mS_cm_to_S_cm,0.00232,0.00232,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 2.32 mS/cm
ADD-0016,wen,10.1038/s41467-025-68210-5,Li2.8Zr0.6Al0.4Cl3.6O1.4,Li2.8Zr0.6Al0.4Cl3.6O1.4,,,,,0.00134,,mS_cm_to_S_cm,0.00134,0.00134,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.34 mS/cm
ADD-0017,vxk,10.1038/s41467-025-68210-5,Li2.8Zr0.5Al0.5Cl3.5O1.4,Li2.8Zr0.5Al0.5Cl3.5O1.4,,,,,0.000969,,mS_cm_to_S_cm,0.000969,0.000969,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.969 mS/cm
ADD-0018,thq,10.1038/s41467-025-68210-5,Li3.2Zr0.8Al0.2Cl3.8O1.6,Li3.2Zr0.8Al0.2Cl3.8O1.6,,,,,0.00138,,mS_cm_to_S_cm,0.00138,0.00138,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.38 mS/cm
ADD-0019,oyy,10.1038/s41467-025-68210-5,Li3.2Zr0.75Al0.25Cl3.75O1.6,Li3.2Zr0.75Al0.25Cl3.75O1.6,,,,,0.00142,,mS_cm_to_S_cm,0.00142,0.00142,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.42 mS/cm
ADD-0020,okv,10.1038/s41467-025-68210-5,Li3.2Zr0.7Al0.3Cl3.7O1.6,Li3.2Zr0.7Al0.3Cl3.7O1.6,,,,,0.00137,,mS_cm_to_S_cm,0.00137,0.00137,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.37 mS/cm
