compound	icsd_collectioncode	conductivity_doi	conductivity_siemens_per_cm	lowest_extrapolation_temperature_K
Li6.7La3Zr1.7Ta0.3O12	885	10.2109/jcersj2.16019	0.000504	na
Li6.5La3Zr1.5Ta0.5O12	894	10.2109/jcersj2.16019	0.000842	na
Li4B7O12Cl	1125	10.1107/S0567740877009443	2.40E-05	na
Li2TeO4	1485	10.1016/0025-5408(94)90011-6	3.79E-16	580
Li2SO4	2512	10.1051/epjap/2014130433	1.40E-14	473.15
Li6CuB4O10	4819	10.1021/acs.inorgchem.8b01785	1.00E-13	420
Li10.2(Sn0.2Si0.8)1.2P1.8S12	5667	10.1021/acs.chemmater.9b00743	0.0025	na
Li10.35(Sn0.2Si0.8)1.35P1.65S12	5669	10.1021/acs.chemmater.9b00743	0.011	na
Li1.8LaNbTa1.2Ti0.8O7	5926	10.1039/C9DT03547H	4.26E-09	na
LiTi2(PO4)3	7930	10.1016/j.solidstatesciences.2016.08.011	3.13E-06	na
Li1.114Al0.101Ti1.9(PO4)3	7931	10.1016/j.solidstatesciences.2016.08.011	0.00173	na
Li1.222Al0.205Ti1.795(PO4)3	7932	10.1016/j.solidstatesciences.2016.08.011	0.00173	na
Li1.252Al0.281Ti1.718(PO4)3	7933	10.1016/j.solidstatesciences.2016.08.011	0.00317	na
Li1.312Al0.407Ti1.592(PO4)3	7934	10.1016/j.solidstatesciences.2016.08.011	0.00563	na
Li1.421Al0.421Ti1.579(PO4)3	7935	10.1016/j.solidstatesciences.2016.08.011	0.00563	na
Li1.414Al0.511Ti1.489(PO4)3	7936	10.1016/j.solidstatesciences.2016.08.011	0.0047	na
Li3SbS4	8407	10.1016/j.ssi.2019.01.017	4.80E-09	na
Li5GaO4	9082	10.1016/0025-5408(76)90169-0	5.33E-12	385
Li6.2P0.8Si0.2S5I	11042	10.1021/acs.chemmater.9b01857	7.16E-05	na
Li6.25P0.75Si0.25S5I	11043	10.1021/acs.chemmater.9b01857	0.000169031	na
Li6.3P0.7Si0.3S5I	11044	10.1021/acs.chemmater.9b01857	0.000466257	na
Li6.4P0.6Si0.4S5I	11045	10.1021/acs.chemmater.9b01857	0.000836458	na
Li6.5P0.5Si0.5S5I	11046	10.1021/acs.chemmater.9b01857	0.001361319	na
