ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
5z0,Li5AlO4,5e-10,RT,,unknow,oxides,unknow,10.1016/0025-5408(76)90169-0,1976,close match: Yes；close match DOI: 10.1002/zaac.19713800303
9zk,Li5GaO4,5e-09,RT,,unknow,oxides,unknow,10.1016/0025-5408(76)90169-0,1976,
6l9,Li4B7O12Cl,2e-06,RT,,unknow,boracites,unknow,10.1107/s0567740877009443,1977,
p81,LiAlCl4,1e-06,RT,,unknow,halides,unknow,10.1149/1.2133238,1977,
r5y,Li2CdCl4,5.8e-07,RT,,unknow,chlorides,unknow,10.1016/0025-5408(81)90142-2,1981,composition corrected
bv2,LiYO2,1.8e-08,RT,,unknow,oxides,unknow,10.1016/0167-2738(81)90021-7,1981,check cif file matching
t0h,Li2ZrO3,6.1e-10,RT,,unknow,oxides,unknow,10.1016/0167-2738(81)90021-7,1981,check cif file matching
vy5,(K0.1Li0.9)(SbO3),1.36e-08,RT,,unknow,oxides,unknow,10.1016/0167-2738(81)90178-8,1981,
fft,Li3N,0.0002085,RT,,unknow,nitrides,unknow,10.1016/0167-2738(83)90045-0,1983,
yav,Li2VCl4,6.95e-06,RT,,unknow,cholorides,unknow,10.1016/0167-2738(83)90223-0,1983,close match: Yes；close match DOI: 10.1002/zaac.19946200505
bjw,Li2MnCl4,4.79e-06,RT,,unknow,chlorides,unknow,10.1016/0167-2738(83)90223-0,1983,close match: Yes；close match DOI: icsd-69678
dvn,Li2MgCl4,6.24e-07,RT,,unknow,chlorides,unknow,10.1016/0167-2738(83)90223-0,1983,close match: Yes；close match DOI: 10.1002/zaac.19946200505
bsa,LiGaO2,2.4e-14,RT,,unknow,oxides,unknow,10.1007/bf00549810,1984,check cif file matching
br1,Li3AlN2,5e-08,RT,,unknow,nitrides,unknow,10.1016/0167-2738(85)90106-7,1985,close match: Yes；close match DOI: 10.1002/zaac.19482570102
45e,Li2MgBr4,7.8e-10,RT,,unknow,halides,unknow,10.1002/chin.198639014|10.1149/1.2108704,1986,
