group_id,pair_id,化学式_a,化学式_b,family,source_row_a,source_row_b,电导率_a_S_cm-1,电导率_b_S_cm-1,真实电导率变化值_S_cm-1,真实趋势标签,预测趋势标签,预测正确,probability_decrease,probability_unchanged,probability_increase
group1,exp_pair_0001,Li5.7PS4.7Cl1.3,Li5.5PS4.5Cl1.5,argyrodites,1,2,0.0081,0.010116,0.0020160000000000004,increase,decrease,False,0.6252367984285992,0.20932006069382184,0.16544314087757897
group1,exp_pair_0002,Li5.5PS4.5Cl1.5,Li5.4PS4.4Cl1.6,argyrodites,2,3,0.010116,0.007137,-0.002979,decrease,decrease,True,0.5565518636022895,0.23409873996365183,0.20934939643405864
group1,exp_pair_0003,Li5.4PS4.4Cl1.6,Li5.3PS4.3Cl1.7,argyrodites,3,4,0.007137,0.007295,0.00015800000000000015,increase,decrease,False,0.5750610570925558,0.22314332780678472,0.20179561510065946
group1,exp_pair_0004,Li5.3PS4.3Cl1.7,Li5.5PS4.5Cl1.45I0.05,argyrodites,4,5,0.007295,0.013723,0.0064280000000000006,increase,decrease,False,0.37651566924103086,0.2546417219588094,0.36884260880015984
group1,exp_pair_0005,Li5.5PS4.5Cl1.45I0.05,Li5.5PS4.5Cl1.4I0.1,argyrodites,5,6,0.013723,0.010312,-0.003411000000000001,decrease,decrease,True,0.488410559547109,0.2510636068081046,0.2605258336447864
group1,exp_pair_0006,Li5.5PS4.5Cl1.4I0.1,Li5.5PS4.5Cl1.35I0.15,argyrodites,6,7,0.010312,0.010565,0.00025299999999999975,increase,decrease,False,0.4914972577430614,0.24692695265564937,0.2615757896012892
group1,exp_pair_0007,Li5.5PS4.5Cl1.35I0.15,Li5.5PS4.5Cl1.3I0.2,argyrodites,7,8,0.010565,0.008230000000000001,-0.0023349999999999985,decrease,decrease,True,0.4914972577430614,0.24692695265564937,0.2615757896012892
group1,exp_pair_0008,Li5.5PS4.5Cl1.3I0.2,Li5.5PS4.5Cl1.25I0.25,argyrodites,8,9,0.008230000000000001,0.0016040000000000002,-0.006626000000000001,decrease,decrease,True,0.49217399634562164,0.24411911843069048,0.263706885223688
group1,exp_pair_0009,Li5.5PS4.5Cl1.25I0.25,Li5.4PS4.4ClBr0.6,argyrodites,9,10,0.0016040000000000002,0.01348,0.011876000000000001,increase,decrease,False,0.5635740416898243,0.23533144906440892,0.20109450924576686
group2,exp_pair_0010,Li3AsS4,Li5.5AsS4.5Br1.5,argyrodites,11,12,9.1e-05,0.01753,0.017439,increase,unchanged,False,0.26455993440711983,0.3998890130193358,0.33555105257354445
group2,exp_pair_0011,Li5.5AsS4.5Br1.5,Li5.5AsS4.3O0.2Br1.5,argyrodites,12,13,0.01753,0.013090000000000001,-0.0044399999999999995,decrease,decrease,True,0.435294210827506,0.26771542032666423,0.2969903688458297
group2,exp_pair_0012,Li5.5AsS4.3O0.2Br1.5,Li5.5AsS4.1O0.4Br1.5,argyrodites,13,14,0.013090000000000001,0.01118,-0.0019100000000000002,decrease,decrease,True,0.43847116531212577,0.2676082329598551,0.2939206017280191
group2,exp_pair_0013,Li5.5AsS4.1O0.4Br1.5,Li5.5AsS3.8O0.7Br1.5,argyrodites,14,15,0.01118,0.00875,-0.00243,decrease,decrease,True,0.4446451594820558,0.24770055122528956,0.3076542892926546
group2,exp_pair_0014,Li5.5AsS3.8O0.7Br1.5,Li5.5AsS2.5O2Br1.5,argyrodites,15,16,0.00875,0.0002817,-0.008468300000000002,decrease,decrease,True,0.4202940928768717,0.2825329179864441,0.29717298913668416
group2,exp_pair_0015,Li5.5AsS2.5O2Br1.5,Li5.5As0.9Sb0.1S4.5Br1.5,argyrodites,16,17,0.0002817,0.01685,0.0165683,increase,increase,True,0.33367296242797745,0.18104589987722675,0.4852811376947959
group2,exp_pair_0016,Li5.5As0.9Sb0.1S4.5Br1.5,Li5.5As0.9Sb0.2S4.5Br1.5,argyrodites,17,18,0.01685,0.00906,-0.00779,decrease,increase,False,0.30507270686071886,0.22001239779858867,0.47491489534069237
group2,exp_pair_0017,Li5.5As0.9Sb0.2S4.5Br1.5,Li5.5As0.9Sb0.1S4.3O0.2Br1.5,argyrodites,18,19,0.00906,0.01255,0.00349,increase,decrease,False,0.3475509616872784,0.33139801081717307,0.32105102749554854
group2,exp_pair_0018,Li5.5As0.9Sb0.1S4.3O0.2Br1.5,Li6.65As0.35Si0.65S5I,argyrodites,19,20,0.01255,0.006347,-0.006203,decrease,increase,False,0.25962899835319925,0.2263248886241259,0.5140461130226749
group2,exp_pair_0019,Li6.65As0.35Si0.65S5I,Li6.7As0.3Si0.7S5I,argyrodites,20,21,0.006347,0.010615000000000001,0.004268000000000001,increase,increase,True,0.3457682619622906,0.29552112969068844,0.35871060834702095
group2,exp_pair_0020,Li6.7As0.3Si0.7S5I,Li6.75As0.25Si0.75S5I,argyrodites,21,22,0.010615000000000001,0.004784,-0.005831000000000001,decrease,increase,False,0.3248778808720361,0.30550658572598555,0.3696155334019784
