start_row,end_row,base_formula,family
1,9,Li5.5PS4.5Cl1.5,argyrodites
10,16,Li5.4PS4.4ClBr0.6,argyrodites
17,24,Li5.5AsS4.5Br1.5,argyrodites
25,28,Li5.4PS4O0.4ClBr0.6,argyrodites
29,32,Li6.7As0.3Si0.7S5I,argyrodites
33,42,Li6.7Sb0.3Si0.7S5I,argyrodites
43,44,Li3AsS4,thio_lisicon
45,52,Li5.4PS4.4ClBr0.6,argyrodites
53,61,Li10SnP2S12,lgps
62,72,Li6.7Si0.7Sb0.3S5I,argyrodites
73,79,Li2ZrCl6,halides
80,85,Li5.4PS4.4ClBr0.6,argyrodites
86,86,Li3.45Sn0.09Si0.36P0.55S3.65O0.35,thio_lisicon
87,93,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps
94,113,Li9.54Si1.74P1.44S11.7Br0.3,lgps
