ID,化学式,电导率（S/cm）,制备方式,family
exp_001,Li5.7PS4.7Cl1.3,0.0081,unknow,argyrodites
exp_002,Li5.5PS4.5Cl1.5,0.010116,unknow,argyrodites
exp_003,Li5.4PS4.4Cl1.6,0.007137,unknow,argyrodites
exp_004,Li5.3PS4.3Cl1.7,0.007295,unknow,argyrodites
exp_005,Li5.5PS4.5Cl1.45I0.05,0.013723,unknow,argyrodites
exp_006,Li5.5PS4.5Cl1.4I0.1,0.010312,unknow,argyrodites
exp_007,Li5.5PS4.5Cl1.35I0.15,0.010565,unknow,argyrodites
exp_008,Li5.5PS4.5Cl1.3I0.2,0.00823,unknow,argyrodites
exp_009,Li5.5PS4.5Cl1.25I0.25,0.001604,unknow,argyrodites
exp_010,Li5.4PS4.4ClBr0.6,0.01348,unknow,argyrodites
exp_044,Li3AsS4,9.1e-05,unknow,thio_lisicon
exp_017,Li5.5AsS4.5Br1.5,0.01753,unknow,argyrodites
exp_018,Li5.5AsS4.3O0.2Br1.5,0.01309,unknow,argyrodites
exp_019,Li5.5AsS4.1O0.4Br1.5,0.01118,unknow,argyrodites
exp_020,Li5.5AsS3.8O0.7Br1.5,0.00875,unknow,argyrodites
exp_021,Li5.5AsS2.5O2Br1.5,0.0002817,unknow,argyrodites
exp_022,Li5.5As0.9Sb0.1S4.5Br1.5,0.01685,unknow,argyrodites
exp_023,Li5.5As0.9Sb0.2S4.5Br1.5,0.00906,unknow,argyrodites
exp_024,Li5.5As0.9Sb0.1S4.3O0.2Br1.5,0.01255,unknow,argyrodites
exp_029,Li6.65As0.35Si0.65S5I,0.006347,unknow,argyrodites
exp_030,Li6.7As0.3Si0.7S5I,0.010615,unknow,argyrodites
exp_031,Li6.75As0.25Si0.75S5I,0.004784,unknow,argyrodites
exp_032,Li6.8As0.2Si0.8S5I,0.005813,unknow,argyrodites
exp_033,Li6.6Sb0.4Si0.6S5I,0.008844,unknow,argyrodites
exp_034,Li6.65Sb0.35Si0.65S5I,0.010755,unknow,argyrodites
exp_035,Li6.7Sb0.3Si0.7S5I,0.014409,unknow,argyrodites
exp_036,Li6.75Sb0.25Si0.75S5I,0.006307,unknow,argyrodites
exp_037,Li6.8Sb0.2Si0.8S5I,0.000927,unknow,argyrodites
exp_038,Li6.9Sb0.3Si0.7S5.2I0.8,0.010075,unknow,argyrodites
exp_039,Li6.8Sb0.3Si0.7S5.1I0.9,0.008795,unknow,argyrodites
exp_040,Li6.7Sb0.3Si0.7S5I,0.014409,unknow,argyrodites
exp_041,Li6.6Sb0.3Si0.7S4.9I1.1,0.001267,unknow,argyrodites
exp_042,Li6.5Sb0.3Si0.7S4.8I1.2,0.00535,unknow,argyrodites
exp_043,Li3.875Sn0.875As0.125S4,0.00054,unknow,thio_lisicon
exp_011,Li5.4PS4.3O0.1ClBr0.6,0.01149,unknow,argyrodites
exp_012,Li5.4PS4.2O0.2ClBr0.6,0.01245,unknow,argyrodites
exp_013,Li5.4PS4O0.4ClBr0.6,0.0127,unknow,argyrodites
exp_014,Li5.4PS3.6O0.8ClBr0.6,0.00943,unknow,argyrodites
exp_015,Li5.4PS3.2O1.2ClBr0.6,0.00522,unknow,argyrodites
exp_016,Li5.4PS2.5O1.9ClBr0.6,0.00123,unknow,argyrodites
exp_025,Li5.4PS4O0.4Cl0.95F0.05Br0.6,0.01322,unknow,argyrodites
exp_026,Li5.4PS4O0.4Cl0.9F0.1Br0.6,0.01309,unknow,argyrodites
exp_027,Li5.4PS4O0.4Cl0.85F0.15Br0.6,0.01001,unknow,argyrodites
exp_028,Li5.4PS4O0.4Cl0.8F0.2Br0.6,0.00509,unknow,argyrodites
exp_045,Li5.4PS4.4ClBr0.6,0.01348,unknow,argyrodites
