ID	组成	离子电导率@298K (S/cm)
group1
exp_001	Li5.7PS4.7Cl1.3	0.0081
exp_002	Li5.5PS4.5Cl1.5	0.010116
exp_003	Li5.4PS4.4Cl1.6	0.007137
exp_004	Li5.3PS4.3Cl1.7	0.007295
exp_005	Li5.5PS4.5Cl1.45I0.05	0.013723
exp_006	Li5.5PS4.5Cl1.4I0.1	0.010312
exp_007	Li5.5PS4.5Cl1.35I0.15	0.010565
exp_008	Li5.5PS4.5Cl1.3I0.2	0.00823
exp_009	Li5.5PS4.5Cl1.25I0.25	0.001604
exp_010	Li5.4PS4.4ClBr0.6	0.01348



group2
exp_044	Li3AsS4	9.1e-05
exp_017	Li5.5AsS4.5Br1.5	0.01753
exp_018	Li5.5AsS4.3O0.2Br1.5	0.01309
exp_019	Li5.5AsS4.1O0.4Br1.5	0.01118
exp_020	Li5.5AsS3.8O0.7Br1.5	0.00875
exp_021	Li5.5AsS2.5O2Br1.5	0.0002817
exp_022	Li5.5As0.9Sb0.1S4.5Br1.5	0.01685
exp_023	Li5.5As0.9Sb0.2S4.5Br1.5	0.00906
exp_024	Li5.5As0.9Sb0.1S4.3O0.2Br1.5	0.01255
exp_029	Li6.65As0.35Si0.65S5I	0.006347
exp_030	Li6.7As0.3Si0.7S5I	0.010615
exp_031	Li6.75As0.25Si0.75S5I	0.004784
exp_032	Li6.8As0.2Si0.8S5I	0.005813

group3
exp_033	Li6.6Sb0.4Si0.6S5I	0.008844
exp_034	Li6.65Sb0.35Si0.65S5I	0.010755
exp_035	Li6.7Sb0.3Si0.7S5I	0.014409
exp_036	Li6.75Sb0.25Si0.75S5I	0.006307
exp_037	Li6.8Sb0.2Si0.8S5I	0.000927
exp_038	Li6.9Sb0.3Si0.7S5.2I0.8	0.010075
exp_039	Li6.8Sb0.3Si0.7S5.1I0.9	0.008795
exp_040	Li6.7Sb0.3Si0.7S5I	0.014409
exp_041	Li6.6Sb0.3Si0.7S4.9I1.1	0.001267
exp_042	Li6.5Sb0.3Si0.7S4.8I1.2	0.00535
exp_043	Li3.875Sn0.875As0.125S4	0.00054

group4
exp_011	Li5.4PS4.3O0.1ClBr0.6	0.01149
exp_012	Li5.4PS4.2O0.2ClBr0.6	0.01245
exp_013	Li5.4PS4O0.4ClBr0.6	0.0127
exp_014	Li5.4PS3.6O0.8ClBr0.6	0.00943
exp_015	Li5.4PS3.2O1.2ClBr0.6	0.00522
exp_016	Li5.4PS2.5O1.9ClBr0.6	0.00123
exp_025	Li5.4PS4O0.4Cl0.95F0.05Br0.6	0.01322
exp_026	Li5.4PS4O0.4Cl0.9F0.1Br0.6	0.01309
exp_027	Li5.4PS4O0.4Cl0.85F0.15Br0.6	0.01001
exp_028	Li5.4PS4O0.4Cl0.8F0.2Br0.6	0.00509

group5
exp_045	Li5.4PS4.4ClBr0.6	0.01348
exp_046	Li5.4P0.9Sn0.1S4.4ClBr0.6	0.01346
exp_047	Li5.4P0.8Sn0.2S4.4ClBr0.6	0.00909
exp_048	Li5.4P0.6Sn0.4S4.4ClBr0.6	0.00332
exp_049	Li5.4P0.9Sn0.1S4.2O0.2ClBr0.6	0.01077
exp_050	Li5.4P0.8Sn0.2S4O0.4ClBr0.6	0.00591
exp_051	Li5.4P0.9Si0.1S4.2O0.2ClBr0.6	0.01033
exp_052	Li5.4P0.8Si0.2S4O0.4ClBr0.6	0.00531

group6
exp_053	Li10SnP2S12	0.00619
exp_054	Li9.9SnP2S11.8Cl0.1O0.1	0.00486
exp_055	Li10SnP1.8Sb0.2S11.8O0.2	0.004
exp_056	Li10SnP1.8Sb0.3S11.8O0.4	0.0016

exp_057	Li10SiP2S12	0.00151
exp_058	Li10Si0.3Sn0.7P2S12	0.00642
exp_059	Li10SnP2S11.8O0.2	0.00452
exp_060	Li10SiP2S11.8O0.2	0.00124
exp_061	Li10Si0.3Sn0.7P2S11.8O0.2	0.00495
exp_062	Li6.7Si0.7Sb0.3S4.8Se0.2I	0.016357
exp_063	Li6.7Si0.7Sb0.3S4.9O0.1I	0.014154
exp_064	Li6.7Si0.7Sb0.3S4.8O0.2I	0.012508
exp_065	Li6.7Si0.7Sb0.3S4.7O0.3I	0.011847
exp_066	Li6.7Si0.7Sb0.3S4.6O0.4I	0.010453
exp_067	Li6.7Si0.7Sb0.3S4.5O0.5I	0.009145
exp_068	Li6.7Si0.7Sb0.25As0.05S4.8O0.2I	0.012117
exp_069	Li6.7Si0.7Sb0.2As0.1S4.8O0.2I	0.013872
exp_070	Li6.7Si0.7Sb0.15As0.15S4.8O0.2I	0.012704
exp_071	Li6.7Si0.7Sb0.3S4.6Se0.2O0.2I	0.01329
exp_072	Li6.7Si0.7Sb0.3S4.4Se0.3O0.3I	0.012074

group7
exp_073	Li2.8Zr0.75Al0.25O1.4Cl3.75	0.001642  #1.4Li2O-0.75ZrCl4-0.25AlCl3
exp_074	Li2ZrP0.6667O2.6667Cl4	0.002056  #2/3Li3PO4-ZrCl4
exp_075	LiZrS0.5O2Cl4	0.001374  #0.5Li2SO4-ZrCl4
exp_076	Li1.2FeO1.2H1.2Cl3	0.001062  #1.2LiOH-FeCl3
exp_077	Li2ZrCl6	0.000411
exp_078	Li3Zr0.75OCl4	0.001005
exp_079	Li1.75ZrCl4.75O0.5	0.001008

group8
exp_080	Li5.43P0.97Zr0.03S4.34O0.06ClBr0.6	0.01186
exp_081	Li5.45P0.95Zr0.05S4.3O0.1ClBr0.6	0.01091
exp_082	Li5.47P0.93Zr0.07S4.26O0.14ClBr0.6	0.00873
exp_083	Li5.5P0.9Zr0.1S4.2O0.2ClBr0.6	0.00859
exp_084	Li5.6P0.85Zr0.2S4O0.4ClBr0.6	0.00273
exp_085	Li5.7P0.7Zr0.3S3.8O0.6ClBr0.6	0.00066

group8
exp_086	Li3.45Sn0.09Si0.36P0.55S3.65O0.35	0.0054
exp_087	Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6	0.0099
exp_088	Li9.54Si1.566Sn0.174P1.34Sb0.1S11.1Br0.3O0.6	0.00922
exp_089	Li9.54Si1.566Sn0.174P1.34Sb0.2S11.1Br0.3O0.6	0.00999
exp_090	Li9.54Si1.566Sn0.174P1.34Sb0.3S11.1Br0.3O0.6	0.00813
exp_091	Li9.54Si1.566Sn0.174P1.34As0.1S11.1Br0.3O0.6	0.01236
exp_092	Li9.54Si1.566Sn0.174P1.34As0.2S11.1Br0.3O0.6	0.01357
exp_093	Li9.54Si1.566Sn0.174P1.34As0.3S11.1Br0.3O0.6	0.01055
exp_094	Li9.54Si1.74P1.44S11.7Br0.3	0.0058
exp_095	Li9.54Si1.74P1.44S11.4Br0.3O0.3	0.0088
exp_096	Li9.54Si1.74P1.44S11.1Br0.3O0.6	0.0109
exp_097	Li9.54Si1.74P1.44S10.8Br0.3O0.9	0.0067
exp_098	Li9.54(Si0.9Ge0.1)1.74P1.44S11.1Br0.3O0.6	0.0123
exp_099	Li9.54(Si0.8Ge0.2)1.74P1.44S11.1Br0.3O0.6	0.0113
exp_100	Li9.54(Si0.7Ge0.3)1.74P1.44S11.1Br0.3O0.6	0.0135
exp_101	Li9.54(Si0.6Ge0.4)1.74P1.44S11.1Br0.3O0.6	0.0136
exp_102	Li9.54(Si0.5Ge0.5)1.74P1.44S11.1Br0.3O0.6	0.0138
exp_103	Li9.54(Si0.4Ge0.6)1.74P1.44S11.1Br0.3O0.6	0.0127
exp_104	Li9.54(Si0.3Ge0.7)1.74P1.44S11.1Br0.3O0.6	0.0111
exp_105	Li9.54(Si0.2Ge0.8)1.74P1.44S11.1Br0.3O0.6	0.0079
exp_106	Li9.54(Si0.1Ge0.9)1.74P1.44S11.1Br0.3O0.6	0.0054
exp_107	Li9.54Ge1.74P1.44S11.1Br0.3O0.6	0.0041
exp_108	Li9.54(Si0.9Sn0.1)1.74P1.44S11.1Br0.3O0.6	0.0115
exp_109	Li9.54(Si0.8Sn0.2)1.74P1.44S11.1Br0.3O0.6	0.0088
exp_110	Li9.54(Si0.7Sn0.3)1.74P1.44S11.1Br0.3O0.6	0.0077
exp_111	Li9.54(Si0.6Sn0.4)1.74P1.44S11.1Br0.3O0.6	0.0067
exp_112	Li9.54(Si0.5Sn0.5)1.74P1.44S11.1Br0.3O0.6	0.0049
exp_113	Li9.54(Si0.4Sn0.6)1.74P1.44S11.1Br0.3O0.6	0.0045
