组成	离子电导率@298K (S/cm)		备注
group1
Li4ZrCl4O2	1.5 x 10-3		球磨
Li2.25Zr0.75In0.25Cl6	3.7 x 10-4		球磨
Li2.4Zr0.8Zn0.2Cl6	3.0 x 10-4		球磨
Li2ZrCl5Br	8.9 x 10-5		球磨
Li2.4Zr0.7In0.2Zn0.1Cl6	3.1 x 10-4		球磨
Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6	1.8 x 10-4		球磨
Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6	2.8 x 10-4		球磨
Li2.5Y0.5Zr0.5Cl6	7.4 x 10-4		球磨


group2

Li2.5Y0.5Zr0.5Cl6 + 5wt%ZrCl4	1.3 x 10-3		固相
Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4	1.4 x 10-3		固相
Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4	1.1 x 10-3		固相
Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4	1.1 x 10-3		固相
Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4	1.5 x 10-3		固相
Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4	1.6 x 10-3		固相
Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4	1.6 x 10-3		固相
Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4	1.5 x 10-3		固相
Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4	1.6 x 10-3		固相
Li3.15Y0.75Zr0.05Zn0.2Cl6 + 5wt%ZrCl4	2.0 x 10-5		固相

hal_019,Li3Y0.9Al0.1Cl3.6Br2.4,0.00083,unknow,halides
hal_020,Li3Y0.9Al0.1Cl5Br,0.00048,unknow,halides

hal_021,Li2.5Y0.75W0.25Cl3.5Br2.5,0.0018,unknow,halides
hal_022,Li2.6Y0.8W0.2Cl5.8Br0.2,0.00025,unknow,halides
