| 无P体系 | 样品分子式 | 28℃离子电导率（mS/cm） | 暴露24h电导率保持率 | 复合正极放热量（J/g） |
|---|---|---|---|---|
| SbSi | Li₆.₇Si₀.₇Sb₀.₃S₅I | 14.123（打粉） | 82.78% | 1106 |
| SbSi-Se掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₈Se₀.₂I | 16.357（打粉） | 97.52% | 1081 |
| SbSi—O掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₉O₀.₁I | 14.154 | 93.70% | / |
| SbSi—O掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₈O₀.₂I | 14.016（打粉，25℃） | 99.11% | 859（国轩）/881.64（微谱） |
| SbSi—O掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₇O₀.₃I | 11.847 | / | 1559 |
| SbSi—O掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₆O₀.₄I | 10.453 | / | / |
| SbSi—O掺杂 | Li₆.₇Si₀.₇Sb₀.₃S₄.₅O₀.₅I | 9.145 | / | 944.5 |
| SbSi—As/O共掺 | Li₆.₇Si₀.₇Sb₀.₂As₀.₁S₄.₈O₀.₂I | 13.872 | 95.34% | 1839 |
| SbSi—Se/O共掺 | Li₆.₇Si₀.₇Sb₀.₃S₄.₈Se₀.₂O₀.₂I | 13.290（打粉） | / | 1406 |
| SbSi—Se/O共掺 | Li₆.₇Si₀.₇Sb₀.₃S₄.₄Se₀.₃O₀.₃I | 12.074（打粉） | 88.87% | 1131 |
| SbSi—Zr/O共掺 | Li₆.₇Si₀.₆₅Sb₀.₃Zr₀.₀₅S₄.₉O₀.₁I | 13.925 | 88.74% | / |
| SbSi—Zr/O共掺 | Li₆.₇Si₀.₆Sb₀.₃Zr₀.₁S₄.₈O₀.₂I | 10.083 | 94.12% | / |
