doi,split,pair_rows,decrease_rows,increase_rows,unchanged_rows,selection_key
10.1002/adfm.200400044,train,1,0,0,1,c3ecbbef9d22117feeaa4273d9c7fd248774d9ebdde5abcaf7261a4bf558dceb
10.1002/adma.201803075,train,1,0,1,0,205adea44904abb2fa41568a6c80bc28238511ea5f1ab2e47b6850ec6e9126b7
10.1002/adma.202501838,train,6,3,0,3,48a033e31ff2b4c61f7cb3e836f0aea62cce261428d22d90ee2e941dfc9a9aef
10.1002/aenm.202405760,train,16,8,7,1,b67105f751aa015458dbb12aba1cfb399e5ce6215959b6388de287c4fbbc7997
10.1002/anie.202217581,train,1,1,0,0,1e8de57b36636e42ac5430d9ada0e65101c092ef056f5f96819fbc949422f8e4
10.1002/chin.199345017,train,1,0,0,1,cd3ebaf1ab141a7d2d94ea9d1858b6140ac180878ae30390a65470fae75536aa
10.1002/pssa.201001117,train,3,1,1,1,1988805c59e248b0bff2e845a4f73f3947f6fe29c98b2902e3c20d4f0768f3a3
10.1002/smll.202407418,train,6,2,1,3,479021b6b72fd7b291f7370752ff9550a0547cf9ae3dcf46da2c75d49d6ba1aa
10.1002/smll.202505926,train,18,10,4,4,af3fe83599d0814071030b13e1604bc8b96ecb09ab853d88d5fb30feb7fd8a4c
10.1002/smll.74036,train,21,0,21,0,0164c4adf4c9a5c73456e6496e76dfc97704879b15e240f02279c6461dfbf830
10.1006/jssc.1995.1140,train,1,0,0,1,7f8a255362a4797463968c9166f1f5cc39c931ef062988272f701cbf2ec4cebd
10.1006/jssc.2002.9701,train,36,3,5,28,8d10cee0b514f5dc4a6f07f3eccf945a6b69e71aba2c0f2c4a4fddc841f96637
10.1007/s10008-012-1780-x,train,1,1,0,0,df28399da9ce806e648949b9ec47a797af54e7eb7d1032f2f1ce1257d675aa69
10.1007/s10008-023-05612-9,train,55,32,13,10,cc6cde0f86e8f98b42213543c577d21e3368df1ab0a514daaa50fefb14edaba8
10.1007/s10854-025-14581-w,train,3,0,3,0,264e2a3061ec68f57169a878b1c5922d9895e7406ff52f9821df2d9fc9905bad
10.1007/s11164-013-1348-0,train,1,1,0,0,a38fbd6d88e934efb0696a30b59861efb6dd5caba07fef2d8420024244e4bc2a
10.1007/s11581-006-0011-9,train,7,4,1,2,b6e2d45ea4f3bd98afa9ae7922dc4540b685b50b0cd20eba98de9fdc54a0e919
10.1007/s11581-007-0097-8,validation,28,0,0,28,5d78024498f1fe85eb8f59a6b543f5e6b3c6060bde4f47b3784e037a1bab40a7
10.1007/s12039-011-0068-5,train,3,0,0,3,4e2d905272159e3f309e9901f79b81eea37341577343964c19f8cec6dd084ea7
10.1016/0025-5408(76)90169-0,train,1,0,0,1,74eadc84d39217529de47be8a6e5493a6c2e325e4e2c78517591bec053429d18
