ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),chi_range_x_r_avg,Ionic conductivity (S cm-1)
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",0.5,3.44,1.9,76.0,138.2,68.5625,0.07142857142857142,435615304993.695,0.06578947368421052,242.08157142857138,1.58489e-06
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.14285714285714285,38922178734970.945,0.29411764705882354,194.0952380952381,0.0032
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.14285714285714285,38922178734970.945,0.29411764705882354,194.0952380952381,0.0086
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4318181818181819,2.58,2.046,40.199999999999996,184.0,61.8125,0.11363636363636365,9041768954029.035,0.12838874680306905,187.76363636363638,1.78e-06
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40119760479041916,2.58,2.1270000000000002,27.150000000000002,184.0,58.22413793103448,0.11976047904191617,25849499455808.86,0.22161125319693095,189.5616766467066,0.00154
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3975903614457832,2.58,2.136,25.7,184.0,57.77906976744186,0.12048192771084339,27717025067117.73,0.2319693094629156,189.77349397590365,0.00174
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3939393939393939,2.58,2.145,24.25,184.0,57.3235294117647,0.12121212121212122,29584550678426.598,0.24232736572890023,189.9878787878788,0.0022
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39024390243902435,2.58,2.1539999999999995,22.799999999999997,184.0,56.857142857142854,0.12195121951219512,31452076289735.47,0.2526854219948849,190.2048780487805,0.000555
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40476190476190477,2.58,2.074,23.400000000000002,184.0,57.477272727272734,0.11904761904761905,25056061853776.402,0.2249554367201426,188.36190476190475,0.000662
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39024390243902435,2.58,2.1319999999999997,20.2,184.0,56.238095238095234,0.12195121951219512,31989120294373.67,0.2595365418894831,189.69756097560975,3.2e-06
