ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1)
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.3449999999999998,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.49611070911722144,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.02118664717348928,0.06578947368421052,0.0,0.07142857142857142,0.42857142857142855,0.5,1.58489e-06
oi6,Li7.0Sb1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 5.0}]",2.1107142857142858,3.44,1.11375,2.05,-2.32625,-1.3900000000000001,2.46,97.2642857142857,138.2,66.5625,60.0,-78.19999999999999,-71.63749999999999,0.43415340086830684,0.4816389290882779,137832541472.30035,28978758058.690765,219472879032.50754,885299370948.6678,7.573577811306077,190494120973.81677,0.023379629629629632,0.08333333333333333,0.0,0.07142857142857142,0.42857142857142855,0.5,6.7e-08
2t8,Li2.0V2.0P2.0O8.0F2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8175,3.5479999999999996,1.5999999999999999,1.91,-1.9479999999999997,-1.6379999999999997,3.0,103.990625,136.685,49.5,40.5,-96.185,-87.185,0.29630171562351393,0.36214654131762813,4952160777151.8,26614830294.05305,13161404021914.71,19679928628492.68,494.51391861234447,13134789191620.658,0.1186024872912128,0.17049632352941177,0.125,0.25,0.5,0.125,8.1e-07
47i,Li8.0P4.0O14.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.4907692307692306,3.44,1.3833333333333335,2.19,-2.0566666666666666,-1.25,2.46,97.79999999999998,138.2,50.666666666666664,17.0,-121.19999999999999,-87.53333333333333,0.12301013024602027,0.3666184273999035,6041894462414.446,28978758058.690765,13056962784162.828,38922178734970.945,450.5701299454767,13027984026104.137,0.10791575889615106,0.29411764705882354,0.0,0.15384615384615385,0.5384615384615384,0.3076923076923077,<1E-10
clt,Li6.0Cu1.0B4.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cu"", ""value"": 2.0}]",2.397142857142857,3.44,1.449090909090909,2.012,-1.990909090909091,-1.428,2.46,89.14285714285714,138.2,44.54545454545455,17.0,-121.19999999999999,-93.65454545454544,0.12301013024602027,0.32232600973556114,101242447365550.28,28978758058.690765,193254691554179.0,425011095648683.25,6668.839677766027,193225712796120.3,0.19287961583043553,0.4065573770491803,0.0,0.23809523809523808,0.47619047619047616,0.2857142857142857,1e-13
ix1,Li5.46Hf12.13P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8647625243981785,3.44,1.701033998314133,1.8316959840690343,-1.738966001685867,-1.6083040159309656,2.46,106.87154940050189,138.2,43.492835066029784,39.1423830069698,-99.0576169930302,-94.7071649339702,0.2832299783427627,0.314709370955353,6583662764297.0,28978758058.690765,19844051874978.6,23417551575660.99,684.7792384610957,19815073116919.91,0.16996053455567858,0.19807522522229376,0.0,0.28004461381169254,0.6692071753880472,0.05074821080026024,3.2e-07
bq9,Li24.0Bi8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.165714285714286,3.44,1.21,1.9,-2.23,-1.54,2.46,102.87142857142855,138.2,76.375,103.0,-35.19999999999999,-61.82499999999999,0.7452966714905934,0.5526410998552822,80714184902.04243,28978758058.690765,119515755034.55618,104998593861.9137,4.124253868730349,90536996975.86542,0.018392664509169362,0.02912621359223301,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.4e-10
skm,Li10.0Bi2.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1818181818181817,3.44,1.1333333333333335,1.9,-2.3066666666666666,-1.54,2.46,100.4090909090909,138.2,68.91666666666667,76.0,-62.19999999999999,-69.28333333333332,0.5499276410998554,0.49867342016401356,109298467189.18188,28978758058.690765,176231558131.2578,435615304993.695,6.081404792239043,147252800072.56705,0.02331059129304743,0.06578947368421052,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,3.9e-09
pwr,Li7.22Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.238130081300813,3.44,1.1952928416485902,1.9724999999999997,-2.2447071583514098,-1.4675000000000002,2.46,95.8739837398374,138.2,59.14859002169197,29.0,-109.19999999999999,-79.05140997830802,0.20984081041968164,0.4279926919080462,1566555804249.14,28978758058.690765,2900679054739.768,12923209582731.17,100.09673461040029,2871700296681.077,0.04727114623758749,0.16443850267379678,0.0,0.11614401858304298,0.4645760743321719,0.41927990708478513,1.64e-07
b4c,Li8.0Si2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7933333333333334,2.58,1.1640000000000001,1.9,-1.416,-0.6800000000000002,1.6,115.44444444444444,184.0,60.6,33.0,-151.0,-123.4,0.1793478260869565,0.3293478260869565,533713371713.27313,12278644599.949677,950861153403.9319,4256886531984.5776,77.44023745160186,938582508803.9822,0.036094276094276095,0.12121212121212122,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.59e-08
