ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.345,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.4961107091172214,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.0211866471734892,0.0657894736842105,0.0,0.0714285714285714,0.4285714285714285,0.5,1.58489e-06,10876.085,3.75,75.57142857142857,25.875,0.0,0.0,0.0,12.661270546621433
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.58,1.343,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.092391304347826,0.2845108695652174,5608194521753.509,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,11751423342022.477,0.0986056644880174,0.2941176470588235,0.0,0.1428571428571428,0.5238095238095238,0.3333333333333333,0.0032,19294.130952380954,0.0,104.71428571428572,17.099999999999998,0.0,0.0,0.0,19.157845229472827
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.58,1.343,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.092391304347826,0.2845108695652174,5608194521753.509,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,11751423342022.477,0.0986056644880174,0.2941176470588235,0.0,0.1428571428571428,0.5238095238095238,0.3333333333333333,0.0086,19294.130952380954,0.0,104.71428571428572,17.099999999999998,0.0,0.0,0.0,19.157845229472827
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8284090909090909,2.58,1.2020833333333332,2.046,-1.377916666666667,-0.5340000000000003,1.6,117.35227272727272,184.0,61.8125,40.2,-143.8,-122.1875,0.2184782608695652,0.3359375,1086753614285.4728,12278644599.949677,1982149422356.7424,9041768954029.035,161.43063725167727,1969870777756.7925,0.0384760506457011,0.128388746803069,0.0,0.1136363636363636,0.4545454545454546,0.4318181818181819,1.78e-06,17555.49431818182,1.6666666666666667,106.2,19.291666666666668,0.500402423538188,503646768850.69635,127906.36960000005,17.823173031848675
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8838323353293407,2.58,1.2436781609195402,2.127,-1.33632183908046,-0.4529999999999998,1.6,118.4760479041916,184.0,58.22413793103448,27.15,-156.85,-125.77586206896552,0.1475543478260869,0.316435532233883,3151521274676.711,12278644599.949677,6038181164402.469,25849499455808.86,491.76284200189457,6025902519802.52,0.0623542259371403,0.2216112531969309,0.0,0.1197604790419161,0.4790419161676646,0.4011976047904191,0.00154,18157.59131736527,0.8045977011494253,105.30000000000001,17.45977011494253,0.6474466390346325,716122749459.5837,181866.86927500003,17.910485486294924
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8903614457831328,2.58,1.2488372093023254,2.136,-1.3311627906976746,-0.4439999999999999,1.6,118.60843373493977,184.0,57.77906976744186,25.7,-158.3,-126.22093023255816,0.1396739130434782,0.3140166835187057,3394760302942.3457,12278644599.949677,6541254868842.249,27717025067117.73,532.7342782499835,6528976224242.3,0.065315860081815,0.2319693094629156,0.0,0.1204819277108433,0.4819277108433735,0.3975903614457832,0.00174,18228.521084337346,0.6976744186046512,105.20000000000002,17.232558139534884,0.6108643020548934,661036384116.5388,167877.11010000002,17.920799412476807
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8969696969696968,2.58,1.2541176470588236,2.145,-1.3258823529411763,-0.435,1.6,118.74242424242424,184.0,57.3235294117647,24.25,-159.75,-126.6764705882353,0.1317934782608695,0.3115409207161125,3640947683065.7456,12278644599.949677,7056165601621.789,29584550678426.6,574.6697482921453,7043886957021.84,0.068347179735776,0.2423273657289002,0.0,0.1212121212121212,0.4848484848484848,0.3939393939393939,0.0022,18300.310606060608,0.5882352941176471,105.10000000000001,17.0,0.5623351446188083,590211057246.9097,149890.27687500004,17.931244403758832
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9036585365853655,2.58,1.2595238095238093,2.1539999999999995,-1.3204761904761908,-0.4260000000000006,1.6,118.8780487804878,184.0,56.85714285714285,22.8,-161.2,-127.14285714285714,0.1239130434782608,0.3090062111801242,3890137348312.6006,12278644599.949677,7583336113753.222,31452076289735.47,617.6036819067392,7571057469153.272,0.0714506736672124,0.2526854219948849,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,0.000555,18372.975609756097,0.47619047619047616,105.0,16.761904761904763,0.500402423538188,503646768850.69635,127906.36960000002,17.941822972590185
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.58,1.2286363636363635,2.074,-1.3513636363636363,-0.5060000000000002,1.6,117.72619047619048,184.0,57.477272727272734,23.4,-160.6,-126.52272727272728,0.1271739130434782,0.3123764822134388,3039045569280.478,12278644599.949677,5790651864444.596,25056061853776.4,471.60350780641767,5778373219844.646,0.0625740470660256,0.2249554367201426,0.0,0.119047619047619,0.4761904761904762,0.4047619047619047,0.000662,18038.60119047619,0.0,105.0,15.136363636363637,0.6730116670092565,234820391416.1032,450258.74159999995,17.108354240948575
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9009756097560973,2.58,1.2542857142857142,2.132,-1.3257142857142858,-0.4480000000000004,1.6,118.56097560975608,184.0,56.238095238095234,20.2,-163.8,-127.76190476190476,0.1097826086956521,0.3056418219461697,3955630519609.9424,12278644599.949677,7711203733905.175,31989120294373.67,628.0175039789635,7698925089305.226,0.0730818926897358,0.2595365418894831,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,3.2e-06,18347.926829268294,0.0,104.80000000000001,15.428571428571427,0.500402423538188,156546927610.7355,300172.49439999997,17.53076499271374
