ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.345,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.4961107091172214,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.0211866471734892,0.0657894736842105,0.0,0.0714285714285714,0.4285714285714285,0.5,1.58489e-06,10876.085,3.75,75.57142857142857,25.875,0.0,0.0,0.0,12.661270546621433
oi6,Li7.0Sb1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 5.0}]",2.1107142857142858,3.44,1.11375,2.05,-2.32625,-1.39,2.46,97.2642857142857,138.2,66.5625,60.0,-78.19999999999999,-71.63749999999999,0.4341534008683068,0.4816389290882779,137832541472.30035,28978758058.690765,219472879032.50757,885299370948.6678,7.573577811306077,190494120973.8168,0.0233796296296296,0.0833333333333333,0.0,0.0714285714285714,0.4285714285714285,0.5,6.7e-08,10720.656428571427,2.5,74.0,20.375,0.0,0.0,0.0,12.182041666022482
2t8,Li2.0V2.0P2.0O8.0F2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8175,3.548,1.6,1.91,-1.948,-1.6379999999999997,3.0,103.990625,136.685,49.5,40.5,-96.185,-87.185,0.2963017156235139,0.3621465413176281,4952160777151.8,26614830294.05305,13161404021914.71,19679928628492.68,494.51391861234447,13134789191620.658,0.1186024872912128,0.1704963235294117,0.125,0.25,0.5,0.125,8.1e-07,12800.137578124999,1.0,78.42857142857142,36.33333333333333,0.6931471805599453,45820761442142.7,870209.1225,18.485340384654382
47i,Li8.0P4.0O14.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.49076923076923,3.44,1.3833333333333335,2.19,-2.056666666666666,-1.25,2.46,97.79999999999998,138.2,50.66666666666666,17.0,-121.2,-87.53333333333333,0.1230101302460202,0.3666184273999035,6041894462414.446,28978758058.690765,13056962784162.828,38922178734970.95,450.5701299454767,13027984026104.137,0.107915758896151,0.2941176470588235,0.0,0.1538461538461538,0.5384615384615384,0.3076923076923077,<1E-10,11730.590769230768,0.0,73.66666666666667,18.0,0.0,0.0,0.0,13.697657571247916
clt,Li6.0Cu1.0B4.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cu"", ""value"": 2.0}]",2.397142857142857,3.44,1.449090909090909,2.012,-1.990909090909091,-1.428,2.46,89.14285714285714,138.2,44.54545454545455,17.0,-121.2,-93.65454545454544,0.1230101302460202,0.3223260097355611,101242447365550.28,28978758058.690765,193254691554179.0,425011095648683.25,6668.839677766027,193225712796120.3,0.1928796158304355,0.4065573770491803,0.0,0.238095238095238,0.4761904761904761,0.2857142857142857,1e-13,10580.709523809524,0.9090909090909092,72.53333333333333,15.181818181818182,0.5004024235381879,9782397763388.92,157205.90606400004,12.490424153896155
ix1,Li5.46Hf12.13P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8647625243981785,3.44,1.701033998314133,1.8316959840690343,-1.738966001685867,-1.6083040159309656,2.46,106.87154940050188,138.2,43.49283506602978,39.1423830069698,-99.0576169930302,-94.7071649339702,0.2832299783427627,0.314709370955353,6583662764297.0,28978758058.690765,19844051874978.6,23417551575660.99,684.7792384610957,19815073116919.91,0.1699605345556785,0.1980752252222937,0.0,0.2800446138116925,0.6692071753880472,0.0507482108002602,3.2e-07,13645.378985035783,7.498173644282101,81.08019191226869,68.66704130373701,0.6740473756584149,166733843651696.75,1152146.0054715879,22.47991991664303
bq9,Li24.0Bi8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.165714285714286,3.44,1.21,1.9,-2.23,-1.54,2.46,102.87142857142857,138.2,76.375,103.0,-35.19999999999999,-61.82499999999999,0.7452966714905934,0.5526410998552822,80714184902.04243,28978758058.690765,119515755034.55618,104998593861.9137,4.124253868730349,90536996975.86542,0.0183926645091693,0.029126213592233,0.0,0.1428571428571428,0.4285714285714285,0.4285714285714285,2.4e-10,11653.63857142857,7.5,85.0,42.75,0.0,0.0,0.0,16.14721172096452
skm,Li10.0Bi2.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1818181818181817,3.44,1.1333333333333335,1.9,-2.306666666666666,-1.54,2.46,100.4090909090909,138.2,68.91666666666667,76.0,-62.19999999999999,-69.28333333333332,0.5499276410998554,0.4986734201640135,109298467189.18188,28978758058.690765,176231558131.2578,435615304993.695,6.081404792239043,147252800072.56705,0.0233105912930474,0.0657894736842105,0.0,0.0909090909090909,0.4545454545454545,0.4545454545454545,3.9e-09,11277.586363636363,5.0,77.66666666666666,31.5,0.0,0.0,0.0,13.826208905373788
pwr,Li7.22Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.238130081300813,3.44,1.1952928416485902,1.9725,-2.2447071583514098,-1.4675000000000002,2.46,95.8739837398374,138.2,59.14859002169197,29.0,-109.2,-79.05140997830802,0.2098408104196816,0.4279926919080462,1566555804249.14,28978758058.690765,2900679054739.768,12923209582731.17,100.09673461040028,2871700296681.077,0.0472711462375874,0.1644385026737967,0.0,0.1161440185830429,0.4645760743321719,0.4192799070847851,1.64e-07,10886.646051103367,0.0,73.35000000000001,14.856832971800436,0.5623351446188083,183453430793.83066,351764.641875,12.068576190917717
b4c,Li8.0Si2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7933333333333334,2.58,1.164,1.9,-1.416,-0.6800000000000002,1.6,115.44444444444444,184.0,60.6,33.0,-151.0,-123.4,0.1793478260869565,0.3293478260869565,533713371713.27313,12278644599.949677,950861153403.932,4256886531984.5776,77.44023745160186,938582508803.9822,0.036094276094276,0.1212121212121212,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.59e-08,17193.11111111111,0.0,105.60000000000001,14.4,0.0,0.0,0.0,16.004976284093658
7se,Li91.2Si19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.818409090909091,2.58,1.18375,1.958,-1.3962500000000002,-0.6220000000000001,1.6,116.17045454545456,184.0,59.645833333333336,29.8,-154.2,-124.35416666666666,0.1619565217391304,0.3241621376811594,1330864525484.6565,12278644599.949677,2429686092888.5786,11189944972581.852,197.87901450446225,2417407448288.629,0.0441853172245329,0.1557932263814616,0.0,0.1136363636363636,0.4545454545454546,0.4318181818181819,8.11e-07,17462.130681818184,0.0,105.4,14.625000000000002,0.500402423538188,156546927610.7355,300172.4944000001,16.348104927230448
5e2,Li86.4Si14.4P9.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8446511627906976,2.58,1.2052173913043476,2.016,-1.3747826086956525,-0.5640000000000001,1.6,116.93023255813954,184.0,58.60869565217391,26.6,-157.4,-125.3913043478261,0.1445652173913043,0.3185255198487712,2165092477105.872,12278644599.949677,4037104505371.8906,18123003413179.125,328.7907286923539,4024825860771.941,0.0529799271487251,0.1903743315508021,0.0,0.1162790697674418,0.4651162790697674,0.4186046511627907,7.19e-05,17743.662790697672,0.0,105.2,14.869565217391305,0.6730116670092565,234820391416.1032,450258.7416,16.715073125067914
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.58,1.2286363636363635,2.074,-1.3513636363636363,-0.5060000000000002,1.6,117.72619047619048,184.0,57.477272727272734,23.4,-160.6,-126.52272727272728,0.1271739130434782,0.3123764822134388,3039045569280.478,12278644599.949677,5790651864444.596,25056061853776.4,471.60350780641767,5778373219844.646,0.0625740470660256,0.2249554367201426,0.0,0.119047619047619,0.4761904761904762,0.4047619047619047,0.000662,18038.60119047619,0.0,105.0,15.136363636363637,0.6730116670092565,234820391416.1032,450258.74159999995,17.108354240948575
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9009756097560973,2.58,1.2542857142857142,2.132,-1.3257142857142858,-0.4480000000000004,1.6,118.56097560975608,184.0,56.238095238095234,20.2,-163.8,-127.76190476190476,0.1097826086956521,0.3056418219461697,3955630519609.9424,12278644599.949677,7711203733905.175,31989120294373.67,628.0175039789635,7698925089305.226,0.0730818926897358,0.2595365418894831,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,3.2e-06,18347.926829268294,0.0,104.80000000000001,15.428571428571427,0.500402423538188,156546927610.7355,300172.49439999997,17.53076499271374
y2l,Li10.0Al2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.6830000000000005,2.58,1.0850000000000002,1.61,-1.495,-0.97,1.6,111.975,184.0,63.958333333333336,46.25,-137.75,-120.04166666666666,0.2513586956521739,0.3475996376811594,183062677825.8899,12278644599.949677,296918699976.5167,1159738156065.2483,24.181716276545185,284640055376.567,0.0231564898231564,0.0648648648648648,0.0,0.1,0.4,0.5,1.4e-09,16034.431250000001,0.0,107.4,13.5,0.0,0.0,0.0,14.66324837693397
gl0,Li8.4Si1.6Al0.4S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7693478260869566,2.58,1.1457692307692309,1.842,-1.4342307692307694,-0.738,1.6,114.69021739130436,184.0,61.37499999999999,35.650000000000006,-148.35,-122.625,0.19375,0.3335597826086956,457484959998.62463,12278644599.949677,799951356459.1437,3637456856800.712,65.14980948812723,787672711859.194,0.0331086331086331,0.1099426699426699,0.0,0.108695652173913,0.4347826086956522,0.4565217391304348,2.4e-08,16941.22418478261,0.0,105.96000000000001,14.192307692307692,0.5004024235381879,629590944091.5105,90849.19374399999,15.703221786050982
wmr,Li8.8Si1.2Al0.8S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7463829787234042,2.58,1.1288888888888888,1.784,-1.4511111111111112,-0.796,1.6,113.96808510638296,184.0,62.09259259259259,38.3,-145.7,-121.90740740740742,0.2081521739130434,0.3374597423510467,384500310484.59937,12278644599.949677,660220062991.7473,3018027181616.846,53.76978359602112,647941418391.7976,0.0303441488626673,0.0986732186732186,0.0,0.1063829787234042,0.425531914893617,0.4680851063829787,3.05e-08,16700.05585106383,0.0,106.32000000000001,14.0,0.6730116670092565,944386416137.2657,136273.79061599998,15.4196405638122
xxq,Li9.2Si0.8Al1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7243750000000002,2.58,1.1132142857142855,1.726,-1.4667857142857144,-0.8540000000000001,1.6,113.27604166666669,184.0,62.75892857142858,40.95,-143.05,-121.24107142857142,0.2225543478260869,0.3410811335403726,314556688033.6586,12278644599.949677,530469576200.5936,2398597506432.98,43.20261669620828,518190931600.6439,0.0277771277771277,0.0874037674037674,0.0,0.1041666666666666,0.4166666666666667,0.4791666666666666,1.46e-08,16468.936197916668,0.0,106.68,13.821428571428571,0.6730116670092565,944386416137.2656,136273.79061599998,15.152681945793805
h8o,Li9.6Si0.4Al1.6S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.703265306122449,2.58,1.0986206896551725,1.668,-1.4813793103448276,-0.912,1.6,112.61224489795916,184.0,63.3793103448276,43.6,-140.4,-120.6206896551724,0.2369565217391304,0.3444527736131934,247467907315.40924,12278644599.949677,409667398843.3125,1779167831249.1145,33.364219927417025,397388754243.3628,0.0253871426285219,0.0761343161343161,0.0,0.1020408163265306,0.4081632653061224,0.4897959183673468,2.29e-07,16247.25,0.0,107.04,13.655172413793103,0.5004024235381879,629590944091.5105,90849.19374399999,14.90096333293285
pe2,Li17.0Sb13.0S28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sb"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.992241379310345,2.5800000000000005,1.4436666666666669,2.05,-1.136333333333334,-0.5300000000000007,1.6,125.94540229885057,184.0,71.7611111111111,77.33333333333333,-106.66666666666669,-112.2388888888889,0.4202898550724637,0.3900060386473429,97980994145.39894,12278644599.949677,177969853721.15158,248081835595.03476,14.494258895797095,165691209121.2019,0.0252054065559812,0.0387931034482758,0.0,0.2241379310344827,0.4827586206896552,0.293103448275862,1.05e-09,19020.172892720308,8.666666666666668,114.73170731707317,48.43333333333334,0.0,0.0,0.0,27.613023588948174
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",2.0866666666666664,2.58,1.47,1.96,-1.11,-0.6200000000000001,1.6,132.55555555555554,184.0,68.25000000000001,69.0,-115.0,-115.75,0.375,0.3709239130434783,137940085739.35696,12278644599.949677,295016887163.6161,465678965568.46185,24.02682843062541,282738242563.6664,0.0363929146537842,0.0579710144927536,0.0,0.2222222222222222,0.5555555555555555,0.2222222222222222,0.00012,20879.38888888889,10.0,114.14285714285714,54.5,0.0,0.0,0.0,30.52557687327385
lkm,Li24.0Ge8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.265333333333333,3.44,1.2374999999999998,2.01,-2.2025,-1.4300000000000002,2.46,97.62666666666664,138.2,62.125,46.0,-92.2,-76.07499999999999,0.3328509406657019,0.4495296671490594,272820878436.705,28978758058.690765,486182733767.4674,1571666508793.5586,16.777210837772966,457203975708.7766,0.0328502415458937,0.0869565217391304,0.0,0.1333333333333333,0.4666666666666667,0.4,8.5e-07,11017.612,2.5,75.88888888888889,22.75,0.0,0.0,0.0,14.01653462208843
bv2,Li4.0Y4.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.27,3.44,1.1,1.22,-2.34,-2.22,2.46,109.9625,138.2,81.725,95.95,-42.25,-56.475,0.6942836468885673,0.5913531114327062,78049422529.50528,28978758058.690765,127120087000.3198,129885365241.86926,4.386664423053021,98141328941.62904,0.0230405496690019,0.0312662845231891,0.0,0.25,0.5,0.25,1.8e-08,12990.283124999998,5.5,96.0,54.5,0.0,0.0,0.0,19.936088085615726
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.438333333333333,2.96,1.395,1.81,-1.565,-1.15,1.98,151.0,196.0,61.0,54.5,-141.5,-135.0,0.2780612244897959,0.3112244897959184,142240436975.12537,5079321332.016004,416562668261.3441,708770527763.9178,82.01148165910753,411483346929.3281,0.0349303431872239,0.055045871559633,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,7e-06,26865.083333333332,5.0,116.19999999999999,36.5,0.0,0.0,0.0,51.98108800868945
n27,Li4.0B4.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.475,3.44,1.51,2.04,-1.93,-1.4,2.46,87.475,138.2,36.75,6.0,-132.2,-101.45,0.0434153400868306,0.2659189580318379,132840483723519.2,28978758058.690765,265651988688979.7,531179622569200.6,9167.128147830004,265623009930921.0,0.2574074074074074,0.5,0.0,0.25,0.5,0.25,1e-08,10697.682499999999,0.0,70.33333333333333,12.5,0.0,0.0,0.0,11.772638978711848
lrh,Li10.0V8.0P12.0O48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.7466666666666666,3.44,1.6373333333333335,1.966,-1.8026666666666664,-1.474,2.46,102.87948717948716,138.2,46.36666666666667,35.8,-102.4,-91.83333333333331,0.2590448625180897,0.3355041003376749,6066693608591.944,28978758058.690765,15727037369445.148,23528378649788.336,542.7091574315618,15698058611386.455,0.1350853304284676,0.1952205882352941,0.0,0.2564102564102564,0.6153846153846154,0.1282051282051282,1.9e-07,12802.07717948718,0.8,78.41176470588236,34.46666666666667,0.6730116670092565,43987930984456.99,835400.7576000001,17.91964809161961
1xt,Li8.0Sb8.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 3.0}]",2.4775,3.44,1.515,2.05,-1.925,-1.39,2.46,105.30833333333332,138.2,72.41666666666666,77.33333333333333,-60.86666666666666,-65.78333333333333,0.5595754944524843,0.5239990352146647,107598540117.79666,28978758058.690765,186218322176.90256,248081835595.0348,6.426028396377582,157239564118.2118,0.0268039591315453,0.0387931034482758,0.0,0.25,0.5,0.25,<1E-10,12183.79361111111,10.0,88.66666666666666,54.5,0.0,0.0,0.0,21.566691156650243
kbo,Li8.0Sr8.0Al4.0P12.0O48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sr"", ""value"": 2.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.666,3.44,1.505,1.68,-1.935,-1.76,2.49,107.46583333333334,138.2,61.364583333333336,59.31944444444445,-78.88055555555553,-76.83541666666665,0.4292289757195691,0.4440273757838881,5929672129962.873,28978758058.690765,14780712187819.145,19666164647505.938,510.05333485595634,14751733429760.451,0.1259719088403139,0.1630242735154803,0.0,0.3,0.6,0.1,<1E-10,13738.18323611111,2.5,88.66666666666666,45.25,1.0114042647073518,199549773516109.44,121868.07301388888,19.772754593614934
5zv,Li16.0Zn4.0P8.0O32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.498,3.44,1.4214285714285713,2.01,-2.0185714285714287,-1.4300000000000002,2.46,98.4622222222222,138.2,53.04761904761904,33.77777777777778,-104.42222222222222,-85.15238095238095,0.244412284933269,0.3838467369581697,5254944521050.071,28978758058.690765,11227476821611.646,26031639505415.484,387.438164150189,11198498063552.955,0.0967425033819908,0.2059794214715589,0.0,0.2,0.5333333333333333,0.2666666666666666,5.55e-18,11742.046518518517,1.4285714285714286,77.0,24.571428571428573,0.6365141682948128,11181706554189.4,31313.36542222221,15.360648270811492
5bz,Li12.0B4.0N8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""N"", ""value"": -3.0}]",1.8433333333333333,3.04,1.245,2.04,-1.795,-1.0,2.06,83.41666666666667,146.0,52.125,6.0,-140.0,-93.875,0.0410958904109589,0.3570205479452055,88604403465032.03,36866897357.61785,132888171748869.23,531179622569200.6,3604.539065487983,132851304851511.6,0.1361111111111111,0.5,0.0,0.1666666666666666,0.3333333333333333,0.5,8.7e-08,9389.458333333332,0.0,75.66666666666666,10.75,0.0,0.0,0.0,9.443520825443754
883,Li4.0Al4.0H16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""H"", ""value"": -1.0}]",1.8983333333333332,2.2,1.295,1.61,-0.9050000000000002,-0.5900000000000001,1.2200000000000002,112.29166666666669,140.0,56.875,46.25,-93.75,-83.125,0.3303571428571428,0.40625,223307265960.70444,13937657735.05191,642046482412.0094,1159738156065.2483,46.065593991257394,628108824676.9575,0.0398398398398398,0.0648648648648648,0.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,8.7e-09,14182.552083333332,0.0,50.6,22.5,0.0,0.0,0.0,2.404572704682243
uu4,Li8.0V8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",2.586,3.44,1.305,1.63,-2.135,-1.81,2.46,104.56999999999998,138.2,54.125,40.75,-97.45,-84.07499999999999,0.2948625180897251,0.3916425470332851,607443784065.0217,28978758058.690765,1475141323074.5183,2825927837390.266,50.90422854171011,1446162565015.8276,0.0687571006589411,0.1226993865030674,0.0,0.2,0.6,0.2,2.05e-09,12702.906499999997,1.5,77.75,36.5,0.0,0.0,0.0,17.067148703062117
tws,Li24.0Zr8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.1746666666666665,3.44,1.0675,1.33,-2.3725,-2.11,2.46,101.89333333333332,138.2,70.125,78.0,-60.19999999999999,-68.07499999999999,0.5643994211287989,0.5074167872648336,106247561910.50172,28978758058.690765,173857765280.8363,322366634847.03424,5.999489865256532,144879007222.14554,0.0239316239316239,0.0512820512820512,0.0,0.1333333333333333,0.4666666666666667,0.4,5.2e-10,11546.678666666667,3.0,81.22222222222223,31.75,0.0,0.0,0.0,14.44879926571346
l9v,Li36.0Al12.0F72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""F"", ""value"": -1.0}]",2.8430000000000004,3.98,1.1375,1.61,-2.8425,-2.37,3.0,103.25,130.625,62.1875,46.25,-84.375,-68.4375,0.354066985645933,0.4760765550239234,163575729775.4573,17159119235.502205,383200645585.3899,1159738156065.2483,22.332186187770525,366041526349.8877,0.0273273273273273,0.0648648648648648,0.6,0.1,0.0,0.3,5e-07,11818.515625,0.0,72.71428571428571,15.75,0.0,0.0,0.0,14.546668592445762
