ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),ir_mean_nonLi,d_electrons_mean_nonLi,covalent_radius_mean_nonLi,cation_entropy,d_electrons_std_nonLi,s_electrons_mean_nonLi,p_electrons_mean_nonLi,atomic_mass_mean_nonLi,ir_std_nonLi,n_elements
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.345,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.4961107091172214,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.0211866471734892,0.0657894736842105,0.0,0.0714285714285714,0.4285714285714285,0.5,1.58489e-06,124.71428571428571,4.285714285714286,74.28571428571428,0.0,10.497813183356477,5.142857142857142,7.285714285714285,43.56811428571429,3.1493439550069433,3
oi6,Li7.0Sb1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 5.0}]",2.1107142857142858,3.44,1.11375,2.05,-2.32625,-1.39,2.46,97.2642857142857,138.2,66.5625,60.0,-78.19999999999999,-71.63749999999999,0.4341534008683068,0.4816389290882779,137832541472.30035,28978758058.690765,219472879032.50757,885299370948.6678,7.573577811306077,190494120973.8168,0.0233796296296296,0.0833333333333333,0.0,0.0714285714285714,0.4285714285714285,0.5,6.7e-08,108.0,2.8571428571428568,72.14285714285714,0.0,6.998542122237651,4.857142857142857,6.428571428571429,31.10805714285714,44.090815370097204,3
2t8,Li2.0V2.0P2.0O8.0F2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8175,3.548,1.6,1.91,-1.948,-1.6379999999999997,3.0,103.990625,136.685,49.5,40.5,-96.185,-87.185,0.2963017156235139,0.3621465413176281,4952160777151.8,26614830294.05305,13161404021914.71,19679928628492.68,494.51391861234447,13134789191620.658,0.1186024872912128,0.1704963235294117,0.125,0.25,0.5,0.125,8.1e-07,98.71428571428571,0.42857142857142855,75.0,0.0,1.049781318335648,4.857142857142857,6.0,23.55875217142857,44.844857280292416,5
47i,Li8.0P4.0O14.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.49076923076923,3.44,1.3833333333333335,2.19,-2.056666666666666,-1.25,2.46,97.79999999999998,138.2,50.66666666666666,17.0,-121.2,-87.53333333333333,0.1230101302460202,0.3666184273999035,6041894462414.446,28978758058.690765,13056962784162.828,38922178734970.95,450.5701299454767,13027984026104.137,0.107915758896151,0.2941176470588235,0.0,0.1538461538461538,0.5384615384615384,0.3076923076923077,<1E-10,98.0,0.0,68.88888888888889,0.0,0.0,4.444444444444445,5.111111111111111,19.327036,52.38320341483518,3
clt,Li6.0Cu1.0B4.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cu"", ""value"": 2.0}]",2.397142857142857,3.44,1.449090909090909,2.012,-1.990909090909091,-1.428,2.46,89.14285714285714,138.2,44.54545454545455,17.0,-121.2,-93.65454545454544,0.1230101302460202,0.3223260097355611,101242447365550.28,28978758058.690765,193254691554179.0,425011095648683.25,6668.839677766027,193225712796120.3,0.1928796158304355,0.4065573770491803,0.0,0.238095238095238,0.4761904761904761,0.2857142857142857,1e-13,100.73333333333333,0.6666666666666666,71.66666666666667,0.0,2.4944382578492945,4.199999999999999,3.7333333333333334,17.7856,37.27817353656456,4
ix1,Li5.46Hf12.13P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8647625243981785,3.44,1.701033998314133,1.8316959840690343,-1.738966001685867,-1.6083040159309656,2.46,106.87154940050188,138.2,43.49283506602978,39.1423830069698,-99.0576169930302,-94.7071649339702,0.2832299783427627,0.314709370955353,6583662764297.0,28978758058.690765,19844051874978.6,23417551575660.99,684.7792384610957,19815073116919.91,0.1699605345556785,0.1980752252222937,0.0,0.2800446138116925,0.6692071753880472,0.0507482108002602,3.2e-07,98.92343092137473,2.61294428669343,78.33300695192402,0.0,7.117393937523174,5.302653480857731,7.256633702144327,37.9376110447469,47.58773982640917,4
bq9,Li24.0Bi8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.165714285714286,3.44,1.21,1.9,-2.23,-1.54,2.46,102.87142857142857,138.2,76.375,103.0,-35.19999999999999,-61.82499999999999,0.7452966714905934,0.5526410998552822,80714184902.04243,28978758058.690765,119515755034.55618,104998593861.9137,4.124253868730349,90536996975.86542,0.0183926645091693,0.029126213592233,0.0,0.1428571428571428,0.4285714285714285,0.4285714285714285,2.4e-10,123.75,7.5,85.0,0.0,12.99038105676658,6.0,9.75,64.24465000000001,3.897114317029974,3
skm,Li10.0Bi2.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1818181818181817,3.44,1.1333333333333335,1.9,-2.306666666666666,-1.54,2.46,100.4090909090909,138.2,68.91666666666667,76.0,-62.19999999999999,-69.28333333333332,0.5499276410998554,0.4986734201640135,109298467189.18188,28978758058.690765,176231558131.2578,435615304993.695,6.081404792239043,147252800072.56705,0.0233105912930474,0.0657894736842105,0.0,0.0909090909090909,0.4545454545454545,0.4545454545454545,3.9e-09,124.5,5.0,76.66666666666666,0.0,11.180339887498949,5.333333333333334,7.833333333333334,48.1629,3.3541019662496847,3
pwr,Li7.22Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.238130081300813,3.44,1.1952928416485902,1.9725,-2.2447071583514098,-1.4675000000000002,2.46,95.8739837398374,138.2,59.14859002169197,29.0,-109.2,-79.05140997830802,0.2098408104196816,0.4279926919080462,1566555804249.14,28978758058.690765,2900679054739.768,12923209582731.17,100.09673461040028,2871700296681.077,0.0472711462375874,0.1644385026737967,0.0,0.1161440185830429,0.4645760743321719,0.4192799070847851,1.64e-07,100.80000000000001,0.0,69.5,0.0,0.0,4.4,4.85,18.561033100000003,50.400000000000006,4
b4c,Li8.0Si2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7933333333333334,2.58,1.164,1.9,-1.416,-0.6800000000000002,1.6,115.44444444444444,184.0,60.6,33.0,-151.0,-123.4,0.1793478260869565,0.3293478260869565,533713371713.27313,12278644599.949677,950861153403.932,4256886531984.5776,77.44023745160186,938582508803.9822,0.036094276094276,0.1212121212121212,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.59e-08,136.0,0.0,102.0,0.0,0.0,6.000000000000001,9.6,31.2691,68.0,3
7se,Li91.2Si19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.818409090909091,2.58,1.18375,1.958,-1.3962500000000002,-0.6220000000000001,1.6,116.17045454545456,184.0,59.645833333333336,29.8,-154.2,-124.35416666666666,0.1619565217391304,0.3241621376811594,1330864525484.6565,12278644599.949677,2429686092888.5786,11189944972581.852,197.87901450446225,2417407448288.629,0.0441853172245329,0.1557932263814616,0.0,0.1136363636363636,0.4545454545454546,0.4318181818181819,8.11e-07,136.0,0.0,101.6,0.0,0.0,6.000000000000001,9.64,31.384630480000002,68.0,4
