split,ID,Reduced Composition,Family,Ref,ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1)
train,9yt,Li6PS5Cl0.25Br0.75,argyrodites,D2 - 167,9yt,Li24.0P4.0S20.0Cl1.0Br3.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.651666666666667,2.19,17.0,185.375,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00186
train,122,Li6PS5Cl,argyrodites,D2 - 167,122,Li24.0P4.0S20.0Cl4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00205
train,6jf,Li6PS5Br,argyrodites,D2 - 167,6jf,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00115
test,ymc,Li6PS5Br0.5I0.5,argyrodites,D2 - 167,ymc,Li24.0P4.0S20.0Br2.0I2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.6183333333333336,2.19,17.0,188.0,0.0769230769230769,38922178734970.95,0.2941176470588235,2.62e-05
train,kgl,Li6PS5Cl0.75Br0.25,argyrodites,D2 - 167,kgl,Li24.0P4.0S20.0Cl3.0Br1.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.668333333333333,2.19,17.0,184.125,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00226
train,vqj,Li6PS5Br0.75I0.25,argyrodites,D2 - 167,vqj,Li24.0P4.0S20.0Br3.0I1.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.6308333333333334,2.19,17.0,187.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.000112
train,h82,Li6PS5Br0.25I0.75,argyrodites,D2 - 167,h82,Li24.0P4.0S20.0Br1.0I3.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.605833333333333,2.19,17.0,189.0,0.0769230769230769,38922178734970.95,0.2941176470588235,4.72e-06
train,9zr,Li6PS5Br,argyrodites,D2 - 167,9zr,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.000701
train,a8v,Li6.025P0.975Si0.025S5Br,argyrodites,D2 - 168,a8v,Li24.1P3.9Si0.1S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4625719769673704,2.643333333333333,2.18275,17.4,186.0,0.0767754318618042,38055546429896.29,0.2897950089126559,0.000878
train,09w,Li6.05P0.95Si0.05S5Br,argyrodites,D2 - 168,09w,Li24.2P3.8Si0.2S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4636015325670498,2.643333333333333,2.1755,17.799999999999997,186.0,0.0766283524904214,37188914124821.625,0.2854723707664884,0.000437
train,x2v,Li6.075P0.925Si0.075S5Br,argyrodites,D2 - 168,x2v,Li24.3P3.7Si0.3S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4646271510516253,2.643333333333333,2.16825,18.200000000000003,186.0,0.0764818355640535,36322281819746.97,0.2811497326203209,0.000873
train,x9d,Li6.125P0.875Si0.125S5Br,argyrodites,D2 - 168,x9d,Li24.5P3.5Si0.5S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4666666666666667,2.643333333333333,2.15375,19.0,186.0,0.0761904761904762,34589017209597.65,0.2725044563279857,0.000902
