ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1)
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",0.5,3.44,1.9,76.0,138.2,0.07142857142857142,435615304993.695,0.06578947368421052,1.58489e-06
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,0.14285714285714285,38922178734970.945,0.29411764705882354,0.0032
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,0.14285714285714285,38922178734970.945,0.29411764705882354,0.0086
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4318181818181819,2.58,2.046,40.199999999999996,184.0,0.11363636363636365,9041768954029.035,0.12838874680306905,1.78e-06
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40119760479041916,2.58,2.1270000000000002,27.150000000000002,184.0,0.11976047904191617,25849499455808.86,0.22161125319693095,0.00154
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3975903614457832,2.58,2.136,25.7,184.0,0.12048192771084339,27717025067117.73,0.2319693094629156,0.00174
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3939393939393939,2.58,2.145,24.25,184.0,0.12121212121212122,29584550678426.598,0.24232736572890023,0.0022
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39024390243902435,2.58,2.1539999999999995,22.799999999999997,184.0,0.12195121951219512,31452076289735.47,0.2526854219948849,0.000555
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40476190476190477,2.58,2.074,23.400000000000002,184.0,0.11904761904761905,25056061853776.402,0.2249554367201426,0.000662
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39024390243902435,2.58,2.1319999999999997,20.2,184.0,0.12195121951219512,31989120294373.67,0.2595365418894831,3.2e-06
s3r,Li8.0Al0.66Si0.66P0.66O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.44493882091212456,3.44,1.9000000000000004,32.083333333333336,138.2,0.11012235817575083,14779601141006.926,0.16006487771193656,3.25e-06
de5,Li6.0In2.0Cl12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.3,3.16,1.78,80.0,181.0,0.1,224091403271.38156,0.0375,0.00204
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.2222222222222222,2.58,1.96,69.0,184.0,0.2222222222222222,465678965568.46185,0.057971014492753624,0.00012
elz,Li6.0Y2.0Br12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",0.3,2.9599999999999995,1.22,95.94999999999999,196.0,0.1,129885365241.86926,0.031266284523189164,0.00192
p81,Li4.0Al4.0Cl16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.16666666666666666,3.16,1.61,46.25,181.0,0.16666666666666666,1159738156065.2485,0.06486486486486487,1e-06
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",0.16666666666666666,2.96,1.81,54.5,196.0,0.16666666666666666,708770527763.9178,0.05504587155963303,7e-06
xas,Li16.0Sn8.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,1.96,69.0,184.0,0.16666666666666666,465678965568.46185,0.057971014492753624,1.5e-05
qy4,Li12.0Na20.0Ti8.0S32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.16666666666666666,2.58,1.1042857142857143,98.3061224489796,184.0,0.3888888888888889,216097266537.64493,0.025187429927526102,8.8e-06
ard,Li8.0Ta16.0P8.0O64.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.08333333333333333,3.44,1.7299999999999998,51.666666666666664,138.2,0.25,13362125382964.033,0.14634839443023587,0.0016
9wf,Li12.0Er4.0I24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Er"", ""value"": 3.0}, {""element"": ""I"", ""value"": -1.0}]",0.3,2.66,1.24,97.52499999999999,220.00000000000003,0.1,123693614447.82271,0.030761343245321714,0.00065
fwz,Li8.0Si4.0S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,1.9,33.0,184.0,0.16666666666666666,4256886531984.5776,0.12121212121212122,2e-06
