ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),chi_range_x_r_avg,Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,n_Li × r⁻ (pm)
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",0.5,3.44,1.9,76.0,138.2,68.5625,0.0714285714285714,435615304993.695,0.0657894736842105,242.08157142857135,1.58489e-06,1.58489e-06,exact,1.58489e-06,1.0,-5.800000874803203,69.1
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.1428571428571428,38922178734970.95,0.2941176470588235,194.0952380952381,0.0032,0.0032,exact,0.0032,1.0,-2.494850021680094,61.33333333333333
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.1428571428571428,38922178734970.95,0.2941176470588235,194.0952380952381,0.0086,0.0086,exact,0.0086,1.0,-2.065501548756432,61.33333333333333
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4318181818181819,2.58,2.046,40.2,184.0,61.8125,0.1136363636363636,9041768954029.035,0.128388746803069,187.7636363636364,1.78e-06,1.78e-06,exact,1.78e-06,1.0,-5.749579997691106,79.45454545454547
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4011976047904191,2.58,2.127,27.15,184.0,58.22413793103448,0.1197604790419161,25849499455808.86,0.2216112531969309,189.5616766467066,0.00154,0.00154,exact,0.00154,1.0,-2.812479279163537,73.82035928143712
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3975903614457832,2.58,2.136,25.7,184.0,57.77906976744186,0.1204819277108433,27717025067117.73,0.2319693094629156,189.77349397590365,0.00174,0.00174,exact,0.00174,1.0,-2.7594507517174,73.15662650602411
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3939393939393939,2.58,2.145,24.25,184.0,57.3235294117647,0.1212121212121212,29584550678426.6,0.2423273657289002,189.9878787878788,0.0022,0.0022,exact,0.0022,1.0,-2.657577319177794,72.48484848484848
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3902439024390243,2.58,2.1539999999999995,22.8,184.0,56.85714285714285,0.1219512195121951,31452076289735.47,0.2526854219948849,190.2048780487805,0.000555,0.000555,exact,0.000555,1.0,-3.2557070168773237,71.80487804878047
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4047619047619047,2.58,2.074,23.4,184.0,57.477272727272734,0.119047619047619,25056061853776.4,0.2249554367201426,188.36190476190475,0.000662,0.000662,exact,0.000662,1.0,-3.1791420105603,74.47619047619047
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3902439024390243,2.58,2.132,20.2,184.0,56.238095238095234,0.1219512195121951,31989120294373.67,0.2595365418894831,189.69756097560972,3.2e-06,3.2e-06,exact,3.2e-06,1.0,-5.494850021680094,71.80487804878047
