ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,r_ratio_x_chi_diff,log_rho_ratio,Li_channel_size,chi_range_x_r_avg,field_x_r_diff
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.345,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.4961107091172214,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.0211866471734892,0.0657894736842105,0.0,0.0714285714285714,0.4285714285714285,0.5,1.58489e-06,1.58489e-06,exact,1.58489e-06,1.0,-5.800000874803203,-1.1633796128798843,0.7508063297511056,69.1,242.08157142857138,-1.475385142543854
oi6,Li7.0Sb1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 5.0}]",2.1107142857142858,3.44,1.11375,2.05,-2.32625,-1.39,2.46,97.2642857142857,138.2,66.5625,60.0,-78.19999999999999,-71.63749999999999,0.4341534008683068,0.4816389290882779,137832541472.30035,28978758058.690765,219472879032.50757,885299370948.6678,7.573577811306077,190494120973.8168,0.0233796296296296,0.0833333333333333,0.0,0.0714285714285714,0.4285714285714285,0.5,6.7e-08,6.7e-08,exact,6.7e-08,1.0,-7.173925197299173,-1.1204125587916063,0.8793010917366779,69.1,239.27014285714284,-1.6748582175925903
2t8,Li2.0V2.0P2.0O8.0F2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8175,3.548,1.6,1.91,-1.948,-1.6379999999999997,3.0,103.990625,136.685,49.5,40.5,-96.185,-87.185,0.2963017156235139,0.3621465413176281,4952160777151.8,26614830294.05305,13161404021914.71,19679928628492.68,494.51391861234447,13134789191620.658,0.1186024872912128,0.1704963235294117,0.125,0.25,0.5,0.125,8.1e-07,8.1e-07,exact,8.1e-07,1.0,-6.0915149811213505,-0.7054614624867395,2.6941785197784314,17.085625,311.97187499999995,-10.340357854484388
ro9,Li6.0B2.0P4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.634285714285714,3.44,1.5599999999999998,2.14,-1.88,-1.2999999999999998,2.46,96.29285714285712,138.2,40.41666666666666,13.333333333333334,-124.86666666666666,-97.78333333333332,0.0964785335262904,0.2924505547515678,43544919609277.74,28978758058.690765,101566174077569.8,203007993346380.84,3504.849099187327,101537195319511.12,0.1887799564270152,0.3627450980392157,0.0,0.2142857142857142,0.5714285714285714,0.2142857142857142,1e-10,1e-10,exact,1e-10,1.0,-10.0,-0.5498070429329474,3.5446693242139338,29.6142857142857,236.8804285714285,-18.459533405954968
47i,Li8.0P4.0O14.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.49076923076923,3.44,1.3833333333333335,2.19,-2.056666666666666,-1.25,2.46,97.79999999999998,138.2,50.66666666666666,17.0,-121.2,-87.53333333333333,0.1230101302460202,0.3666184273999035,6041894462414.446,28978758058.690765,13056962784162.828,38922178734970.95,450.5701299454767,13027984026104.137,0.107915758896151,0.2941176470588235,0.0,0.1538461538461538,0.5384615384615384,0.3076923076923077,1e-10,1e-10,exact,1e-10,1.0,-10.0,-0.7540118990191348,2.6537623972638893,42.52307692307692,240.58799999999997,-9.446226095376417
clt,Li6.0Cu1.0B4.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cu"", ""value"": 2.0}]",2.397142857142857,3.44,1.449090909090909,2.012,-1.990909090909091,-1.428,2.46,89.14285714285714,138.2,44.54545454545455,17.0,-121.2,-93.65454545454544,0.1230101302460202,0.3223260097355611,101242447365550.28,28978758058.690765,193254691554179.0,425011095648683.25,6668.839677766027,193225712796120.3,0.1928796158304355,0.4065573770491803,0.0,0.238095238095238,0.4761904761904761,0.2857142857142857,1e-10,1e-10,exact,1e-10,1.0,-10.0,-0.6417217830189808,3.8240502768880686,39.48571428571428,219.29142857142855,-18.064052748046784
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.58,1.343,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.092391304347826,0.2845108695652174,5608194521753.509,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,11751423342022.477,0.0986056644880174,0.2941176470588235,0.0,0.1428571428571428,0.5238095238095238,0.3333333333333333,0.0032,0.0032,exact,0.0032,1.0,-2.494850021680094,-0.3519399456521739,2.9813935847813493,61.33333333333333,194.09523809523807,-12.981435729847492
ix1,Li5.46Hf12.13P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8647625243981785,3.44,1.701033998314133,1.8316959840690343,-1.738966001685867,-1.6083040159309656,2.46,106.87154940050188,138.2,43.49283506602978,39.1423830069698,-99.0576169930302,-94.7071649339702,0.2832299783427627,0.314709370955353,6583662764297.0,28978758058.690765,19844051874978.6,23417551575660.99,684.7792384610957,19815073116919.91,0.1699605345556785,0.1980752252222937,0.0,0.2800446138116925,0.6692071753880472,0.0507482108002602,3.2e-07,3.2e-07,exact,3.2e-07,1.0,-6.494850021680094,-0.5472688965033046,2.835550584673673,7.013402732595959,262.90401152523464,-16.096480378430385
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.58,1.343,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.092391304347826,0.2845108695652174,5608194521753.509,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,11751423342022.477,0.0986056644880174,0.2941176470588235,0.0,0.1428571428571428,0.5238095238095238,0.3333333333333333,0.0086,0.0086,exact,0.0086,1.0,-2.065501548756432,-0.3519399456521739,2.9813935847813493,61.33333333333333,194.09523809523807,-12.981435729847492
bq9,Li24.0Bi8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.165714285714286,3.44,1.21,1.9,-2.23,-1.54,2.46,102.87142857142857,138.2,76.375,103.0,-35.19999999999999,-61.82499999999999,0.7452966714905934,0.5526410998552822,80714184902.04243,28978758058.690765,119515755034.55618,104998593861.9137,4.124253868730349,90536996975.86542,0.0183926645091693,0.029126213592233,0.0,0.1428571428571428,0.4285714285714285,0.4285714285714285,2.4e-10,2.4e-10,exact,2.4e-10,1.0,-9.619788758288394,-1.2323896526772793,0.6153453904609719,59.22857142857141,253.06371428571427,-1.1371264832793917
