feature,importance
rₐₗₗ (pm),490
Φ⁺(excl Li⁺) (|Z| pm⁻¹),428
χₐₗₗ,427
chi_range_x_r_avg,416
χ⁺(excl Li⁺),393
r_ratio_x_chi_diff,393
nₕₒₛₜ cₐₜᵢₒₙ,391
r⁺(incl Li⁺) - r⁻,382
χ⁺(excl Li⁺) - χ⁻,381
r⁺(incl Li⁺) (pm),368
ρ⁺(incl Li⁺) / ρ⁻,357
χ⁺(incl Li⁺) - χ⁻,345
field_x_r_diff,339
ρ⁺(excl Li⁺) (C m⁻³),315
r⁺(excl Li⁺) (pm),307
r⁺(incl Li⁺) / r⁻,306
ρ⁺(incl Li⁺) (C m⁻³),292
Φ⁺(incl Li⁺) (|Z| pm⁻¹),291
r⁺(excl Li⁺) - r⁻,281
n_Li,276
log_rho_ratio,222
Li_channel_size,209
r⁻ (pm),55
χ⁻,54
χₘₐₓ - χₘᵢₙ,53
ρ⁻ (C m⁻³),53
