feature,importance
rₐₗₗ (pm),497
chi_range_x_r_avg,360
r⁺(incl Li⁺) - r⁻,323
r_ratio_x_chi_diff,317
field_x_r_diff,306
Φ⁺(excl Li⁺) (|Z| pm⁻¹),306
χ⁺(incl Li⁺) - χ⁻,306
ρ⁺(excl Li⁺) (C m⁻³),276
χₐₗₗ,273
r⁺(excl Li⁺) (pm),269
χ⁺(excl Li⁺) - χ⁻,267
ρ⁺(incl Li⁺) (C m⁻³),256
r⁺(excl Li⁺) - r⁻,253
ρ⁺(incl Li⁺) / ρ⁻,242
r⁺(incl Li⁺) (pm),241
χ⁺(excl Li⁺),238
nₕₒₛₜ cₐₜᵢₒₙ,223
Φ⁺(incl Li⁺) (|Z| pm⁻¹),199
n_Li,170
r⁺(incl Li⁺) / r⁻,148
n_Li × r⁻ (pm),129
χₘₐₓ - χₘᵢₙ,33
log_rho_ratio,28
r⁻ (pm),25
ρ⁻ (C m⁻³),18
χ⁻,16
