feature,importance
rₐₗₗ (pm),619
field_x_r_diff,445
chi_range_x_r_avg,445
χₐₗₗ,437
r_ratio_x_chi_diff,391
r⁺(incl Li⁺) - r⁻,368
Φ⁺(excl Li⁺) (|Z| pm⁻¹),366
ρ⁺(excl Li⁺) (C m⁻³),363
χ⁺(incl Li⁺) - χ⁻,356
ρ⁺(incl Li⁺) (C m⁻³),353
r⁺(incl Li⁺) (pm),351
r⁺(excl Li⁺) - r⁻,331
r⁺(excl Li⁺) (pm),326
χ⁺(excl Li⁺),323
ρ⁺(incl Li⁺) / ρ⁻,313
χ⁺(excl Li⁺) - χ⁻,310
Φ⁺(incl Li⁺) (|Z| pm⁻¹),258
nₕₒₛₜ cₐₜᵢₒₙ,254
n_Li,237
r⁺(incl Li⁺) / r⁻,173
n_Li × r⁻ (pm),139
χₘₐₓ - χₘᵢₙ,41
ρ⁻ (C m⁻³),34
r⁻ (pm),32
χ⁻,30
log_rho_ratio,0
