feature_a,feature_b,spearman_r,abs_r
ρ⁺(incl Li⁺) / ρ⁻,field_x_r_diff,-0.9751081211806256,0.9751081211806256
ρ⁺(incl Li⁺) (C m⁻³),field_x_r_diff,-0.9737891571379856,0.9737891571379856
χ⁺(excl Li⁺) - χ⁻,r⁺(excl Li⁺) - r⁻,-0.9703789473895429,0.9703789473895429
r⁺(excl Li⁺) (pm),Φ⁺(excl Li⁺) (|Z| pm⁻¹),-0.9680298213018458,0.9680298213018458
χ⁺(incl Li⁺) - χ⁻,r_ratio_x_chi_diff,0.9670462926989789,0.9670462926989789
ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,0.962301727752304,0.962301727752304
χ⁺(excl Li⁺),χ⁺(excl Li⁺) - χ⁻,0.9612366942364066,0.9612366942364066
r⁺(incl Li⁺) (pm),r⁺(incl Li⁺) / r⁻,0.9592461739892146,0.9592461739892146
r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,0.9460076083057973,0.9460076083057973
χ⁺(excl Li⁺),r⁺(excl Li⁺) - r⁻,-0.94238736947916,0.94238736947916
χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,0.9402756937565397,0.9402756937565397
χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),-0.9380452840414379,0.9380452840414379
r⁺(incl Li⁺) (pm),field_x_r_diff,0.9366959215593296,0.9366959215593296
χ⁺(excl Li⁺),Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.9358475760418855,0.9358475760418855
r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,0.9348868480342388,0.9348868480342388
r⁺(incl Li⁺) - r⁻,r_ratio_x_chi_diff,-0.9347971913806392,0.9347971913806392
χ⁺(excl Li⁺) - χ⁻,r_ratio_x_chi_diff,0.9345774721385779,0.9345774721385779
r⁺(excl Li⁺) - r⁻,r_ratio_x_chi_diff,-0.9282343127478728,0.9282343127478728
χₐₗₗ,n_Li,-0.9278198226572534,0.9278198226572534
rₐₗₗ (pm),ir_mean_square_all,0.9273653689275343,0.9273653689275343
χ⁺(excl Li⁺) - χ⁻,r⁺(incl Li⁺) - r⁻,-0.9250231231185607,0.9250231231185607
χ⁺(incl Li⁺) - χ⁻,r⁺(excl Li⁺) - r⁻,-0.9245271880916471,0.9245271880916471
χ⁺(incl Li⁺) - χ⁻,r⁺(incl Li⁺) - r⁻,-0.9178180342069789,0.9178180342069789
r⁺(incl Li⁺) (pm),ρ⁺(incl Li⁺) / ρ⁻,-0.9132216213968535,0.9132216213968535
r⁺(incl Li⁺) / r⁻,field_x_r_diff,0.9047803925504992,0.9047803925504992
χ⁺(excl Li⁺),r_ratio_x_chi_diff,0.9004851593017298,0.9004851593017298
χ⁺(excl Li⁺) - χ⁻,r⁺(excl Li⁺) (pm),-0.9004559488974891,0.9004559488974891
