group_id,feature,importance,target_abs_spearman,suggestion
1,χₐₗₗ,294,0.16782580094768307,keep
2,n_Li,198,0.19372647308628385,drop_candidate
3,nₕₒₛₜ cₐₜᵢₒₙ,146,0.16594635877161162,drop_candidate
4,n_Li × r⁻ (pm),138,0.21222390125887178,drop_candidate
5,r⁻ (pm),19,0.2626154873565828,keep
6,χ⁻,19,0.2615331844757977,drop_candidate
7,χₘₐₓ - χₘᵢₙ,9,0.33752353821061337,drop_candidate
8,r⁺(incl Li⁺) - r⁻,268,0.34110498353935637,keep
9,r_ratio_x_chi_diff,264,0.3144100954528867,drop_candidate
10,χ⁺(excl Li⁺) - χ⁻,230,0.3078623587513762,drop_candidate
11,χ⁺(incl Li⁺) - χ⁻,228,0.31618792414052577,drop_candidate
12,Φ⁺(excl Li⁺) (|Z| pm⁻¹),225,0.3483324427027095,drop_candidate
13,ρ⁺(excl Li⁺) (C m⁻³),219,0.33508269227671783,drop_candidate
14,r⁺(excl Li⁺) - r⁻,214,0.3426000123228284,drop_candidate
15,χ⁺(excl Li⁺),190,0.31122715306128307,drop_candidate
16,r⁺(excl Li⁺) (pm),182,0.377074980253423,drop_candidate
17,ir_mean_square_all,379,0.17249972750522588,keep
18,rₐₗₗ (pm),350,0.16894698092830068,drop_candidate
19,field_x_r_diff,320,0.20107540116084505,keep
20,ρ⁺(incl Li⁺) (C m⁻³),228,0.17688960887643382,drop_candidate
21,ρ⁺(incl Li⁺) / ρ⁻,213,0.18818899791091903,drop_candidate
22,r⁺(incl Li⁺) (pm),173,0.25047682202122507,drop_candidate
23,Φ⁺(incl Li⁺) (|Z| pm⁻¹),165,0.18700060369139934,drop_candidate
24,r⁺(incl Li⁺) / r⁻,162,0.2763272456390208,drop_candidate
25,log_rho_ratio,33,0.1881887169881767,drop_candidate
