feature_a,feature_b,spearman_r,abs_r,importance_a,importance_b,target_abs_corr_a,target_abs_corr_b
ρ⁺(incl Li⁺) / ρ⁻,log_rho_ratio,0.9999999263015342,0.9999999263015342,213,33,0.18818899791091903,0.1881887169881767
n_Li,n_Li × r⁻ (pm),0.992158827472199,0.992158827472199,198,138,0.19372647308628385,0.21222390125887178
ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.990754886500117,0.990754886500117,219,225,0.33508269227671783,0.3483324427027095
ρ⁺(incl Li⁺) (C m⁻³),Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.9786504089951359,0.9786504089951359,228,165,0.17688960887643382,0.18700060369139934
log_rho_ratio,field_x_r_diff,-0.9751081930446034,0.9751081930446034,33,320,0.1881887169881767,0.20107540116084505
ρ⁺(incl Li⁺) / ρ⁻,field_x_r_diff,-0.9751081211806256,0.9751081211806256,213,320,0.18818899791091903,0.20107540116084505
ρ⁺(incl Li⁺) (C m⁻³),field_x_r_diff,-0.9737891571379856,0.9737891571379856,228,320,0.17688960887643382,0.20107540116084505
nₕₒₛₜ cₐₜᵢₒₙ,n_Li,-0.9717000090648584,0.9717000090648584,146,198,0.16594635877161162,0.19372647308628385
χ⁺(excl Li⁺) - χ⁻,r⁺(excl Li⁺) - r⁻,-0.9703789473895429,0.9703789473895429,230,214,0.3078623587513762,0.3426000123228284
r⁺(excl Li⁺) (pm),Φ⁺(excl Li⁺) (|Z| pm⁻¹),-0.9680298213018458,0.9680298213018458,182,225,0.377074980253423,0.3483324427027095
χ⁺(incl Li⁺) - χ⁻,r_ratio_x_chi_diff,0.9670462926989789,0.9670462926989789,228,264,0.31618792414052577,0.3144100954528867
nₕₒₛₜ cₐₜᵢₒₙ,n_Li × r⁻ (pm),-0.9650029202033894,0.9650029202033894,146,138,0.16594635877161162,0.21222390125887178
