category,substitution,oxidation_state,x,formula
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.01,Li6.72Si0.7Sb0.29Bi0.01S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.02,Li6.74Si0.7Sb0.28Bi0.02S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.03,Li6.76Si0.7Sb0.27Bi0.03S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.04,Li6.78Si0.7Sb0.26Bi0.04S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.05,Li6.8Si0.7Sb0.25Bi0.05S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.06,Li6.82Si0.7Sb0.24Bi0.06S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.07,Li6.84Si0.7Sb0.23Bi0.07S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.08,Li6.86Si0.7Sb0.22Bi0.08S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.09,Li6.88Si0.7Sb0.21Bi0.09S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.10,Li6.9Si0.7Sb0.2Bi0.1S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.11,Li6.92Si0.7Sb0.19Bi0.11S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.12,Li6.94Si0.7Sb0.18Bi0.12S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.13,Li6.96Si0.7Sb0.17Bi0.13S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.14,Li6.98Si0.7Sb0.16Bi0.14S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi3,Bi_for_Sb,3,0.15,Li7Si0.7Sb0.15Bi0.15S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.01,Li6.7Si0.7Sb0.29Bi0.01S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.02,Li6.7Si0.7Sb0.28Bi0.02S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.03,Li6.7Si0.7Sb0.27Bi0.03S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.04,Li6.7Si0.7Sb0.26Bi0.04S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.05,Li6.7Si0.7Sb0.25Bi0.05S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.06,Li6.7Si0.7Sb0.24Bi0.06S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.07,Li6.7Si0.7Sb0.23Bi0.07S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.08,Li6.7Si0.7Sb0.22Bi0.08S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.09,Li6.7Si0.7Sb0.21Bi0.09S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.10,Li6.7Si0.7Sb0.2Bi0.1S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.11,Li6.7Si0.7Sb0.19Bi0.11S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.12,Li6.7Si0.7Sb0.18Bi0.12S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.13,Li6.7Si0.7Sb0.17Bi0.13S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.14,Li6.7Si0.7Sb0.16Bi0.14S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_Bi5,Bi_for_Sb,5,0.15,Li6.7Si0.7Sb0.15Bi0.15S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.01,Li6.7Si0.7Sb0.29P0.01S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.02,Li6.7Si0.7Sb0.28P0.02S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.03,Li6.7Si0.7Sb0.27P0.03S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.04,Li6.7Si0.7Sb0.26P0.04S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.05,Li6.7Si0.7Sb0.25P0.05S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.06,Li6.7Si0.7Sb0.24P0.06S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.07,Li6.7Si0.7Sb0.23P0.07S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.08,Li6.7Si0.7Sb0.22P0.08S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.09,Li6.7Si0.7Sb0.21P0.09S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.10,Li6.7Si0.7Sb0.2P0.1S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.11,Li6.7Si0.7Sb0.19P0.11S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.12,Li6.7Si0.7Sb0.18P0.12S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.13,Li6.7Si0.7Sb0.17P0.13S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.14,Li6.7Si0.7Sb0.16P0.14S4.8IO0.2
Li6.7Si0.7Sb0.3S4.8IO0.2_P5,P_for_Sb,5,0.15,Li6.7Si0.7Sb0.15P0.15S4.8IO0.2
