ID,True Composition,Z_by_element,χ_all,χ-,χ+(incl Li+),χ+(excl Li+),χ+(incl Li+) - χ-,χ+(excl Li+) - χ-,χ_max - χ_min,r_all (pm),r- (pm),r+(incl Li+) (pm),r+(excl Li+) (pm),r+(excl Li+) - r-,r+(incl Li+) - r-,r+(excl Li+) / r-,r+(incl Li+) / r-,ρ_all (C m⁻³),ρ- (C m⁻³),ρ+(incl Li+) (C m⁻³),ρ+(excl Li+) (C m⁻³),ρ+(incl Li+) / ρ-,ρ+(incl Li+) - ρ-,Φ+(incl Li+) (|Z| pm⁻¹),Φ+(excl Li+) (|Z| pm⁻¹),n_halide,n_host_cation,n_anion,n_Li,Ionic conductivity (S cm-1)
jqc,Li7.0Bi1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1,3.44,1.095,1.9,-2.3449999999999998,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.5499276410998554,0.49611070911722144,105712251046.94514,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,134283612729.44516,0.02118664717348928,0.06578947368421052,0.0,0.07142857142857142,0.42857142857142855,0.5,1.58489e-06
oi6,Li7.0Sb1.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 5.0}]",2.1107142857142858,3.44,1.11375,2.05,-2.32625,-1.3900000000000001,2.46,97.2642857142857,138.2,66.5625,60.0,-78.19999999999999,-71.63749999999999,0.43415340086830684,0.4816389290882779,137832541472.30035,28978758058.690765,219472879032.50754,885299370948.6678,7.573577811306077,190494120973.81677,0.023379629629629632,0.08333333333333333,0.0,0.07142857142857142,0.42857142857142855,0.5,6.7e-08
2t8,Li2.0V2.0P2.0O8.0F2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""V"", ""value"": 3.0}]",2.8175,3.3216666666666668,1.305,1.63,-2.0166666666666666,-1.6916666666666669,3.0,103.990625,116.7375,65.75,64.0,-52.7375,-50.9875,0.5482385694399828,0.5632294678231075,4952160777151.8,6509208814406.868,281016665386.5937,437678522014.41705,0.043172169367898895,-6228192149020.274,0.030844907407407408,0.046875,0.125,0.125,0.625,0.125,8.1e-07
ro9,Li6.0B2.0P4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.634285714285714,3.19,1.245,2.04,-1.9449999999999998,-1.15,2.46,96.29285714285713,113.96,52.125,6.0,-107.96,-61.834999999999994,0.05265005265005265,0.45739733239733243,43544919609277.74,7807618753441.143,132888171748869.23,531179622569200.6,17.02032027246462,125080552995428.1,0.1361111111111111,0.5,0.0,0.07142857142857142,0.7142857142857143,0.21428571428571427,9.6e-12
7cr,Li4.0Na2.0B2.0P4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.630714285714286,3.19,1.2325,1.485,-1.9575,-1.7049999999999998,2.51,99.57346938775511,113.96,63.60714285714286,59.714285714285715,-54.24571428571428,-50.35285714285713,0.5239933811362383,0.5581532367246653,43537909004986.92,7807618753441.143,132863634633851.36,265602914458943.97,17.01717755817583,125056015880410.22,0.13461143763410766,0.25440806045340053,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,4.4e-18
47i,Li8.0P4.0O14.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.4907692307692306,3.162222222222222,0.98,,-2.182222222222222,,2.46,97.79999999999998,111.26666666666665,67.5,,,-43.76666666666665,,0.6066506890353506,6041894462414.446,8671912086261.413,124354808758.77036,,0.014339952656552071,-8547557277502.643,0.014814814814814815,,0.0,0.0,0.6923076923076923,0.3076923076923077,<1E-10
clt,Li6.0Cu1.0B4.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cu"", ""value"": 2.0}]",2.397142857142857,3.44,1.449090909090909,2.012,-1.990909090909091,-1.428,2.46,89.14285714285714,138.2,44.54545454545455,17.0,-121.19999999999999,-93.65454545454544,0.12301013024602027,0.32232600973556114,101242447365550.28,28978758058.690765,193254691554179.0,425011095648683.25,6668.839677766027,193225712796120.3,0.19287961583043553,0.4065573770491803,0.0,0.23809523809523808,0.47619047619047616,0.2857142857142857,1e-13
mdp,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.4964285714285714,0.9799999999999999,,-1.5164285714285715,,1.6,121.30952380952381,148.21428571428572,67.5,,,-80.71428571428572,,0.4554216867469879,5608194521753.509,8350114378250.878,124354808758.77036,,0.014892587469540664,-8225759569492.107,0.014814814814814817,,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0032
ix1,Li5.46Hf12.13P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.8647625243981785,3.1900000000000004,1.2006708357021036,1.3,-1.9893291642978967,-1.8900000000000003,2.46,106.87154940050189,113.96,70.60318362706083,72.0,-41.959999999999994,-43.356816372939164,0.6318006318006318,0.6195435558710147,6583662764297.0,7807618753441.142,321238715236.5816,409860819883.6426,0.04114426246734939,-7486380038204.56,0.042909481397258545,0.05555555555555555,0.0,0.11274281996468073,0.836508969235059,0.05074821080026024,3.2e-07
ptg,Li14.0P6.0S22.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.990952380952381,2.4964285714285714,0.9799999999999999,,-1.5164285714285715,,1.6,121.30952380952381,148.21428571428572,67.5,,,-80.71428571428572,,0.4554216867469879,5608194521753.509,8350114378250.878,124354808758.77036,,0.014892587469540664,-8225759569492.107,0.014814814814814817,,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0086
