ID,True Composition,reference_mS_cm,base_formula,Family,source_row
exp_001,Li5.7PS4.7Cl1.3,8.1,Li5.5PS4.5Cl1.5,argyrodites,1
exp_002,Li5.5PS4.5Cl1.5,10.116,Li5.5PS4.5Cl1.5,argyrodites,2
exp_003,Li5.4PS4.4Cl1.6,7.137,Li5.5PS4.5Cl1.5,argyrodites,3
exp_004,Li5.3PS4.3Cl1.7,7.295,Li5.5PS4.5Cl1.5,argyrodites,4
exp_005,Li5.5PS4.5Cl1.45I0.05,13.723,Li5.5PS4.5Cl1.5,argyrodites,5
exp_006,Li5.5PS4.5Cl1.4I0.1,10.312,Li5.5PS4.5Cl1.5,argyrodites,6
exp_007,Li5.5PS4.5Cl1.35I0.15,10.565,Li5.5PS4.5Cl1.5,argyrodites,7
exp_008,Li5.5PS4.5Cl1.3I0.2,8.23,Li5.5PS4.5Cl1.5,argyrodites,8
exp_009,Li5.5PS4.5Cl1.25I0.25,1.604,Li5.5PS4.5Cl1.5,argyrodites,9
exp_010,Li5.4PS4.4ClBr0.6,13.48,Li5.4PS4.4ClBr0.6,argyrodites,10
exp_011,Li5.4PS4.3O0.1ClBr0.6,11.49,Li5.4PS4.4ClBr0.6,argyrodites,11
exp_012,Li5.4PS4.2O0.2ClBr0.6,12.45,Li5.4PS4.4ClBr0.6,argyrodites,12
exp_013,Li5.4PS4O0.4ClBr0.6,12.7,Li5.4PS4.4ClBr0.6,argyrodites,13
exp_014,Li5.4PS3.6O0.8ClBr0.6,9.43,Li5.4PS4.4ClBr0.6,argyrodites,14
exp_015,Li5.4PS3.2O1.2ClBr0.6,5.22,Li5.4PS4.4ClBr0.6,argyrodites,15
exp_016,Li5.4PS2.5O1.9ClBr0.6,1.23,Li5.4PS4.4ClBr0.6,argyrodites,16
exp_017,Li5.5AsS4.5Br1.5,17.53,Li5.5AsS4.5Br1.5,argyrodites,17
exp_018,Li5.5AsS4.3O0.2Br1.5,13.09,Li5.5AsS4.5Br1.5,argyrodites,18
exp_019,Li5.5AsS4.1O0.4Br1.5,11.18,Li5.5AsS4.5Br1.5,argyrodites,19
exp_020,Li5.5AsS3.8O0.7Br1.5,8.75,Li5.5AsS4.5Br1.5,argyrodites,20
exp_021,Li5.5AsS2.5O2Br1.5,0.2817,Li5.5AsS4.5Br1.5,argyrodites,21
exp_022,Li5.5As0.9Sb0.1S4.5Br1.5,16.85,Li5.5AsS4.5Br1.5,argyrodites,22
exp_023,Li5.5As0.9Sb0.2S4.5Br1.5,9.06,Li5.5AsS4.5Br1.5,argyrodites,23
exp_024,Li5.5As0.9Sb0.1S4.3O0.2Br1.5,12.55,Li5.5AsS4.5Br1.5,argyrodites,24
exp_025,Li5.4PS4O0.4Cl0.95F0.05Br0.6,13.22,Li5.4PS4O0.4ClBr0.6,argyrodites,25
exp_026,Li5.4PS4O0.4Cl0.9F0.1Br0.6,13.09,Li5.4PS4O0.4ClBr0.6,argyrodites,26
exp_027,Li5.4PS4O0.4Cl0.85F0.15Br0.6,10.01,Li5.4PS4O0.4ClBr0.6,argyrodites,27
exp_028,Li5.4PS4O0.4Cl0.8F0.2Br0.6,5.09,Li5.4PS4O0.4ClBr0.6,argyrodites,28
exp_029,Li6.65As0.35Si0.65S5I,6.347,Li6.7As0.3Si0.7S5I,argyrodites,29
exp_030,Li6.7As0.3Si0.7S5I,10.615,Li6.7As0.3Si0.7S5I,argyrodites,30
exp_031,Li6.75As0.25Si0.75S5I,4.784,Li6.7As0.3Si0.7S5I,argyrodites,31
exp_032,Li6.8As0.2Si0.8S5I,5.813,Li6.7As0.3Si0.7S5I,argyrodites,32
exp_033,Li6.6Sb0.4Si0.6S5I,8.844,Li6.7Sb0.3Si0.7S5I,argyrodites,33
exp_034,Li6.65Sb0.35Si0.65S5I,10.755,Li6.7Sb0.3Si0.7S5I,argyrodites,34
exp_035,Li6.7Sb0.3Si0.7S5I,14.409,Li6.7Sb0.3Si0.7S5I,argyrodites,35
exp_036,Li6.75Sb0.25Si0.75S5I,6.307,Li6.7Sb0.3Si0.7S5I,argyrodites,36
exp_037,Li6.8Sb0.2Si0.8S5I,0.927,Li6.7Sb0.3Si0.7S5I,argyrodites,37
exp_038,Li6.9Sb0.3Si0.7S5.2I0.8,10.075,Li6.7Sb0.3Si0.7S5I,argyrodites,38
exp_039,Li6.8Sb0.3Si0.7S5.1I0.9,8.795,Li6.7Sb0.3Si0.7S5I,argyrodites,39
exp_040,Li6.7Sb0.3Si0.7S5I,14.409,Li6.7Sb0.3Si0.7S5I,argyrodites,40
exp_041,Li6.6Sb0.3Si0.7S4.9I1.1,1.267,Li6.7Sb0.3Si0.7S5I,argyrodites,41
exp_042,Li6.5Sb0.3Si0.7S4.8I1.2,5.35,Li6.7Sb0.3Si0.7S5I,argyrodites,42
exp_043,Li3.875Sn0.875As0.125S4,0.54,Li3AsS4,thio_lisicon,43
exp_044,Li3AsS4,0.091,Li3AsS4,thio_lisicon,44
exp_045,Li5.4PS4.4ClBr0.6,13.48,Li5.4PS4.4ClBr0.6,argyrodites,45
exp_046,Li5.4P0.9Sn0.1S4.4ClBr0.6,13.46,Li5.4PS4.4ClBr0.6,argyrodites,46
exp_047,Li5.4P0.8Sn0.2S4.4ClBr0.6,9.09,Li5.4PS4.4ClBr0.6,argyrodites,47
exp_048,Li5.4P0.6Sn0.4S4.4ClBr0.6,3.32,Li5.4PS4.4ClBr0.6,argyrodites,48
exp_049,Li5.4P0.9Sn0.1S4.2O0.2ClBr0.6,10.77,Li5.4PS4.4ClBr0.6,argyrodites,49
exp_050,Li5.4P0.8Sn0.2S4O0.4ClBr0.6,5.91,Li5.4PS4.4ClBr0.6,argyrodites,50
exp_051,Li5.4P0.9Si0.1S4.2O0.2ClBr0.6,10.33,Li5.4PS4.4ClBr0.6,argyrodites,51
exp_052,Li5.4P0.8Si0.2S4O0.4ClBr0.6,5.31,Li5.4PS4.4ClBr0.6,argyrodites,52
exp_053,Li10SnP2S12,6.19,Li10SnP2S12,lgps,53
exp_054,Li9.9SnP2S11.8Cl0.1O0.1,4.86,Li10SnP2S12,lgps,54
exp_055,Li10SnP1.8Sb0.2S11.8O0.2,4.0,Li10SnP2S12,lgps,55
exp_056,Li10SnP1.8Sb0.3S11.8O0.4,1.6,Li10SnP2S12,lgps,56
exp_057,Li10SiP2S12,1.51,Li10SnP2S12,lgps,57
exp_058,Li10Si0.3Sn0.7P2S12,6.42,Li10SnP2S12,lgps,58
exp_059,Li10SnP2S11.8O0.2,4.52,Li10SnP2S12,lgps,59
exp_060,Li10SiP2S11.8O0.2,1.24,Li10SnP2S12,lgps,60
exp_061,Li10Si0.3Sn0.7P2S11.8O0.2,4.95,Li10SnP2S12,lgps,61
exp_062,Li6.7Si0.7Sb0.3S4.8Se0.2I,16.357,Li6.7Si0.7Sb0.3S5I,argyrodites,62
exp_063,Li6.7Si0.7Sb0.3S4.9O0.1I,14.154,Li6.7Si0.7Sb0.3S5I,argyrodites,63
exp_064,Li6.7Si0.7Sb0.3S4.8O0.2I,12.508,Li6.7Si0.7Sb0.3S5I,argyrodites,64
exp_065,Li6.7Si0.7Sb0.3S4.7O0.3I,11.847,Li6.7Si0.7Sb0.3S5I,argyrodites,65
exp_066,Li6.7Si0.7Sb0.3S4.6O0.4I,10.453,Li6.7Si0.7Sb0.3S5I,argyrodites,66
exp_067,Li6.7Si0.7Sb0.3S4.5O0.5I,9.145,Li6.7Si0.7Sb0.3S5I,argyrodites,67
exp_068,Li6.7Si0.7Sb0.25As0.05S4.8O0.2I,12.117,Li6.7Si0.7Sb0.3S5I,argyrodites,68
exp_069,Li6.7Si0.7Sb0.2As0.1S4.8O0.2I,13.872,Li6.7Si0.7Sb0.3S5I,argyrodites,69
exp_070,Li6.7Si0.7Sb0.15As0.15S4.8O0.2I,12.704,Li6.7Si0.7Sb0.3S5I,argyrodites,70
exp_071,Li6.7Si0.7Sb0.3S4.6Se0.2O0.2I,13.29,Li6.7Si0.7Sb0.3S5I,argyrodites,71
exp_072,Li6.7Si0.7Sb0.3S4.4Se0.3O0.3I,12.074,Li6.7Si0.7Sb0.3S5I,argyrodites,72
exp_073,Li2.8Zr0.75Al0.25O1.4Cl3.75,1.642,Li2ZrCl6,halides,73
exp_074,Li2ZrP0.6667O2.6667Cl4,2.056,Li2ZrCl6,halides,74
exp_075,LiZrS0.5O2Cl4,1.374,Li2ZrCl6,halides,75
exp_076,Li1.2FeO1.2H1.2Cl3,1.062,Li2ZrCl6,halides,76
exp_077,Li2ZrCl6,0.411,Li2ZrCl6,halides,77
exp_078,Li3Zr0.75OCl4,1.005,Li2ZrCl6,halides,78
exp_079,Li1.75ZrCl4.75O0.5,1.008,Li2ZrCl6,halides,79
exp_080,Li5.43P0.97Zr0.03S4.34O0.06ClBr0.6,11.86,Li5.4PS4.4ClBr0.6,argyrodites,80
exp_081,Li5.45P0.95Zr0.05S4.3O0.1ClBr0.6,10.91,Li5.4PS4.4ClBr0.6,argyrodites,81
exp_082,Li5.47P0.93Zr0.07S4.26O0.14ClBr0.6,8.73,Li5.4PS4.4ClBr0.6,argyrodites,82
exp_083,Li5.5P0.9Zr0.1S4.2O0.2ClBr0.6,8.59,Li5.4PS4.4ClBr0.6,argyrodites,83
exp_084,Li5.6P0.85Zr0.2S4O0.4ClBr0.6,2.73,Li5.4PS4.4ClBr0.6,argyrodites,84
exp_085,Li5.7P0.7Zr0.3S3.8O0.6ClBr0.6,0.66,Li5.4PS4.4ClBr0.6,argyrodites,85
exp_086,Li3.45Sn0.09Si0.36P0.55S3.65O0.35,5.4,Li3.45Sn0.09Si0.36P0.55S3.65O0.35,thio_lisicon,86
exp_087,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,9.9,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,87
exp_088,Li9.54Si1.566Sn0.174P1.34Sb0.1S11.1Br0.3O0.6,9.22,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,88
exp_089,Li9.54Si1.566Sn0.174P1.34Sb0.2S11.1Br0.3O0.6,9.99,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,89
exp_090,Li9.54Si1.566Sn0.174P1.34Sb0.3S11.1Br0.3O0.6,8.13,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,90
exp_091,Li9.54Si1.566Sn0.174P1.34As0.1S11.1Br0.3O0.6,12.36,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,91
exp_092,Li9.54Si1.566Sn0.174P1.34As0.2S11.1Br0.3O0.6,13.57,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,92
exp_093,Li9.54Si1.566Sn0.174P1.34As0.3S11.1Br0.3O0.6,10.55,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,93
exp_094,Li9.54Si1.74P1.44S11.7Br0.3,5.8,Li9.54Si1.74P1.44S11.7Br0.3,lgps,94
exp_095,Li9.54Si1.74P1.44S11.4Br0.3O0.3,8.8,Li9.54Si1.74P1.44S11.7Br0.3,lgps,95
exp_096,Li9.54Si1.74P1.44S11.1Br0.3O0.6,10.9,Li9.54Si1.74P1.44S11.7Br0.3,lgps,96
