configuration,rows,mae_log10,rmse_log10,r2_log10,family
35_with_family,113,1.1251993185559543,1.2265715501980432,-7.485541224079881,
35_with_family,67,1.246983090167533,1.3226493875518388,,argyrodites
35_with_family,7,1.5281772181365914,1.6162832359915302,,halides
35_with_family,36,0.8037537672167477,0.8889693398911998,,lgps
35_with_family,3,1.3224266029463563,1.4212552857596008,,thio_lisicon
34_without_family,113,1.2135592998421108,1.3316978045507644,-9.002421249725955,
34_without_family,67,1.3681716114722742,1.4472782948048386,,argyrodites
34_without_family,7,1.7043965145352509,1.7679178791630885,,halides
34_without_family,36,0.8424495363762496,0.975256246602852,,lgps
34_without_family,3,1.0685813340748014,1.1457103409707525,,thio_lisicon
