base_formula,Family,n,pearson,spearman,inversion_rate,adjacent_mismatch,adjacent_comparable
Li3AsS4,thio_lisicon,2,-1.0,-0.9999999999999999,1.0,1,1
Li2ZrCl6,halides,7,-0.2205019666849702,-0.39285714285714296,0.6190476190476191,3,6
Li5.4PS4O0.4ClBr0.6,argyrodites,4,0.13116096828635804,-0.19999999999999998,0.5,1,3
Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,lgps,7,0.030025820770540966,0.07142857142857144,0.47619047619047616,2,6
Li5.5PS4.5Cl1.5,argyrodites,9,-0.3436276513046239,0.08333333333333334,0.4722222222222222,4,8
Li9.54Si1.74P1.44S11.7Br0.3,lgps,20,0.24973078803561555,0.1873589695174656,0.44680851063829785,6,19
Li6.7Sb0.3Si0.7S5I,argyrodites,10,0.34437944778888546,0.5731707317073171,0.29545454545454547,3,9
Li10SnP2S12,lgps,9,0.5772899281706048,0.7,0.2222222222222222,1,8
Li5.5AsS4.5Br1.5,argyrodites,8,0.699717426371568,0.7857142857142858,0.17857142857142858,0,7
Li6.7As0.3Si0.7S5I,argyrodites,4,0.760911856998891,0.7999999999999999,0.16666666666666666,1,3
Li5.4PS4.4ClBr0.6,argyrodites,21,0.6628400318240019,0.806367771280052,0.17703349282296652,5,20
Li6.7Si0.7Sb0.3S5I,argyrodites,11,0.9390498487242075,0.8454545454545455,0.12727272727272726,3,10
Li3.45Sn0.09Si0.36P0.55S3.65O0.35,thio_lisicon,1,,,,0,0
