source_row_number,audit_priority,audit_issue_codes,audit_evidence,recommended_actions,duplicate_group_id,duplicate_group_size,duplicate_observed_bound_ratio,duplicate_log10_span,duplicate_same_order_candidate_lt10x,ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
53,critical,duplicate_formula_conflict_ge1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=1.8018e+07; log10 span=7.25571; at least one DOI is shared || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=5.55e-18,isolate_until_source_review|exclude_from_current_high_conductivity_model,DUP001,2,18018018.01801802,7.255707016877324,False,5zv,Li4Zn(PO4)2,4,Li16.0Zn4.0P8.0O32.0,5.55e-18,,,P21/c,14,8.1199,10.24192,8.10549,90.0,104.8589,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,
108,critical,duplicate_formula_conflict_ge1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=41666.7; log10 span=4.61979 || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=4.2e-18,isolate_until_source_review|exclude_from_current_high_conductivity_model,DUP002,2,41666.66666666667,4.619788758288394,False,w7d,Li3PO4,4,Li12.0P4.0O16.0,4.2e-18,,,Pnma,62,6.1113,10.4612,4.9208,90.0,90.0,90.0,LISICON,10.1006/jssc.1995.1140,1,D2 - 70,done,79427-ICSD,,,Yes,,79427.0,70.0,
110,critical,duplicate_formula_conflict_ge1000x|source_note_delete|below_1e-6_modeling_threshold|censored_upper_bound,"duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=1.8018e+07; log10 span=7.25571; at least one DOI is shared || source_note_delete: should be deleted, high T structure, refer the alpha phase || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=<1E-10 || censored_upper_bound: reported as <1E-10, not an exact value",isolate_until_source_review|exclude_pending_source_confirmation|exclude_from_current_high_conductivity_model|exclude_or_use_censored_regression,DUP001,2,18018018.01801802,7.255707016877324,False,gxz,Li4Zn(PO4)2,2,Li8.0Zn2.0P4.0O16.0,<1E-10,,,Pnma,62,10.2974,6.5021,5.0011,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,,,"should be deleted, high T structure, refer the alpha phase",,,255465.0,38.0,
116,critical,source_note_conductivity_incorrect|below_1e-6_modeling_threshold,"source_note_conductivity_incorrect: structure avialble for x=0.15, but no conductivity || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=3.53e-09",exclude_until_conductivity_source_is_corrected|exclude_from_current_high_conductivity_model,,,,,,86k,Li0.2Ca0.4TaO3,4,Li0.8Ca1.6Ta4.0O12.0,3.53e-09,,,Pnma,62,5.477,7.75,5.479,90.0,90.0,90.0,perovskites,10.1016/j.solidstatesciences.2004.05.006,1,D2 - 74,not available,,,"structure avialble for x=0.15, but no conductivity",,,,74.0,
137,critical,duplicate_formula_conflict_ge1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=41666.7; log10 span=4.61979 || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=1.75e-13,isolate_until_source_review|exclude_from_current_high_conductivity_model,DUP002,2,41666.66666666667,4.619788758288394,False,9lo,Li3PO4,4,Li12.0P4.0O16.0,1.75e-13,,,Pnma,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,refer 79427-ICSD,,,Yes,ICSD-77095,77095.0,,445.0
202,critical,source_note_delete|source_note_duplicate|space_group_whitespace,source_note_delete: duplicated with line 204; deleted || source_note_duplicate: duplicated with line 204; deleted || space_group_whitespace: leading or trailing whitespace,exclude_pending_source_confirmation|resolve_referenced_duplicate|trim_text,,,,,,ui6,Li10.35(Sn0.27Si1.08)P1.65S12,2,Li20.7Sn0.54Si2.16P3.3S24.0,0.011,,,P42/nmc ,137,8.67822,8.67822,12.5744,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,duplicated with line 204; deleted,,,257946.0,111.0,
228,critical,duplicate_formula_conflict_ge1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=1487.5; log10 span=3.17246 || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=2.38e-07,isolate_until_source_review|exclude_from_current_high_conductivity_model,DUP003,2,1487.5,3.1724569744005873,False,0iv,Li4P2S6,1,Li4.0P2.0S6.0,2.38e-07,,,P-31m,162,6.075,6.075,6.595,90.0,90.0,120.0,thio-phosphate,10.1016/j.ssi.2015.10.015,1,D2 - 127,done,appendix of D2-128; 242170-ICSD,,,Yes,10.1021/acs.chemmater.6b04175,242170.0,127.0,
229,critical,duplicate_formula_conflict_ge1000x|source_note_possible_delete|below_1e-6_modeling_threshold,duplicate_formula_conflict_ge1000x: 2 normalized-composition records; observed ratio=1487.5; log10 span=3.17246 || source_note_possible_delete: could be deleted; glass ceramic || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=1.6e-10,isolate_until_source_review|manual_source_review|exclude_from_current_high_conductivity_model,DUP003,2,1487.5,3.1724569744005873,False,2ro,Li4P2S6,1,Li4.0P2.0S6.0,1.6e-10,,,P-31m,162,6.0773,6.0773,6.5985,90.0,90.0,120.0,thio-phosphate,10.1021/acs.chemmater.6b04175,1,D2 - 128,not available,,,could be deleted; glass ceramic,,,,128.0,652.0
284,critical,source_note_composition_incorrect|duplicate_formula_conflict_100_to_1000x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_conflict_100_to_1000x: 5 normalized-composition records; observed ratio=420.366; log10 span=2.62363,exclude_until_composition_is_corrected|manual_review_conditions_phase_and_source,DUP006,5,420.36553524804185,2.6236271020632267,False,yp3,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,6e-05,,,R-3c,167,8.5087,8.5087,20.9089,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 – 145,not available,,,composition should be corrected,,,,145.0,
285,critical,source_note_composition_incorrect,source_note_composition_incorrect: composition should be corrected,exclude_until_composition_is_corrected,,,,,,tzl,Li1.05Al0.05Ti1.95(PO4)3,6,Li6.3Al0.3Ti11.7P18.0O72.0,0.0011,,,R-3c,167,8.5066,8.5066,20.9085,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
286,critical,source_note_composition_incorrect|duplicate_formula_conflict_10_to_100x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_conflict_10_to_100x: 2 normalized-composition records; observed ratio=22.3333; log10 span=1.34895,exclude_until_composition_is_corrected|manual_review_and_keep_group_in_one_split,DUP016,2,22.333333333333332,1.3489535479811638,False,hyj,Li1.1Al0.1Ti1.9(PO4)3,6,Li6.6Al0.6Ti11.4P18.0O72.0,0.00067,,,R-3c,167,8.5068,8.5068,20.8905,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
287,critical,source_note_composition_incorrect|duplicate_formula_conflict_100_to_1000x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_conflict_100_to_1000x: 5 normalized-composition records; observed ratio=165.333; log10 span=2.21836; at least one DOI is shared,exclude_until_composition_is_corrected|manual_review_conditions_phase_and_source,DUP010,5,165.33333333333334,2.218360421770535,False,mg4,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.0062,,,R-3c,167,8.4941,8.4941,20.8586,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,done,,,composition should be corrected,Yes,10.1016/j.jallcom.2020.155878,36778.0,145.0,19.0
288,critical,source_note_composition_incorrect|duplicate_formula_conflict_10_to_100x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_conflict_10_to_100x: 5 normalized-composition records; observed ratio=14.5103; log10 span=1.16168,exclude_until_composition_is_corrected|manual_review_and_keep_group_in_one_split,DUP020,5,14.510309278350514,1.161676669257139,False,50s,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.0033,,,R-3c,167,8.4882,8.4882,20.8571,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
289,critical,source_note_composition_incorrect,source_note_composition_incorrect: composition should be corrected,exclude_until_composition_is_corrected,,,,,,d4q,Li1.05Cr0.05Ti1.95(PO4)3,6,Li6.3Cr0.3Ti11.7P18.0O72.0,0.00018,,,R-3c,167,8.5093,8.5093,20.915,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
290,critical,source_note_composition_incorrect,source_note_composition_incorrect: composition should be corrected,exclude_until_composition_is_corrected,,,,,,6he,Li1.1Cr0.1Ti1.9(PO4)3,6,Li6.6Cr0.6Ti11.4P18.0O72.0,0.00026,,,R-3c,167,8.5126,8.5126,20.9212,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
291,critical,source_note_composition_incorrect|duplicate_formula_conflict_10_to_100x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_conflict_10_to_100x: 2 normalized-composition records; observed ratio=23.6264; log10 span=1.3734,exclude_until_composition_is_corrected|manual_review_and_keep_group_in_one_split,DUP014,2,23.626373626373628,1.3733970675945115,False,pwy,Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,0.00043,,,R-3c,167,8.5132,8.5132,20.9271,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
292,critical,source_note_composition_incorrect|duplicate_formula_same_order_lt10x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=8.26211; log10 span=0.917091,exclude_until_composition_is_corrected|retain_as_replicates_but_keep_group_in_one_split,DUP023,2,8.262108262108262,0.9170908814331322,True,y9l,Li1.3Cr0.3Ti1.7(PO4)3,6,Li7.8Cr1.8Ti10.2P18.0O72.0,0.00029,,,R-3c,167,8.5183,8.5183,20.9177,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
293,critical,source_note_composition_incorrect,source_note_composition_incorrect: composition should be corrected,exclude_until_composition_is_corrected,,,,,,rc1,Li1.05Fe0.05Ti1.95(PO4)3,6,Li6.3Fe0.3Ti11.7P18.0O72.0,0.00013,,,R-3c,167,8.5125,8.5125,20.8871,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
294,critical,source_note_composition_incorrect,source_note_composition_incorrect: composition should be corrected,exclude_until_composition_is_corrected,,,,,,lzt,Li1.1Fe0.1Ti1.9(PO4)3,6,Li6.6Fe0.6Ti11.4P18.0O72.0,0.00063,,,R-3c,167,8.5137,8.5137,20.8822,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
295,critical,source_note_composition_incorrect|duplicate_formula_same_order_lt10x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=7.77778; log10 span=0.890856,exclude_until_composition_is_corrected|retain_as_replicates_but_keep_group_in_one_split,DUP027,2,7.777777777777777,0.8908555305749322,True,kbp,Li1.2Fe0.2Ti1.8(PO4)3,6,Li7.2Fe1.2Ti10.8P18.0O72.0,0.0014,,,R-3c,167,8.5213,8.5213,20.9211,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
296,critical,source_note_composition_incorrect|duplicate_formula_same_order_lt10x,source_note_composition_incorrect: composition should be corrected || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=9.34959; log10 span=0.970793,exclude_until_composition_is_corrected|retain_as_replicates_but_keep_group_in_one_split,DUP022,2,9.34959349593496,0.9707927289142138,True,b9u,Li1.3Fe0.3Ti1.7(PO4)3,6,Li7.8Fe1.8Ti10.2P18.0O72.0,0.0023,,,R-3c,167,8.5239,8.5239,20.9215,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,
480,critical,source_note_conductivity_incorrect|duplicate_formula_same_order_lt10x|space_group_whitespace,"source_note_conductivity_incorrect: ic # check, was wrong paper || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=1.20301; log10 span=0.0802683 || space_group_whitespace: leading or trailing whitespace",exclude_until_conductivity_source_is_corrected|retain_as_replicates_but_keep_group_in_one_split|trim_text,DUP059,2,1.2030075187969924,0.08026834168883923,True,uaz,Li6CaLa2Nb2O12,8,Li48.0Ca8.0La16.0Nb16.0O96.0,1.6e-06,,,Ia-3d ,230,12.697,12.697,12.697,90.0,90.0,90.0,garnet,10.1111/j.1551-2916.2005.00060.x,1,D1 - 197,done,,,"ic # check, was wrong paper",Yes,10.1016/j.cej.2019.121937,236045.0,159.0,683.0
541,critical,source_note_composition_incorrect|space_group_whitespace,"source_note_composition_incorrect: Z, composition incorrect || space_group_whitespace: leading or trailing whitespace",exclude_until_composition_is_corrected|trim_text,,,,,,wa3,Li51.2Al1.6La24Zr16O96,1,Li51.2Al1.6La24Zr16O96,0.000254,,,Ia-3d ,230,12.959,12.959,12.959,90.0,90.0,90.0,garnet,10.1038/srep18053,1,D2 - 229,done,ICSD ,,"Z, composition incorrect",,,241475.0,229.0,
550,critical,source_note_conductivity_incorrect|duplicate_formula_same_order_lt10x|space_group_whitespace,source_note_conductivity_incorrect: ic # incorrect || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=1.5748; log10 span=0.197226 || space_group_whitespace: leading or trailing whitespace,exclude_until_conductivity_source_is_corrected|retain_as_replicates_but_keep_group_in_one_split|trim_text,DUP054,2,1.5748031496062993,0.1972262747080249,True,gkl,Li5La3Nb2O12,8,Li40.0La24.0Nb16.0O96.0,5.08e-06,,,Ia-3d ,230,12.718,12.718,12.718,90.0,90.0,90.0,garnet,10.1016/j.jpowsour.2011.05.031,1,D2 - 233,done,,,ic # incorrect,Yes,10.1039/b514640b,171171.0,233.0,
578,critical,source_note_composition_incorrect|current_charge_composition_screen|source_note_duplicate|cif_status_blank|space_group_whitespace,source_note_composition_incorrect: wrong composition;  may duplicate with 548 || current_charge_composition_screen: flagged by current clean_raw_data rule || source_note_duplicate: wrong composition;  may duplicate with 548 || cif_status_blank: Cif ID is blank || space_group_whitespace: leading or trailing whitespace,exclude_until_composition_is_corrected|manual_formula_and_oxidation_state_review|resolve_referenced_duplicate|complete_cif_status_if_available|trim_text,,,,,,a6v,Li5.4La3Nb1.8Y0.75O12,8,Li43.2La24.0Nb14.4Y6.0O96.0,2.51e-05,,,Ia-3d ,230,12.9488,12.9488,12.9488,90.0,90.0,90.0,garnet,10.1021/jp304737x,0,,,,,wrong composition;  may duplicate with 548,,,,,695.0
2,high,source_note_occupancy_incorrect,source_note_occupancy_incorrect: partial occupancy not correct,verify_structure_and_composition,,,,,,jqc,Li7BiO6,1,Li7.0Bi1.0O6.0,1.58489e-06,,,P -1,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,hexaoxometalates,10.1002/zaac.200500231,1,D2 - 3,done,155950-ICSD,,partial occupancy not correct,,,155950.0,3.0,
3,high,source_note_occupancy_incorrect|below_1e-6_modeling_threshold,source_note_occupancy_incorrect: partial occupancy not correct || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=6.7e-08,verify_structure_and_composition|exclude_from_current_high_conductivity_model,,,,,,oi6,Li7SbO6,1,Li7.0Sb1.0O6.0,6.7e-08,,,P -1,2,5.4307,5.8916,5.385,116.748,119.63,62.779,hexaoxometalates,10.1021/ic030208w,1,D2 - 3,done,413370-ICSD,,partial occupancy not correct,,,413370.0,3.0,
10,high,reused_icsd_id|below_1e-6_modeling_threshold,reused_icsd_id: ICSD 83501.0 is reused by IDs ix1|z7n || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=3.2e-07,verify_formula_structure_and_source_linkage|exclude_from_current_high_conductivity_model,,,,,,ix1,Li0.91Hf2.022(PO4)3,6,Li5.46Hf12.13P18.0O72.0,3.2e-07,,,R-3c,167,8.8306,8.8306,22.027,90.0,90.0,120.0,NASICON,10.1021/cm970078n,0,D2 - 11,done,83501-ICSD,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected,,,83501.0,11.0,
17,high,duplicate_formula_conflict_10_to_100x,duplicate_formula_conflict_10_to_100x: 2 normalized-composition records; observed ratio=20.1835; log10 span=1.305,manual_review_and_keep_group_in_one_split,DUP018,2,20.18348623853211,1.3049961828815826,False,mvq,Li3.4Ge0.4P0.6S4,24,Li81.6Ge9.6P14.4S96.0,0.000654,,,P21/m,11,13.769,23.614,12.359,90.0,90.66,90.0,thio-LISICON,10.1149/1.1379028,0,D2 - 14,not available,,,,,,,14.0,
37,high,reduced_composition_parse_failure|below_1e-6_modeling_threshold|space_group_whitespace,reduced_composition_parse_failure: could not convert string to float: '1.0*' || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=3.8e-07 || space_group_whitespace: leading or trailing whitespace,normalize_formula_notation|exclude_from_current_high_conductivity_model|trim_text,,,,,,na5,Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,2,Li6.0Mo16.0S16.0O80.0H94.0W2.0,3.8e-07,,,C2/m ,12,20.6754,11.1509,14.5769,90.0,133.865,90.0,polyoxometalates,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,1,D2 - 23,done,412011-ICSD,,,,,412011.0,23.0,
43,high,source_note_cif_mismatch|below_1e-6_modeling_threshold,source_note_cif_mismatch: check cif file matching || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=1.8e-08,exclude_from_structure_model_until_fixed|exclude_from_current_high_conductivity_model,,,,,,bv2,LiYO2,4,Li4.0Y4.0O8.0,1.8e-08,,,P21/c,14,6.12,6.185,6.21,90.0,118.8,90.0,oxides,10.1016/0167-2738(81)90021-7,1,D2 - 33,done,45511-ICSD,,check cif file matching,,,45511.0,33.0,
46,high,organic_like_formula,organic_like_formula: LiClC3H7NO,exclude_from_inorganic_electrolyte_scope,,,,,,goi,LiClC3H7NO,4,Li4.0Cl4.0C12.0H28.0N4.0O4.0,0.00016,,,P21/c,14,5.839,6.39,15.961,90.0,98.826,90.0,organic_salts,10.1021/acs.chemmater.5b00940,1,D2 - 35,done,CCDC 969064,appendix,,,,,35.0,
54,high,duplicate_formula_conflict_100_to_1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_100_to_1000x: 2 normalized-composition records; observed ratio=543.75; log10 span=2.7354; at least one DOI is shared || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=8.7e-08,manual_review_conditions_phase_and_source|exclude_from_current_high_conductivity_model,DUP004,2,543.75,2.7353992699626932,False,5bz,Li3BN2,4,Li12.0B4.0N8.0,8.7e-08,,,P21/c,14,5.1502,7.0824,6.7908,90.0,112.956,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,41022-ICSD,D2 - 93_II; Li3BN2.cif,,,,41022.0,93.0,
59,high,source_note_cif_mismatch|below_1e-6_modeling_threshold,source_note_cif_mismatch: check cif file matching || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=6.1e-10,exclude_from_structure_model_until_fixed|exclude_from_current_high_conductivity_model,,,,,,t0h,Li2ZrO3,4,Li8.0Zr4.0O12.0,6.1e-10,,,C2/c,15,5.4163,9.0262,5.4156,90.0,112.615,90.0,oxides,10.1016/0167-2738(81)90021-7,1,D2 - 33,done,94894-ICSD,,check cif file matching,,,94894.0,33.0,
73,high,source_note_cif_mismatch|below_1e-6_modeling_threshold,source_note_cif_mismatch: check cif file matching || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=2.4e-14,exclude_from_structure_model_until_fixed|exclude_from_current_high_conductivity_model,,,,,,bsa,LiGaO2,4,Li4.0Ga4.0O8.0,2.4e-14,,,Pna21,33,5.402,6.372,5.007,90.0,90.0,90.0,oxides,10.1007/bf00549810,1,D2 - 53,done,18152-ICSD,,check cif file matching,,,18152.0,53.0,
107,high,source_note_cif_mismatch|duplicate_formula_same_order_lt10x|below_1e-6_modeling_threshold,source_note_cif_mismatch: lattice parameters not matching cif || duplicate_formula_same_order_lt10x: 2 normalized-composition records; observed ratio=3.43462; log10 span=0.535878; at least one DOI is shared || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=8.93e-07,exclude_from_structure_model_until_fixed|retain_as_replicates_but_keep_group_in_one_split|exclude_from_current_high_conductivity_model,DUP034,2,3.4346153846153844,0.5358781109177286,True,nhq,Li3PS4,4,Li12.0P4.0S16.0,8.93e-07,,,Pnma,62,13.066,8.015,6.101,90.0,90.0,90.0,thio-LISICON,10.1021/ja3110895,1,D2 - 52,done,180319-ICSD,,lattice parameters not matching cif,,,180319.0,52.0,
117,high,duplicate_formula_conflict_100_to_1000x,duplicate_formula_conflict_100_to_1000x: 2 normalized-composition records; observed ratio=444.444; log10 span=2.64782,manual_review_conditions_phase_and_source,DUP005,2,444.4444444444445,2.6478174818886373,False,2uv,Li4SnSe4,4,Li16.0Sn4.0Se16.0,2e-05,,,Pnma,62,14.931,8.2217,6.5989,90.0,90.0,90.0,Chalcogenidotetrelates,10.1021/cm400541n,1,D2 - 76,done,193768-ICSD,, ,,,193768.0,76.0,
149,high,duplicate_formula_conflict_100_to_1000x|below_1e-6_modeling_threshold,duplicate_formula_conflict_100_to_1000x: 2 normalized-composition records; observed ratio=543.75; log10 span=2.7354; at least one DOI is shared || below_1e-6_modeling_threshold: Ionic conductivity (S cm-1)=1.6e-10,manual_review_conditions_phase_and_source|exclude_from_current_high_conductivity_model,DUP004,2,543.75,2.7353992699626932,False,qa9,Li3BN2,2,Li6.0B2.0N4.0,1.6e-10,,,P42/mnm,136,4.6435,4.6435,5.2592,90.0,90.0,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,655673-ICSD,Li3BN2_II.cif,changed space group to reflect actual higher symmetry,,,655673.0,93.0,
178,high,duplicate_formula_conflict_10_to_100x|space_group_whitespace,duplicate_formula_conflict_10_to_100x: 2 normalized-composition records; observed ratio=20.1835; log10 span=1.305 || space_group_whitespace: leading or trailing whitespace,manual_review_and_keep_group_in_one_split|trim_text,DUP018,2,20.18348623853211,1.3049961828815826,False,8po,Li10.2Ge1.2P1.8S12,2,Li20.4Ge2.4P3.6S24.0,0.0132,,,P42/nmc ,137,8.7043,8.7043,12.616,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,
