feature,count,missing_count,missing_ratio,min,q1,median,q3,max,iqr,lower_fence,upper_fence,outlier_count,outlier_ratio
nₕₐₗᵢdₑ,474,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,88,0.18565400843881857
$\log_{10}(\sigma)\ (\mathrm{S}\ \mathrm{cm}^{-1})$,474,0,0.0,-17.3767507096021,-6.295526060709551,-4.356659515322535,-3.2110279700497486,-1.6020599913279623,3.0844980906598023,-10.922273196699255,1.4157191659399544,42,0.08860759493670886
nₐₙᵢₒₙ,474,0,0.0,0.0,0.47513070510103145,0.5217391304347826,0.6486486486486487,0.6705783738474433,0.17351794354761724,0.21485378977960562,0.9089255639700745,17,0.035864978902953586
rₐₗₗ (pm),474,0,0.0,71.45,104.9603825136612,110.72881355932202,117.33126876876875,162.0025,12.37088625510755,86.40405313099987,135.88759815143007,9,0.0189873417721519
ρ⁺(excl Li⁺) (C m⁻³),466,8,0.016877637130801686,74980241243.23335,408275977765.77124,23322797243627.08,23922244233354.383,531179622569200.7,23513968255588.613,-34862676405617.152,59193196616737.305,7,0.015021459227467811
ρₐₗₗ (C m⁻³),474,0,0.0,45038996900.29088,126904312810.06766,2519594380233.3027,6424018572423.677,187498826950925.1,6297114259613.609,-9318767076610.346,15869689961844.09,7,0.014767932489451477
ρ⁺(incl Li⁺) (C m⁻³),474,0,0.0,107896619586.92468,230236178310.58896,4641129320834.094,18184967167989.86,455314584317709.0,17954730989679.27,-26701860306208.316,45117063652508.766,7,0.014767932489451477
ρ⁺(incl Li⁺) / ρ⁻,474,0,0.0,3.3730749716337267,12.365576801060735,361.4154137035787,634.3477921035759,23855.3482404298,621.9822153025152,-920.6077461527121,1567.3211150573488,7,0.014767932489451477
ρ⁺(incl Li⁺) - ρ⁻,474,0,0.0,85697943251.65126,201257420251.8982,4629450619839.806,18155988409931.17,455286787523532.6,17954730989679.273,-26730839064267.01,45088084894450.08,7,0.014767932489451477
χₘₐₓ - χₘᵢₙ,474,0,0.0,1.21,2.0,2.46,2.46,3.03,0.45999999999999996,1.31,3.15,6,0.012658227848101266
Φ⁺(excl Li⁺) (|Z| pm⁻¹),466,8,0.016877637130801686,0.0198675496688741,0.05096466893522225,0.19687024278129012,0.20770511990716595,0.5,0.1567404509719437,-0.1841460075226933,0.4428157963650815,5,0.01072961373390558
Φ⁺(incl Li⁺) (|Z| pm⁻¹),474,0,0.0,0.0148148148148148,0.028850297731885976,0.0547152194211017,0.15796667525136018,0.4306878306878307,0.12911637751947422,-0.16482426854732535,0.3516412415305715,1,0.002109704641350211
χ⁺(excl Li⁺),466,8,0.016877637130801686,1.1042857142857143,1.3848557692307693,1.9192,2.05075,2.19,0.6658942307692306,0.38601442307692335,3.0495913461538455,0,0.0
χ⁺(excl Li⁺) - χ⁻,466,8,0.016877637130801686,-2.37,-2.049800613496932,-1.5086999999999997,-0.769,-0.1800000000000001,1.280800613496932,-3.9710015337423306,1.1522009202453982,0,0.0
r⁺(excl Li⁺) (pm),466,8,0.016877637130801686,6.0,31.5,38.5325,82.2717258794845,110.36476190476188,50.77172587948451,-44.65758881922676,158.42931469871127,0,0.0
r⁺(excl Li⁺) - r⁻,466,8,0.016877637130801686,-179.0,-132.010625,-102.91499999999999,-56.926778311965805,-27.835238095238097,75.0838466880342,-244.6363950320513,55.69899172008549,0,0.0
r⁺(excl Li⁺) / r⁻,466,8,0.016877637130801686,0.0410958904109589,0.206955499276411,0.2658369512783406,0.5878393352451773,0.7985872786162221,0.3808838359687663,-0.36437025467673845,1.1591650891983267,0,0.0
χₐₗₗ,474,0,0.0,1.2825,1.9101875000000001,2.335138215859031,2.8281079234972677,2.936111111111112,0.9179204234972675,0.5333068647540988,4.204988558743169,0,0.0
χ⁻,474,0,0.0,2.19,2.65375,3.44,3.44,3.98,0.7862499999999999,1.4743750000000002,4.619375,0,0.0
χ⁺(incl Li⁺),474,0,0.0,0.98,1.1375,1.245174418604651,1.676620879120879,1.9283333333333332,0.539120879120879,0.3288186813186814,2.4853021978021976,0,0.0
χ⁺(incl Li⁺) - χ⁻,474,0,0.0,-2.8425,-2.227608695652174,-1.7517213114754098,-1.5116666666666665,-0.6298461538461537,0.7159420289855076,-3.3015217391304357,-0.43775362318840494,0,0.0
r⁻ (pm),474,0,0.0,130.625,138.2,138.2,184.0,220.00000000000003,45.80000000000001,69.49999999999997,252.70000000000002,0,0.0
r⁺(incl Li⁺) (pm),474,0,0.0,14.785714285714286,45.26632104454686,60.285714285714285,78.64984567901234,89.06428571428572,33.38352463446549,-4.808965907151375,128.72513263071056,0,0.0
r⁺(incl Li⁺) - r⁻,474,0,0.0,-148.33333333333334,-117.48055555555557,-94.77673768327008,-59.46773864638445,-52.83968253968253,58.01281690917112,-204.49978091931223,27.551486717372228,0,0.0
r⁺(incl Li⁺) / r⁻,474,0,0.0,0.1075774544679723,0.3139655593551538,0.3365987606219155,0.5692060389907744,0.6176578687432523,0.2552404796356206,-0.06889516009827706,0.9520667584442053,0,0.0
ρ⁻ (C m⁻³),474,0,0.0,3591748011.3619866,12278644599.949677,28978758058.690765,28978758058.690765,36866897357.61785,16700113458.741089,-12771525588.161957,54028928246.8024,0,0.0
nₕₒₛₜ cₐₜᵢₒₙ,474,0,0.0,0.0,0.12,0.217391304347826,0.273224043715847,0.3888888888888889,0.15322404371584702,-0.10983606557377054,0.5030601092896175,0,0.0
n_Li,474,0,0.0,0.0106382978723404,0.0760869565217391,0.2608695652173913,0.4,0.75,0.32391304347826094,-0.40978260869565236,0.8858695652173915,0,0.0
