source_csv_line,gradient_role,x_Y,x_Zr,n_Li_Cl6,n_Y_Cl6,n_Zr_Cl6,n_Cl_Cl6,composition_record_count,ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
385,Y_endmember,1,0,3,1,0,6,7,ei3,Li3YCl6,0.000539,RT,,unknow,halides,unknow,10.1002/adma.201803075,2018,appendix: diffraction data available；close match: Yes；close match DOI: 10.1021/acs.chemmater.0c04352
608,Y_endmember,1,0,3,1,0,6,7,trv1_0059,Li3YCl6,≈4.0e-4,RT,,unknow,halide,unknow,10.1002/adma.202501838,2025,对比电解质；与Li不稳定
549,Y_endmember,1,0,3,1,0,6,7,trv1_0022,Li3YCl6,1.53e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,原始相；三方晶系
473,Y_endmember,1,0,3,1,0,6,7,v78,Li3YCl6,0.0000608,RT,,unknow,halides,否,10.1021/acs.nanolett.0c01156,2020,Curator row 78; starting hcp value for In3+ substitution; original 0.0608 mS/cm
598,Y_endmember,1,0,3,1,0,6,7,trv1_0049,Li3YCl6,2.6e-4,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
484,Y_endmember,1,0,3,1,0,6,7,yz0,Li3YCl6,0.00007,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-1; phase I (trigonal); original 0.07 mS/cm at 25 C
533,Y_endmember,1,0,3,1,0,6,7,v65,Li3YCl6,0.000345,RT,,NH4Cl辅助湿化学合成（500°C）,halides,否,10.1126/sciadv.abh1896,2021,Curator row 65; NH4Cl-assisted wet-chemical synthesis at 500 C; original 0.345 mS/cm
555,mixed_gradient,0.99,0.01,2.99,0.99,0.01,6,1,trv1_0028,Li2.99Y0.99Zr0.01Cl6,2.76e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,Zr掺杂最优值
485,mixed_gradient,0.9,0.1,2.9,0.9,0.1,6,1,yz1,Li2.9Y0.9Zr0.1Cl6,0.00032,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-2; phase I; original 0.32 mS/cm at 25 C
486,mixed_gradient,0.8,0.2,2.8,0.8,0.2,6,1,yz2,Li2.8Y0.8Zr0.2Cl6,0.00095,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-3; phase I+II; original 0.95 mS/cm at 25 C
487,mixed_gradient,0.75,0.25,2.75,0.75,0.25,6,1,yz3,Li2.75Y0.75Zr0.25Cl6,0.001,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-4; phase I+II; original 1.0 mS/cm at 25 C
488,mixed_gradient,0.7,0.3,2.7,0.7,0.3,6,1,yz4,Li2.7Y0.7Zr0.3Cl6,0.0012,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-5; phase I+II; original 1.2 mS/cm at 25 C
