group_id,pair_id,化学式_a,化学式_b,family,source_row_a,source_row_b,电导率_a_S_cm-1,电导率_b_S_cm-1,真实电导率变化值_S_cm-1,真实趋势标签,预测趋势标签,预测正确,probability_decrease,probability_unchanged,probability_increase
group1,exp_pair_0001,Li5.7PS4.7Cl1.3,Li5.5PS4.5Cl1.5,argyrodites,1,2,0.0081,0.010116,0.0020160000000000004,increase,decrease,False,0.9765009,0.013002249,0.010496797
group1,exp_pair_0002,Li5.5PS4.5Cl1.5,Li5.4PS4.4Cl1.6,argyrodites,2,3,0.010116,0.007137,-0.002979,decrease,decrease,True,0.82297534,0.09564143,0.08138321
group1,exp_pair_0003,Li5.4PS4.4Cl1.6,Li5.3PS4.3Cl1.7,argyrodites,3,4,0.007137,0.007295,0.00015800000000000015,increase,decrease,False,0.80310374,0.09290913,0.10398714
group1,exp_pair_0004,Li5.3PS4.3Cl1.7,Li5.5PS4.5Cl1.45I0.05,argyrodites,4,5,0.007295,0.013723,0.0064280000000000006,increase,decrease,False,0.9465383,0.00837284,0.04508887
group1,exp_pair_0005,Li5.5PS4.5Cl1.45I0.05,Li5.5PS4.5Cl1.4I0.1,argyrodites,5,6,0.013723,0.010312,-0.003411000000000001,decrease,decrease,True,0.9314533,0.05008597,0.018460754
group1,exp_pair_0006,Li5.5PS4.5Cl1.4I0.1,Li5.5PS4.5Cl1.35I0.15,argyrodites,6,7,0.010312,0.010565,0.00025299999999999975,increase,decrease,False,0.94139767,0.039944507,0.018657845
group1,exp_pair_0007,Li5.5PS4.5Cl1.35I0.15,Li5.5PS4.5Cl1.3I0.2,argyrodites,7,8,0.010565,0.008230000000000001,-0.0023349999999999985,decrease,decrease,True,0.9322773,0.047530554,0.02019213
group1,exp_pair_0008,Li5.5PS4.5Cl1.3I0.2,Li5.5PS4.5Cl1.25I0.25,argyrodites,8,9,0.008230000000000001,0.0016040000000000002,-0.006626000000000001,decrease,decrease,True,0.93154436,0.04915758,0.01929806
group1,exp_pair_0009,Li5.5PS4.5Cl1.25I0.25,Li5.4PS4.4ClBr0.6,argyrodites,9,10,0.0016040000000000002,0.01348,0.011876000000000001,increase,decrease,False,0.94197756,0.010665761,0.047356606
group1,exp_pair_0010,Li5.4PS4.4ClBr0.6,Li5.4PS4.4ClBr0.6,argyrodites,10,11,0.01348,0.01348,0.0,unchanged,decrease,False,0.90582156,0.040590424,0.053588036
group2,exp_pair_0011,Li3AsS4,Li5.5AsS4.5Br1.5,argyrodites,12,13,9.1e-05,0.01753,0.017439,increase,unchanged,False,0.17995036,0.8162071,0.003842528
group2,exp_pair_0012,Li5.5AsS4.5Br1.5,Li5.5AsS4.3O0.2Br1.5,argyrodites,13,14,0.01753,0.013090000000000001,-0.0044399999999999995,decrease,increase,False,0.19064887,0.21544714,0.59390396
group2,exp_pair_0013,Li5.5AsS4.3O0.2Br1.5,Li5.5AsS4.1O0.4Br1.5,argyrodites,14,15,0.013090000000000001,0.01118,-0.0019100000000000002,decrease,increase,False,0.22114201,0.18329608,0.5955619
group2,exp_pair_0014,Li5.5AsS4.1O0.4Br1.5,Li5.5AsS3.8O0.7Br1.5,argyrodites,15,16,0.01118,0.00875,-0.00243,decrease,increase,False,0.2449625,0.11658108,0.6384564
group2,exp_pair_0015,Li5.5AsS3.8O0.7Br1.5,Li5.5AsS2.5O2Br1.5,argyrodites,16,17,0.00875,0.0002817,-0.008468300000000002,decrease,decrease,True,0.48296732,0.32712802,0.18990465
group2,exp_pair_0016,Li5.5AsS2.5O2Br1.5,Li5.5As0.9Sb0.1S4.5Br1.5,argyrodites,17,18,0.0002817,0.01685,0.0165683,increase,increase,True,0.3070686,0.33447593,0.35845554
group2,exp_pair_0017,Li5.5As0.9Sb0.1S4.5Br1.5,Li5.5As0.9Sb0.2S4.5Br1.5,argyrodites,18,19,0.01685,0.00906,-0.00779,decrease,unchanged,False,0.16335997,0.4975725,0.33906752
