group_id,pair_id,化学式_a,化学式_b,family,source_row_a,source_row_b,电导率_a_S_cm-1,电导率_b_S_cm-1,真实电导率变化值_S_cm-1,真实趋势标签,预测趋势标签,预测正确,probability_decrease,probability_unchanged,probability_increase
group1,halide_pair_0001,Li4ZrCl4O2,Li2.25Zr0.75In0.25Cl6,halides,1,2,0.0015,0.00037000000000000005,-0.00113,decrease,decrease,True,0.7944168026108753,0.012986601030294769,0.19259659635882984
group1,halide_pair_0002,Li2.25Zr0.75In0.25Cl6,Li2.4Zr0.8Zn0.2Cl6,halides,2,3,0.00037000000000000005,0.00030000000000000003,-7.000000000000002e-05,unchanged,increase,False,0.27878174920624477,0.217336364631669,0.5038818861620862
group1,halide_pair_0003,Li2.4Zr0.8Zn0.2Cl6,Li2ZrCl5Br,halides,3,4,0.00030000000000000003,8.900000000000001e-05,-0.00021100000000000003,decrease,decrease,True,0.9540186895265934,0.009023334327168673,0.03695797614623797
group1,halide_pair_0004,Li2ZrCl5Br,Li2.4Zr0.7In0.2Zn0.1Cl6,halides,4,5,8.900000000000001e-05,0.00031,0.000221,increase,unchanged,False,0.3299144933521272,0.34766445885566694,0.3224210477922058
group1,halide_pair_0005,Li2.4Zr0.7In0.2Zn0.1Cl6,Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6,halides,5,6,0.00031,0.00018,-0.00013,decrease,increase,False,0.03998378252642349,0.21870854886817442,0.7413076686054021
group1,halide_pair_0006,Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6,Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6,halides,6,7,0.00018,0.00028,9.999999999999996e-05,unchanged,increase,False,0.07125862349464993,0.019433381235566576,0.9093079952697836
group1,halide_pair_0007,Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6,Li2.5Y0.5Zr0.5Cl6,halides,7,8,0.00028,0.0007400000000000001,0.0004600000000000001,increase,increase,True,0.20215143590769713,0.10549522873428398,0.6923533353580189
group2,halide_pair_0008,Li2.5Y0.5Zr0.5Cl6 + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4,halides,9,10,0.0013000000000000002,0.0014,9.999999999999983e-05,unchanged,increase,False,0.14153233017046393,0.07681788809835091,0.7816497817311853
group2,halide_pair_0009,Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4,halides,10,11,0.0014,0.0011,-0.0002999999999999999,decrease,increase,False,0.27165662974246857,0.09842949029859152,0.6299138799589399
group2,halide_pair_0010,Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4,halides,11,12,0.0011,0.0011,0.0,unchanged,increase,False,0.3978636506688892,0.07961468021000573,0.5225216691211051
group2,halide_pair_0011,Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4,Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4,halides,12,13,0.0011,0.0015,0.00039999999999999996,increase,increase,True,0.3097447273596277,0.1311454602791543,0.5591098123612179
group2,halide_pair_0012,Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4,Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4,halides,13,14,0.0015,0.0016,0.00010000000000000005,increase,increase,True,0.1031601378638803,0.014413652296527926,0.8824262098395919
group2,halide_pair_0013,Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4,Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4,halides,14,15,0.0016,0.0016,0.0,unchanged,increase,False,0.16269077830867087,0.010519991211364111,0.826789230479965
group2,halide_pair_0014,Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4,Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4,halides,15,16,0.0016,0.0015,-0.00010000000000000005,decrease,increase,False,0.22323395418076042,0.010406220706074954,0.7663598251131646
group2,halide_pair_0015,Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4,Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4,halides,16,17,0.0015,0.0016,0.00010000000000000005,increase,increase,True,0.16067738414241983,0.0680651141559301,0.77125750170165
group2,halide_pair_0016,Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4,Li3.15Y0.75Zr0.05Zn0.2Cl6 + 5wt%ZrCl4,halides,17,18,0.0016,2e-05,-0.00158,decrease,increase,False,0.01870096111842833,0.05289376298668724,0.9284052758948844
