group_id,pair_id,化学式_a,化学式_b,family,source_row_a,source_row_b,电导率_a_S_cm-1,电导率_b_S_cm-1,真实电导率变化值_S_cm-1,真实趋势标签,预测趋势标签,预测正确,probability_decrease,probability_unchanged,probability_increase
group1,halide_pair_0001,Li4ZrCl4O2,Li2.25Zr0.75In0.25Cl6,halides,1,2,0.0015,0.00037000000000000005,-0.00113,decrease,decrease,True,0.5013577586446262,0.04810383450522276,0.4505384068501513
group1,halide_pair_0002,Li2.25Zr0.75In0.25Cl6,Li2.4Zr0.8Zn0.2Cl6,halides,2,3,0.00037000000000000005,0.00030000000000000003,-7.000000000000002e-05,unchanged,decrease,False,0.42696715571615435,0.2644394088780817,0.30859343540576417
group1,halide_pair_0003,Li2.4Zr0.8Zn0.2Cl6,Li2ZrCl5Br,halides,3,4,0.00030000000000000003,8.900000000000001e-05,-0.00021100000000000003,decrease,decrease,True,0.8595881033100422,0.032140598494786385,0.10827129819517131
group1,halide_pair_0004,Li2ZrCl5Br,Li2.4Zr0.7In0.2Zn0.1Cl6,halides,4,5,8.900000000000001e-05,0.00031,0.000221,increase,increase,True,0.33483259251871794,0.29441823351533475,0.37074917396594737
group1,halide_pair_0005,Li2.4Zr0.7In0.2Zn0.1Cl6,Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6,halides,5,6,0.00031,0.00018,-0.00013,decrease,increase,False,0.1914166201936814,0.25421811438695063,0.554365265419368
group1,halide_pair_0006,Li2.9Zr0.2Y0.5In0.2Zn0.1Cl6,Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6,halides,6,7,0.00018,0.00028,9.999999999999996e-05,unchanged,increase,False,0.20413117915366277,0.057747808780813,0.7381210120655242
group1,halide_pair_0007,Li2.7Zr0.4Y0.3In0.2Zn0.1Cl6,Li2.5Y0.5Zr0.5Cl6,halides,7,8,0.00028,0.0007400000000000001,0.0004600000000000001,increase,increase,True,0.2590130027173402,0.15939013337565655,0.581596863907003
group2,halide_pair_0008,Li2.5Y0.5Zr0.5Cl6 + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4,halides,9,10,0.0013000000000000002,0.0014,9.999999999999983e-05,unchanged,increase,False,0.25372807131507286,0.07648715662903846,0.6697847720558892
group2,halide_pair_0009,Li2.5Y0.5Zr0.5Cl5.5Br0.5 + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4,halides,10,11,0.0014,0.0011,-0.0002999999999999999,decrease,increase,False,0.3133506836537489,0.12406848358607447,0.5625808327601767
group2,halide_pair_0010,Li2.5Y0.5Zr0.5Cl5Br + 5wt%ZrCl4,Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4,halides,11,12,0.0011,0.0011,0.0,unchanged,increase,False,0.34095499679801844,0.10386018351181414,0.5551848196901673
group2,halide_pair_0011,Li2.5Y0.5Zr0.5Cl4.5Br1.5 + 5wt%ZrCl4,Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4,halides,12,13,0.0011,0.0015,0.00039999999999999996,increase,increase,True,0.2511417975173299,0.2406161824228194,0.5082420200598512
group2,halide_pair_0012,Li2.9Y0.9Zr0.1Cl4.5Br1.5 + 5wt%ZrCl4,Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4,halides,13,14,0.0015,0.0016,0.00010000000000000005,increase,increase,True,0.2087186621432643,0.12722515449962032,0.6640561833571152
group2,halide_pair_0013,Li2.8Y0.8Zr0.2Cl4.5Br1.5 + 5wt%ZrCl4,Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4,halides,14,15,0.0016,0.0016,0.0,unchanged,increase,False,0.20098633365739008,0.12275241777858435,0.6762612485640254
group2,halide_pair_0014,Li2.7Y0.7Zr0.3Cl4.5Br1.5 + 5wt%ZrCl4,Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4,halides,15,16,0.0016,0.0015,-0.00010000000000000005,decrease,increase,False,0.20035272989916272,0.0927804824145682,0.706866787686269
group2,halide_pair_0015,Li2.6Y0.6Zr0.4Cl4.5Br1.5 + 5wt%ZrCl4,Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4,halides,16,17,0.0015,0.0016,0.00010000000000000005,increase,increase,True,0.22117191897660066,0.18280079287318177,0.596027288150218
group2,halide_pair_0016,Li2.7Y0.7Zr0.3Cl5.5Br0.5 + 5wt%ZrCl4,Li3.15Y0.75Zr0.05Zn0.2Cl6 + 5wt%ZrCl4,halides,17,18,0.0016,2e-05,-0.00158,decrease,increase,False,0.21853010415578247,0.17049999662350995,0.6109698992207077
