feature,importance
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.28493387561392325
field_x_r_diff,0.12192504754238041
ρ⁻ (C m⁻³),0.11799019662718663
n_Li × r⁻ (pm),0.11722874729421381
χₐₗₗ,0.06005949741810216
ρ⁺(excl Li⁺) (C m⁻³),0.049035643783196164
nₕₒₛₜ cₐₜᵢₒₙ,0.04772940423982388
r⁺(incl Li⁺) / r⁻,0.047191362877243855
rₐₗₗ (pm),0.03561670699767806
chi_range_x_r_avg,0.033463711576888246
r⁺(excl Li⁺) - r⁻,0.019734356973411745
ρ⁺(incl Li⁺) (C m⁻³),0.016064849726014973
log_rho_ratio,0.011988796419784512
r⁺(incl Li⁺) (pm),0.010465764565659369
r_ratio_x_chi_diff,0.009651419873604272
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.008175353175391717
n_Li,0.00617729435046233
χ⁺(excl Li⁺),0.0016233795447167631
χ⁺(excl Li⁺) - χ⁻,0.0009445914003178265
r⁺(excl Li⁺) (pm),0.0
χ⁺(incl Li⁺) - χ⁻,0.0
χₘₐₓ - χₘᵢₙ,0.0
χ⁻,0.0
r⁻ (pm),0.0
ρ⁺(incl Li⁺) / ρ⁻,0.0
r⁺(incl Li⁺) - r⁻,0.0
