trial,state,value,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
0,COMPLETE,0.6586567025589869,3.0,27,10,log2
1,COMPLETE,0.6012901181936385,,10,10,log2
2,COMPLETE,0.6746573501849453,3.0,6,1,sqrt
3,COMPLETE,0.6539595301903804,5.0,28,4,
4,COMPLETE,0.6149703091094167,5.0,28,2,log2
5,COMPLETE,0.6510211502740525,5.0,25,2,
6,PRUNED,0.7252308141502608,3.0,5,13,
7,COMPLETE,0.630753516001631,10.0,22,12,sqrt
8,COMPLETE,0.638787483684189,15.0,16,14,log2
9,COMPLETE,0.612447901018111,10.0,27,13,sqrt
10,COMPLETE,0.5494456885375775,,12,7,log2
11,COMPLETE,0.5494456885375775,,11,7,log2
12,COMPLETE,0.5926027247876158,,13,6,log2
13,COMPLETE,0.5696950744432265,7.0,10,7,log2
14,PRUNED,0.6635047416692018,20.0,19,5,log2
15,COMPLETE,0.567546108423039,,2,9,log2
16,COMPLETE,0.5685014628720636,,14,8,log2
17,COMPLETE,0.5494456885375775,,9,7,log2
18,PRUNED,0.6253308718257762,15.0,18,4,
19,PRUNED,0.7000620968659547,20.0,6,11,sqrt
20,COMPLETE,0.5790481010113409,7.0,12,8,log2
21,COMPLETE,0.5494456885375775,,9,7,log2
22,COMPLETE,0.587723811117279,,9,6,log2
23,COMPLETE,0.5685910942702318,,15,5,log2
24,COMPLETE,0.567546108423039,,12,9,log2
25,COMPLETE,0.5494456885375775,,2,7,log2
26,PRUNED,0.6028571151990308,,7,4,log2
27,COMPLETE,0.567546108423039,,18,9,log2
28,PRUNED,0.5885814413050964,20.0,4,6,sqrt
29,PRUNED,0.61874974706623,7.0,8,10,
30,COMPLETE,0.5685014628720636,15.0,11,8,log2
31,COMPLETE,0.5494456885375775,,9,7,log2
32,COMPLETE,0.6066326106995529,,11,5,log2
33,COMPLETE,0.5494456885375775,,8,7,log2
34,COMPLETE,0.567546108423039,,13,9,log2
35,PRUNED,0.7734282208699752,3.0,4,10,log2
36,PRUNED,0.7069288338438364,5.0,10,3,log2
37,PRUNED,0.5564426130180741,10.0,15,6,log2
38,PRUNED,0.7252308141502608,3.0,7,11,
39,PRUNED,0.5758527078340221,,16,3,sqrt
40,PRUNED,0.715751353765838,5.0,20,8,
41,COMPLETE,0.5494456885375775,,4,7,log2
42,COMPLETE,0.5494456885375775,,2,7,log2
43,PRUNED,0.5414103994702455,,6,6,log2
44,PRUNED,0.5466952168261038,,11,5,log2
45,COMPLETE,0.5706844968592395,10.0,9,8,log2
46,COMPLETE,0.5494456885375775,,14,7,log2
47,PRUNED,0.6641263615313636,15.0,30,15,sqrt
48,COMPLETE,0.5685014628720636,,5,8,log2
49,PRUNED,0.7598922266415388,3.0,2,6,log2
