feature,importance
rₐₗₗ (pm),1359.0
chi_range_x_r_avg,1235.0
χₐₗₗ,1102.0
r⁺(incl Li⁺) - r⁻,1096.0
χ⁺(incl Li⁺) - χ⁻,1052.0
r⁺(incl Li⁺) (pm),1042.0
χ⁺(excl Li⁺) - χ⁻,1020.0
field_x_r_diff,1004.0
r_ratio_x_chi_diff,992.0
Φ⁺(excl Li⁺) (|Z| pm⁻¹),955.0
ρ⁺(incl Li⁺) (C m⁻³),954.0
ρ⁺(incl Li⁺) / ρ⁻,927.0
χ⁺(excl Li⁺),924.0
ρ⁺(excl Li⁺) (C m⁻³),914.0
r⁺(excl Li⁺) (pm),901.0
r⁺(excl Li⁺) - r⁻,856.0
r⁺(incl Li⁺) / r⁻,847.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),804.0
n_Li,798.0
nₕₒₛₜ cₐₜᵢₒₙ,685.0
n_Li × r⁻ (pm),646.0
log_rho_ratio,479.0
r⁻ (pm),166.0
ρ⁻ (C m⁻³),155.0
χₘₐₓ - χₘᵢₙ,129.0
χ⁻,105.0
