trial,state,value,param_hidden_layer_sizes,param_activation,param_alpha,param_learning_rate_init,param_max_iter
0,COMPLETE,0.768096910120099,64_32,relu,1.951722464144947e-05,0.005399484409787433,1000
1,COMPLETE,0.8337072874707416,64,tanh,0.00420515645091387,0.0007309539835912913,1000
2,COMPLETE,0.8073603450471121,128_64_32,tanh,0.009163741808778781,0.0001238513729886094,500
3,COMPLETE,0.8345277172938965,64_32,tanh,0.0015876781526923994,0.00017541893487450815,1500
4,COMPLETE,0.7744533892536994,64_32,relu,0.7045683638454499,0.0035503048581283078,500
5,PRUNED,0.9689329795654236,64,tanh,0.00022737628102536837,0.004544383960336014,1500
6,PRUNED,0.8785965687070737,128_64_32,relu,1.0656401760606452e-05,0.004274869455295219,1500
7,COMPLETE,0.7555569342827033,128_64_32,relu,2.078699690689778e-05,0.0004187594718900631,1000
8,PRUNED,0.8424443727386908,64,relu,0.07158728631500196,0.0009718319944817398,500
9,PRUNED,0.9567533925799439,128_64,tanh,0.00017638479543546866,0.000661859559718348,500
10,COMPLETE,0.781543788738803,128_64_32,relu,0.0001412876987310872,0.0003156826122536684,1000
11,PRUNED,0.8165654670883495,64_32,relu,1.0829398707743075e-05,0.008685109186800405,1000
12,PRUNED,1.0220176104917278,128_64,relu,4.835647119524561e-05,0.00034182375573412507,1000
13,PRUNED,0.8350635340504992,128_64_32,relu,0.0005990393381307106,0.0018906379122278195,1000
14,PRUNED,0.8024655376171763,64_32,relu,3.136725053613876e-05,0.002020051308295781,1000
15,PRUNED,0.7845135215129956,128_64_32,relu,0.023405652061323494,0.009168639030229943,1000
16,PRUNED,0.8023352922359217,64_32,relu,4.903548920286951e-05,0.0004282109719731578,1000
17,PRUNED,1.142910389082725,128_64,relu,0.00047666097016800117,0.0017890547125542831,1000
18,PRUNED,0.797784294693962,128_64_32,relu,0.0013028862878658586,0.00021434460789703514,1000
19,COMPLETE,0.8156287053447073,64_32,relu,3.5367638021642404e-05,0.0005597001347736214,1500
20,PRUNED,0.8288483343706038,128_64_32,relu,0.15556246271648944,0.0014622504526962926,1000
21,COMPLETE,0.77617172125096,64_32,relu,0.3572139148259027,0.003368951740328576,500
22,PRUNED,0.8200556808341851,64_32,relu,0.038943960506588916,0.00529389957387028,500
23,COMPLETE,0.7590653899951494,64_32,relu,0.010425472377402085,0.0029745678147248137,500
24,COMPLETE,0.737752763284098,64_32,relu,0.006322236031841844,0.002684677717741748,500
25,PRUNED,0.808664014537527,64_32,relu,0.009069604622569774,0.002663956499421618,500
26,PRUNED,1.0360336409408626,128_64,tanh,0.007865128070939859,0.001031927247738769,500
27,PRUNED,0.8221526592533632,64,relu,0.01863374635409237,0.000954316166847088,500
28,PRUNED,0.7796926816758658,64_32,relu,0.0017658173735682198,0.0013269032947860317,500
29,PRUNED,0.7851476950103509,64_32,relu,0.0033070508775697254,0.002712927280907586,500
30,PRUNED,0.8192434320860806,128_64_32,relu,0.10459427317969988,0.006527270043627647,500
31,PRUNED,0.8143930491884556,64_32,relu,0.004375811322637342,0.006240410935597502,1000
32,PRUNED,0.8749245423439285,64_32,tanh,9.143313750679632e-05,0.0026083069169039793,1000
33,PRUNED,0.7802321153234537,64_32,relu,0.0007014251526249375,0.0067318323198918865,1500
34,PRUNED,1.0665018411294576,64,tanh,1.8934089346707955e-05,0.00011485884920307318,500
35,PRUNED,0.807594176155122,64_32,relu,0.005593811829291967,0.0035430124720850476,500
36,PRUNED,0.8777478967236189,64_32,tanh,0.016567142303631033,0.00021329274795713646,1500
37,COMPLETE,0.7173020925783293,128_64_32,relu,0.0026813819112335405,0.0044866133793044745,1000
38,PRUNED,0.9065644263644438,128_64_32,relu,0.001796495397547304,0.004876306660680408,1000
39,PRUNED,0.8577912034507355,128_64_32,relu,0.04005277039882052,0.0038001685919707355,500
40,PRUNED,0.8334640180856699,128_64_32,relu,0.00037177398271128647,0.0013105620907014135,1500
41,PRUNED,0.8499064153694333,128_64_32,relu,8.399838667795824e-05,0.0029757814292108897,1000
42,PRUNED,0.820040726701535,64,relu,2.0086421657050246e-05,0.0022454363913561605,1000
43,COMPLETE,0.7635705334843532,128_64_32,relu,0.0009701833655426181,0.004506382747994027,1000
44,COMPLETE,0.7428288011702809,128_64_32,relu,0.0008891124419441762,0.004365122722192961,1000
45,PRUNED,0.8164268876736971,128_64_32,relu,0.012290103294417187,0.007473280224546568,1000
46,PRUNED,0.8849438755751695,128_64_32,tanh,0.0030929498909612703,0.00015685153153222614,1000
47,PRUNED,0.8097130394816453,128_64_32,relu,0.002500629237709976,0.0004879011108836147,1000
48,PRUNED,1.078626679603009,128_64,relu,0.00027022612653634996,0.0007432260886201742,500
49,PRUNED,0.848659477496489,128_64_32,relu,0.043911013842181996,0.002235020211352619,1000
