feature,importance
rₐₗₗ (pm),0.08391385714949245
chi_range_x_r_avg,0.081410061179265
χ⁺(excl Li⁺) - χ⁻,0.06855108662154973
field_x_r_diff,0.062013202674903775
r⁺(incl Li⁺) (pm),0.05148132211972385
χₐₗₗ,0.05048761043411254
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.04899246464157332
χ⁺(incl Li⁺) - χ⁻,0.048748065280818764
n_Li × r⁻ (pm),0.04617185713003787
r⁺(incl Li⁺) - r⁻,0.044404354987446534
χ⁺(excl Li⁺),0.04200623135152619
r_ratio_x_chi_diff,0.039552084496424986
ρ⁺(excl Li⁺) (C m⁻³),0.0383100296285559
r⁺(excl Li⁺) - r⁻,0.03754723962856686
n_Li,0.033726457921002984
r⁺(incl Li⁺) / r⁻,0.03257951649137761
nₕₒₛₜ cₐₜᵢₒₙ,0.03160181772781999
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.030218012195765545
ρ⁺(incl Li⁺) (C m⁻³),0.027495269143477916
r⁺(excl Li⁺) (pm),0.025627053581505185
log_rho_ratio,0.0242839468261516
ρ⁺(incl Li⁺) / ρ⁻,0.02416899738622249
χₘₐₓ - χₘᵢₙ,0.0102337185714267
ρ⁻ (C m⁻³),0.006840002697828432
r⁻ (pm),0.0054713743912365815
χ⁻,0.004164365742187195
