trial,state,value,param_n_estimators,param_learning_rate,param_minibatch_frac
0,COMPLETE,0.5391817055923179,600,0.0862735828664018,0.8659969709057025
1,COMPLETE,0.5249874484510866,800,0.007979118876474874,0.5779972601681014
2,COMPLETE,0.5188860498499797,200,0.06697167353375243,0.8005575058716043
3,COMPLETE,0.5361305113986086,900,0.005318033256270142,0.9849549260809971
4,COMPLETE,0.5214415131834238,1100,0.009445600138094694,0.5909124836035503
5,PRUNED,0.5797456936044653,400,0.012439367209907218,0.762378215816119
6,COMPLETE,0.5190303015746173,600,0.011963764382790322,0.8059264473611898
7,PRUNED,0.5934596913500292,300,0.011996621453406362,0.6831809216468459
8,PRUNED,0.541686983743093,700,0.05254210669345883,0.5998368910791798
9,PRUNED,0.5445072109320067,700,0.029493012052163467,0.5232252063599989
10,PRUNED,0.5773088364799573,200,0.028566833462447407,0.9267360518846168
11,COMPLETE,0.5165003868870977,500,0.018579051752261357,0.7980506775481793
12,PRUNED,0.5401034209706674,400,0.048099147682488644,0.7265611438230708
13,PRUNED,0.6091238120072895,200,0.01803214064178837,0.8485779491700471
14,PRUNED,0.5543684635061136,400,0.09752964360920653,0.6712579968688783
15,COMPLETE,0.5196627083590595,500,0.019716471246200944,0.8838129988503957
16,PRUNED,0.5333548657595683,200,0.04895031101407571,0.7897414934109779
17,PRUNED,0.5426674204565343,1000,0.031002261148545214,0.7167903498805984
18,PRUNED,0.5703874612404342,500,0.07144927374622803,0.8280581992904315
19,PRUNED,0.5757499794428282,1200,0.037264697056048006,0.9138932554324944
20,PRUNED,0.5820127103620122,300,0.017434175991021043,0.7704958652188649
21,PRUNED,0.5625502823020677,600,0.01458397054350935,0.8050860762167029
22,PRUNED,0.5219447193917183,600,0.023924244608145045,0.8088553180863294
23,PRUNED,0.5734376138102292,800,0.007370126923610614,0.688870330355289
24,PRUNED,0.5773468138108492,500,0.011528453480306936,0.7472223931930824
25,PRUNED,0.5668497189357173,300,0.02179080255757407,0.984634926024359
26,COMPLETE,0.5173549825276106,800,0.015397318943339813,0.9103453321483664
27,COMPLETE,0.5187888773787517,800,0.015155506976334375,0.931603916152222
28,PRUNED,0.5263944846201929,900,0.01610858225841423,0.94374649631742
29,PRUNED,0.56227319417016,800,0.024006798194539852,0.8754986180062629
30,PRUNED,0.5679574058583444,700,0.009189813124515039,0.8963495655247471
31,PRUNED,0.5677578723866726,900,0.06787082822463851,0.9582163615533998
32,COMPLETE,0.5151438064028226,1000,0.01382316757206274,0.8505834166508398
33,PRUNED,0.5250345130019256,1000,0.015397228216601241,0.8523445484396578
34,PRUNED,0.5831398785270219,800,0.006110760818263243,0.9080295926527505
35,COMPLETE,0.5186785285407807,1000,0.013557950643184415,0.9549322571591072
36,PRUNED,0.5200657725510581,1100,0.009933637228478584,0.9694712287928828
37,COMPLETE,0.5180852579772902,1000,0.007409640696255809,0.8421609651730583
38,PRUNED,0.5250661339468009,1200,0.007202452096968639,0.8420557247120303
39,PRUNED,0.5730037231269289,1100,0.005436444670135594,0.8661202155664944
40,PRUNED,0.5622732588194673,900,0.008854663769956802,0.7783646029610292
41,PRUNED,0.5519046352672259,1000,0.01102213608443426,0.824033142178431
42,PRUNED,0.5625962035078989,1000,0.013036585616788415,0.9969213925248543
43,PRUNED,0.519268758753691,1100,0.013736097112603048,0.8964973997679856
44,PRUNED,0.551381614391204,900,0.019995780653688608,0.9477833183698443
45,PRUNED,0.5248346401300434,1000,0.01088366673003082,0.8669006206883944
46,PRUNED,0.5679090448251551,1100,0.006447610442348467,0.8320408234062043
47,PRUNED,0.5516750700007391,900,0.017492747938574246,0.9255066085194731
48,PRUNED,0.5280528601179241,1200,0.027235618521434656,0.7480448797400894
49,PRUNED,0.554094884960572,1000,0.008180616350602297,0.6367861393932241
