feature,importance
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.06665159762579084
r⁺(excl Li⁺) - r⁻,0.06240895502902826
χ⁺(excl Li⁺) - χ⁻,0.06147233664198177
ρ⁺(excl Li⁺) (C m⁻³),0.05462123919673683
χₐₗₗ,0.04963581895283548
r⁺(incl Li⁺) - r⁻,0.04785207462183807
n_Li × r⁻ (pm),0.04411765946501292
field_x_r_diff,0.043809860801934525
r⁺(excl Li⁺) (pm),0.04377267516396914
χ⁺(incl Li⁺) - χ⁻,0.043414887669392395
rₐₗₗ (pm),0.042967948546904645
ρ⁺(incl Li⁺) / ρ⁻,0.040844801835619664
ρ⁺(incl Li⁺) (C m⁻³),0.04074094161130826
log_rho_ratio,0.0391057948275199
χ⁺(excl Li⁺),0.03855954097334918
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.03644397009570158
n_Li,0.03539008281955981
r⁺(incl Li⁺) / r⁻,0.03394719924612465
r⁺(incl Li⁺) (pm),0.03310232712652737
chi_range_x_r_avg,0.0322473731161707
r_ratio_x_chi_diff,0.031939602671691075
nₕₒₛₜ cₐₜᵢₒₙ,0.030595945773900467
r⁻ (pm),0.014935713143640849
χ⁻,0.01082975235422228
χₘₐₓ - χₘᵢₙ,0.01045405639177743
ρ⁻ (C m⁻³),0.010137844297462053
