trial,state,value,param_max_features_type,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.5805235368216597,log2,700,10.0,20,9,
1,COMPLETE,0.5683904428812452,sqrt,400,10.0,10,8,
2,COMPLETE,0.5512995781826933,float,700,10.0,15,5,0.42787024763199866
3,COMPLETE,0.5848456107628899,log2,1000,30.0,16,10,
4,COMPLETE,0.5351024670567093,float,300,15.0,12,2,0.4530955012311517
5,PRUNED,0.614802592894157,float,300,5.0,4,9,0.8633468615779945
6,COMPLETE,0.5579882533606779,sqrt,400,10.0,16,6,
7,COMPLETE,0.545776421822939,sqrt,500,30.0,6,5,
8,PRUNED,0.6151645389130671,sqrt,400,5.0,18,6,
9,COMPLETE,0.5208192282593156,log2,200,10.0,6,2,
10,COMPLETE,0.5177315252484285,log2,200,20.0,2,1,
11,COMPLETE,0.5177315252484285,log2,200,20.0,2,1,
12,COMPLETE,0.5177315252484286,log2,200,20.0,2,1,
13,COMPLETE,0.5281601404777062,log2,1000,20.0,2,3,
14,COMPLETE,0.5253207323683259,log2,600,20.0,8,1,
15,PRUNED,0.5777465361915126,log2,200,7.0,5,3,
16,PRUNED,0.5771946437366869,log2,300,,8,4,
17,COMPLETE,0.5158193614103321,log2,800,20.0,2,1,
18,PRUNED,0.5708797796462347,log2,800,20.0,12,3,
19,PRUNED,0.5792003347171913,float,900,15.0,4,7,0.9970262359174216
20,PRUNED,0.5823211986550695,log2,800,7.0,8,2,
21,COMPLETE,0.5165069291290192,log2,600,20.0,2,1,
22,COMPLETE,0.5189925198783216,log2,700,20.0,4,1,
23,COMPLETE,0.5185462470674771,log2,600,20.0,2,2,
24,PRUNED,0.5740553058878172,log2,900,,4,4,
25,COMPLETE,0.5202801621439301,log2,500,20.0,6,1,
26,PRUNED,0.5739492920011721,log2,800,20.0,3,4,
27,PRUNED,0.563119849078678,log2,600,20.0,7,3,
28,PRUNED,0.561179574953929,sqrt,900,20.0,10,2,
29,PRUNED,0.587654954313996,float,700,,20,1,0.6658098030519365
30,PRUNED,0.6098925901833369,log2,500,5.0,3,2,
31,COMPLETE,0.5154459105993907,log2,300,20.0,2,1,
32,COMPLETE,0.5171558923367402,log2,300,20.0,3,1,
33,COMPLETE,0.5187805745131695,log2,400,20.0,5,2,
34,PRUNED,0.5615366452603261,log2,300,30.0,3,3,
35,COMPLETE,0.5180722386114435,log2,500,15.0,5,1,
36,PRUNED,0.5898833942443695,float,400,7.0,3,8,0.6631591974836992
37,PRUNED,0.6104285670908932,sqrt,300,20.0,4,10,
38,PRUNED,0.570594719565213,log2,600,10.0,14,2,
39,PRUNED,0.5734105078993138,float,700,30.0,10,5,0.8549891443867176
40,PRUNED,0.6113641058672105,sqrt,1000,5.0,7,1,
41,COMPLETE,0.5154459105993907,log2,300,20.0,2,1,
42,PRUNED,0.5452432356002691,log2,300,20.0,3,2,
43,COMPLETE,0.5167147130326194,log2,400,20.0,2,1,
44,PRUNED,0.5493323234325376,log2,400,20.0,2,2,
45,COMPLETE,0.518577175414371,log2,400,20.0,5,1,
46,PRUNED,0.6017447052883155,log2,400,15.0,2,9,
47,COMPLETE,0.5204705691356619,log2,500,20.0,4,1,
48,PRUNED,0.5650238584110359,sqrt,200,10.0,2,3,
49,PRUNED,0.5778282122982008,log2,300,20.0,5,6,
