,median
χₐₗₗ,2.3158695652173913
χ⁻,3.44
χ⁺(excl Li⁺),1.9138000000000002
χ⁺(incl Li⁺) - χ⁻,-1.7454592803030304
χ⁺(excl Li⁺) - χ⁻,-1.5165000000000002
χₘₐₓ - χₘᵢₙ,2.46
rₐₗₗ (pm),111.96508658008656
r⁻ (pm),138.2
r⁺(incl Li⁺) (pm),61.04742870779144
r⁺(excl Li⁺) (pm),39.48
r⁺(excl Li⁺) - r⁻,-102.21
r⁺(incl Li⁺) - r⁻,-96.00555555555556
r⁺(incl Li⁺) / r⁻,0.33047501666883045
ρ⁻ (C m⁻³),28978758058.690765
ρ⁺(incl Li⁺) (C m⁻³),3828207380575.535
ρ⁺(excl Li⁺) (C m⁻³),21569626083373.28
ρ⁺(incl Li⁺) / ρ⁻,318.9706759478596
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.0506311828293252
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.1936962347800011
nₕₒₛₜ cₐₜᵢₒₙ,0.217391304347826
n_Li,0.2608695652173913
r_ratio_x_chi_diff,-0.548612084763249
log_rho_ratio,2.503544844514014
n_Li × r⁻ (pm),36.05217391304348
chi_range_x_r_avg,258.8382288213628
field_x_r_diff,-5.773601534263577
family,13.0
