feature,importance
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.18617358675985043
χₐₗₗ,0.18227320306770423
log_rho_ratio,0.1336211183229117
r⁺(excl Li⁺) - r⁻,0.09292290098302841
n_Li × r⁻ (pm),0.08374652753144436
r⁺(excl Li⁺) (pm),0.07304297679880095
chi_range_x_r_avg,0.048600330029696076
χ⁺(incl Li⁺) - χ⁻,0.041820206613540606
field_x_r_diff,0.0340084054813122
r⁺(incl Li⁺) - r⁻,0.02696374176952091
nₕₒₛₜ cₐₜᵢₒₙ,0.01948773964865738
ρ⁺(incl Li⁺) / ρ⁻,0.017985979075504355
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.016044256217712705
r_ratio_x_chi_diff,0.014602181163275265
χ⁺(excl Li⁺),0.009997248077624947
r⁺(incl Li⁺) (pm),0.006823812046038897
ρ⁺(excl Li⁺) (C m⁻³),0.006509191909717263
ρ⁻ (C m⁻³),0.0027427277586673095
r⁺(incl Li⁺) / r⁻,0.0026338667449918316
r⁻ (pm),0.0
χ⁺(excl Li⁺) - χ⁻,0.0
χₘₐₓ - χₘᵢₙ,0.0
rₐₗₗ (pm),0.0
χ⁻,0.0
ρ⁺(incl Li⁺) (C m⁻³),0.0
n_Li,0.0
family,0.0
