trial,state,value,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
0,COMPLETE,0.6879795631750033,3.0,27,10,log2
1,COMPLETE,0.6268279926715091,,10,10,log2
2,COMPLETE,0.7501311715326994,3.0,6,1,sqrt
3,COMPLETE,0.6555105117630557,5.0,28,4,
4,COMPLETE,0.62661348059783,5.0,28,2,log2
5,COMPLETE,0.6474596755413417,5.0,25,2,
6,PRUNED,0.7252308141502606,3.0,5,13,
7,COMPLETE,0.6387634715872729,10.0,22,12,sqrt
8,PRUNED,0.6830607937751094,15.0,16,14,log2
9,COMPLETE,0.6247267546260586,10.0,27,13,sqrt
10,COMPLETE,0.6085661674844134,10.0,18,6,sqrt
11,COMPLETE,0.5867776456897411,10.0,19,6,sqrt
12,COMPLETE,0.5765940047159258,20.0,17,6,sqrt
13,COMPLETE,0.5737999893061031,20.0,14,7,sqrt
14,COMPLETE,0.5737999893061031,20.0,13,7,sqrt
15,PRUNED,0.6458345780219779,20.0,12,8,sqrt
16,PRUNED,0.6458345780219779,20.0,11,8,sqrt
17,COMPLETE,0.6242863230889902,7.0,2,10,sqrt
18,COMPLETE,0.5568521220985431,20.0,14,4,sqrt
19,PRUNED,0.6384753222656168,20.0,8,4,
20,COMPLETE,0.5568521220985431,15.0,14,4,sqrt
21,PRUNED,0.6210520900797051,15.0,14,3,sqrt
22,COMPLETE,0.5702917815987334,15.0,21,4,sqrt
23,COMPLETE,0.5702917815987334,15.0,21,4,sqrt
24,COMPLETE,0.5800046167776206,15.0,21,5,sqrt
25,COMPLETE,0.5306179646108764,15.0,23,1,sqrt
26,COMPLETE,0.5488343486089791,,24,2,sqrt
27,COMPLETE,0.5370076840033787,,25,1,sqrt
28,PRUNED,0.6311186458686314,,25,1,
29,COMPLETE,0.5940597810546746,,30,2,log2
30,PRUNED,0.6105353312436551,,24,1,log2
31,COMPLETE,0.5743730854432613,,24,3,sqrt
32,COMPLETE,0.5680633497765755,,19,2,sqrt
33,COMPLETE,0.577458516489808,7.0,23,1,sqrt
34,COMPLETE,0.6199559758015909,,30,3,sqrt
35,PRUNED,0.6870840186318595,3.0,27,1,sqrt
36,PRUNED,0.6214312691595383,,26,3,log2
37,PRUNED,0.6237381711486026,5.0,29,2,sqrt
38,PRUNED,0.6377429338918976,,9,1,
39,COMPLETE,0.5816942116730616,7.0,20,5,sqrt
40,PRUNED,0.767469596896958,3.0,16,2,log2
41,PRUNED,0.5801791988561518,15.0,15,3,sqrt
42,COMPLETE,0.5850106069517115,15.0,23,5,sqrt
43,PRUNED,0.588037515748028,15.0,11,4,sqrt
44,PRUNED,0.6293361699455925,5.0,17,2,sqrt
45,PRUNED,0.6235057027839852,15.0,26,1,
46,PRUNED,0.5903442950090496,,28,11,sqrt
47,PRUNED,0.6308784968950328,10.0,18,15,sqrt
48,COMPLETE,0.6074583244987531,20.0,7,3,sqrt
49,PRUNED,0.5920820370422432,15.0,14,5,sqrt
