feature,importance
rₐₗₗ (pm),1224.0
χₐₗₗ,1212.0
r⁺(incl Li⁺) (pm),1197.0
χ⁺(excl Li⁺),1140.0
ρ⁺(incl Li⁺) (C m⁻³),1133.0
field_x_r_diff,1022.0
χ⁺(incl Li⁺) - χ⁻,844.0
ρ⁺(incl Li⁺) / ρ⁻,843.0
chi_range_x_r_avg,673.0
r⁺(excl Li⁺) - r⁻,659.0
r⁺(excl Li⁺) (pm),659.0
χ⁺(excl Li⁺) - χ⁻,650.0
ρ⁺(excl Li⁺) (C m⁻³),609.0
r_ratio_x_chi_diff,598.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),583.0
r⁺(incl Li⁺) / r⁻,534.0
r⁺(incl Li⁺) - r⁻,534.0
Φ⁺(excl Li⁺) (|Z| pm⁻¹),429.0
n_Li,416.0
family,315.0
nₕₒₛₜ cₐₜᵢₒₙ,311.0
n_Li × r⁻ (pm),227.0
r⁻ (pm),85.0
χₘₐₓ - χₘᵢₙ,59.0
ρ⁻ (C m⁻³),51.0
χ⁻,47.0
log_rho_ratio,0.0
