trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
0,COMPLETE,0.555829622920891,3,1600,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07
1,COMPLETE,0.5464095442237937,6,1300,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07
2,COMPLETE,0.6231748045649665,4,500,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936
3,COMPLETE,0.5694312649774279,4,500,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05
4,COMPLETE,0.539588679716583,7,300,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07
5,COMPLETE,0.5463037856340865,-1,2300,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892
6,PRUNED,0.6226144003200613,7,2300,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07
7,COMPLETE,0.5299019367639285,-1,2100,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416
8,PRUNED,0.5966245910668709,8,1400,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06
9,COMPLETE,0.5272837811233282,8,600,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788
10,PRUNED,0.6273323763560787,8,900,0.005141161689667175,61,6,0.5193625999805914,0.9788194588851228,0.001170095127026568,6.422747031120154
11,COMPLETE,0.5423131483896689,-1,1900,0.16376229504588932,42,11,0.7409481648316648,0.8716448625177555,31.631248486763358,0.44411365237381617
12,COMPLETE,0.5337460096778888,5,1000,0.0197027766883888,23,18,0.5271728788925418,0.6628399116503247,0.3861927813328524,0.051668030906657676
13,COMPLETE,0.557758384260296,10,1900,0.19410725866993564,63,25,0.8079088229913173,0.8962579519190287,2.2667735370964253,0.02376287165573294
14,PRUNED,0.5759967356372964,-1,2500,0.04353542121417287,41,14,0.6446926911519497,0.6668858550401968,38.876914068435774,4.5475498562931715
15,PRUNED,0.5856877329268717,8,1000,0.018223635218679916,53,30,0.8034060745027055,0.779590747337984,0.0027504422931558816,0.012947517659582833
16,COMPLETE,0.5171177468459174,5,1700,0.06094081339180363,15,5,0.571344938997578,0.9927779632219429,0.09235461274876476,0.4639709733971644
17,COMPLETE,0.5267696203705401,5,1700,0.049558038242968436,15,5,0.71804991678614,0.9783324854890414,0.008598523937072505,0.003043024892833342
18,COMPLETE,0.5162533417519654,5,1700,0.04952054909329921,15,5,0.5648358721881616,0.9962043918199787,0.13978241143951642,0.0007599831507126289
19,PRUNED,0.5834117029563626,5,1700,0.05993932117379265,12,37,0.5714728005332247,0.9390633980761001,0.10252259798278499,0.0001549064499689746
20,COMPLETE,0.5290634995092787,5,1300,0.11323753353722077,19,5,0.5617678175193244,0.9196483355228752,1.0460793504843455,1.9777723882838075e-05
21,PRUNED,0.5438349028478374,5,1700,0.04523466634323474,15,5,0.701068092481437,0.9956554131803611,0.10808681747253406,0.0025968692389102804
22,PRUNED,0.5463866219429712,5,1600,0.04905678849463182,16,11,0.6616703820622021,0.9701853709943459,0.005027318115178559,0.004339766717943242
23,PRUNED,0.5541493439734658,5,1900,0.0864970472498342,11,18,0.5646240894782892,0.8350969298196484,0.12335348170855455,0.27621044627521074
24,PRUNED,0.538156595354939,5,1500,0.04156150274004677,10,10,0.7515933259028084,0.9359679353741369,0.0505304620933468,8.284515316713983e-05
25,PRUNED,0.5697304770364253,3,1200,0.021277700780340577,8,15,0.5014228536772806,0.9940800258556209,0.2867392871171322,0.0015245370436606951
26,PRUNED,0.5482907103657148,6,2100,0.056579012898450125,33,22,0.5876862531009492,0.9045514402051564,0.014334826371354973,0.1313481766482998
27,PRUNED,0.5380289739239903,10,1800,0.038246792405478465,21,8,0.6744750625396454,0.9421505818923477,0.0010397153834984603,0.008546356156776925
28,COMPLETE,0.5314814113926324,5,2000,0.06591102313839751,15,14,0.7407119666074966,0.8255165333067809,0.003265289201420587,1.851754117870403
29,PRUNED,0.547896665831906,3,1500,0.07803753894312455,7,28,0.9634241080928327,0.7328707256909882,0.00856680410846983,4.4100386034787274e-06
30,PRUNED,0.5353873082165405,5,1700,0.02420490084740694,17,8,0.6002485821900794,0.8778434883600241,0.05594786346107906,2.5598491265815707e-08
31,PRUNED,0.5448415622725837,8,1200,0.03393420416834028,37,17,0.8545647668051739,0.8614904946752142,0.00872119636247806,0.0698989680872385
32,PRUNED,0.7100701360543819,8,800,0.015369800158309452,53,5,0.8256151031395499,0.9600732373708695,0.014657727199490636,18.30656339205155
33,COMPLETE,0.5229142612372655,6,700,0.026267895690406596,28,9,0.7696946680197025,0.9924541123377566,0.02741217811537367,0.0010013135508396254
