trial,state,value,param_hidden_layer_sizes,param_activation,param_alpha,param_learning_rate_init,param_max_iter
0,COMPLETE,0.8161701525719911,64_32,relu,1.951722464144947e-05,0.005399484409787433,1000
1,COMPLETE,0.8779343831674276,64,tanh,0.00420515645091387,0.0007309539835912913,1000
2,COMPLETE,0.8577489616863436,128_64_32,tanh,0.009163741808778781,0.0001238513729886094,500
3,COMPLETE,0.8685715810968698,64_32,tanh,0.0015876781526923994,0.00017541893487450815,1500
4,COMPLETE,0.8251255041463758,64_32,relu,0.7045683638454499,0.0035503048581283078,500
5,PRUNED,1.0508778153327585,64,tanh,0.00022737628102536837,0.004544383960336014,1500
6,COMPLETE,0.8117142703482706,128_64_32,relu,1.0656401760606452e-05,0.004274869455295219,1500
7,COMPLETE,0.8484239114204974,128_64_32,relu,2.078699690689778e-05,0.0004187594718900631,1000
8,PRUNED,0.9927598326787599,64,relu,0.07158728631500196,0.0009718319944817398,500
9,PRUNED,0.9819744672067069,128_64,tanh,0.00017638479543546866,0.000661859559718348,500
10,COMPLETE,0.7994918074278722,128_64_32,relu,0.00020039019559915802,0.0022005828785027445,1500
11,COMPLETE,0.8125405127512465,128_64_32,relu,0.00017246176066630517,0.002114739944106601,1500
12,PRUNED,0.8597268067353855,128_64_32,relu,1.158430759258224e-05,0.009619147451579959,1500
13,COMPLETE,0.7978170910701816,128_64_32,relu,6.517548473564775e-05,0.0020635457794589856,1500
14,PRUNED,0.8220602055083529,128_64,relu,0.000912414789211894,0.0018123086187879012,1500
15,COMPLETE,0.7943517222810719,128_64_32,relu,7.074339627815718e-05,0.0018915451688276475,1500
16,PRUNED,0.8279940408500427,128_64_32,relu,6.626767699240005e-05,0.0003413230969713884,1500
17,COMPLETE,0.7974503276119809,128_64_32,relu,0.0010284324547697086,0.002066673776819696,1500
18,COMPLETE,0.7284161219191133,128_64,relu,0.0206864328866495,0.009012133288491925,1500
19,PRUNED,0.830109619689919,128_64,relu,0.03148782639122028,0.007501054462493079,1000
20,PRUNED,0.7831783625418589,128_64,relu,0.15556246271648944,0.0014017799063535056,1500
21,PRUNED,0.7962153247083535,128_64,relu,0.012479850791033881,0.00301132237290063,1500
22,PRUNED,0.7867198559540365,128_64,relu,0.0007560323317646761,0.0014415160304286345,1500
23,PRUNED,0.9072030618814049,128_64_32,relu,0.003447139196461579,0.006186821524659142,1500
24,PRUNED,0.9068409406812286,128_64_32,relu,0.027059975006068427,0.0030784684245329314,1500
25,PRUNED,0.7947979447234991,128_64,relu,0.0005565700553302806,0.0009878287320191702,1500
26,PRUNED,1.0026446691449173,64,tanh,0.3100925512095,0.0003527801825542764,1500
27,COMPLETE,0.8034042451348077,64_32,relu,5.729196697170002e-05,0.009877816510203466,1500
28,PRUNED,0.7716292870155831,128_64_32,relu,0.0015898707484529129,0.0013472891274456452,500
29,COMPLETE,0.8240487876833142,64_32,relu,0.007442931567754584,0.005745166915218712,1000
30,PRUNED,0.7974683343000081,128_64,relu,0.04802478618082888,0.0007001892251921574,1000
31,COMPLETE,0.8091636147098888,128_64_32,relu,6.167806044176057e-05,0.0022474137995592246,1500
32,PRUNED,0.9061455288239928,128_64_32,relu,2.728326452908887e-05,0.0026906800418831354,1500
33,PRUNED,0.7867113296214083,128_64_32,relu,0.00037514145712412263,0.0016426540886255892,1500
34,PRUNED,0.9076154254531533,128_64_32,tanh,4.150785339259961e-05,0.0004950861288709239,1500
35,PRUNED,0.8599939936654616,128_64_32,relu,0.00011438860859668156,0.00022004743280793854,1500
36,PRUNED,1.0206153503022724,64,tanh,0.0022360720501701306,0.004106118324299951,500
37,PRUNED,0.7638515189079917,64_32,relu,0.010895562291208801,0.0010509963514701483,1500
38,PRUNED,0.8511594368031307,128_64_32,tanh,0.0053881321721884505,0.004876306660680408,1000
39,PRUNED,0.9594993250193388,128_64_32,relu,0.016337683570929566,0.0036674197119629074,1500
40,PRUNED,1.000014014957683,64,relu,0.00010472565955030922,0.0012065455084637779,500
41,PRUNED,0.8982213726417392,128_64_32,relu,0.0003424763661940005,0.0023497378984039035,1500
42,COMPLETE,0.8062266433324542,128_64_32,relu,0.00028121211898015535,0.0017680864547354536,1500
43,PRUNED,0.7820259606117003,128_64_32,relu,0.0011433617634441892,0.0008207456597761013,1500
44,PRUNED,0.7868146182540792,128_64_32,relu,9.431930466179182e-05,0.0020073636713877244,1500
45,PRUNED,0.8317031881642617,128_64_32,relu,3.5581937120645444e-05,0.00010488101410479353,1500
46,PRUNED,0.7900949379001441,64_32,relu,0.00016665121152553954,0.0026082550335523075,1500
47,PRUNED,0.8598841137123606,128_64,tanh,1.556949527288932e-05,0.006964876384059204,1500
48,PRUNED,0.9795272693253256,128_64_32,relu,0.0005133514813014956,0.003266572124779449,1000
49,COMPLETE,0.780037131554068,128_64_32,relu,0.0023108509081398013,0.0016304600374384916,500
