feature,importance
rₐₗₗ (pm),0.08118153521461521
chi_range_x_r_avg,0.07443084869893637
χ⁺(excl Li⁺) - χ⁻,0.06856999288417509
field_x_r_diff,0.059958671658216896
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.05150963233728899
χ⁺(incl Li⁺) - χ⁻,0.04971065960781049
χₐₗₗ,0.04402290288790603
r⁺(incl Li⁺) (pm),0.040073137791439624
n_Li,0.039110185326467775
n_Li × r⁻ (pm),0.03895255161115563
χ⁺(excl Li⁺),0.03832449698703364
family,0.03811508187702715
r⁺(incl Li⁺) - r⁻,0.037091263870840496
r⁺(incl Li⁺) / r⁻,0.036835579971847415
r⁺(excl Li⁺) - r⁻,0.03647519249238205
ρ⁺(excl Li⁺) (C m⁻³),0.035518992661486476
r_ratio_x_chi_diff,0.03441962495220569
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.03420073685731114
nₕₒₛₜ cₐₜᵢₒₙ,0.03360690246126522
ρ⁺(incl Li⁺) (C m⁻³),0.033094113331515136
r⁺(excl Li⁺) (pm),0.02332293409604619
ρ⁺(incl Li⁺) / ρ⁻,0.02239721930855871
log_rho_ratio,0.02049683935513233
ρ⁻ (C m⁻³),0.010530018420611627
χₘₐₓ - χₘᵢₙ,0.008275060284430653
r⁻ (pm),0.00590688357005088
χ⁻,0.0038689414842431645
