feature,importance
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.060542761197706144
r⁺(excl Li⁺) - r⁻,0.060247480728833
χ⁺(excl Li⁺) - χ⁻,0.05980389074968032
χₐₗₗ,0.05067797287820452
rₐₗₗ (pm),0.048703206175937305
r⁺(excl Li⁺) (pm),0.048026342608641845
n_Li × r⁻ (pm),0.04706913811946956
field_x_r_diff,0.045129328758475536
r⁺(incl Li⁺) - r⁻,0.044870070549625087
ρ⁺(excl Li⁺) (C m⁻³),0.04443870805356572
log_rho_ratio,0.04375985337773756
χ⁺(incl Li⁺) - χ⁻,0.04310392973226922
ρ⁺(incl Li⁺) / ρ⁻,0.040586193824027124
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.03929965283484616
r⁺(incl Li⁺) / r⁻,0.0344367556366398
ρ⁺(incl Li⁺) (C m⁻³),0.0337404667156664
r⁺(incl Li⁺) (pm),0.03352425471805523
χ⁺(excl Li⁺),0.03196889370014183
n_Li,0.03137936545010254
chi_range_x_r_avg,0.03064575023653028
r_ratio_x_chi_diff,0.030568099795859647
nₕₒₛₜ cₐₜᵢₒₙ,0.030377098873344336
family,0.017564326829155718
r⁻ (pm),0.017372908351438454
χ⁻,0.013373763827865813
ρ⁻ (C m⁻³),0.010475751627625578
χₘₐₓ - χₘᵢₙ,0.008314034648555221
