trial,state,value,param_max_features_type,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.5810769499384049,log2,700,10.0,20,9,
1,COMPLETE,0.5673261986406974,sqrt,400,10.0,10,8,
2,COMPLETE,0.5493880820024497,float,700,10.0,15,5,0.42787024763199866
3,COMPLETE,0.5853698688152102,log2,1000,30.0,16,10,
4,COMPLETE,0.533304025142418,float,300,15.0,12,2,0.4530955012311517
5,PRUNED,0.6158841583209946,float,300,5.0,4,9,0.8633468615779945
6,COMPLETE,0.5551662198514711,sqrt,400,10.0,16,6,
7,COMPLETE,0.5433792930916174,sqrt,500,30.0,6,5,
8,PRUNED,0.6167000544627982,sqrt,400,5.0,18,6,
9,COMPLETE,0.5136802817843453,log2,200,10.0,6,2,
10,COMPLETE,0.5189708961403764,log2,200,20.0,2,1,
11,COMPLETE,0.5189708961403764,log2,200,20.0,2,1,
12,COMPLETE,0.5216350423971949,log2,200,,7,3,
13,COMPLETE,0.5249152965019521,log2,1000,20.0,2,3,
14,PRUNED,0.5754890079732854,log2,600,7.0,8,1,
15,COMPLETE,0.5246677920086973,log2,200,20.0,5,3,
16,COMPLETE,0.5242897044075786,log2,300,15.0,9,1,
17,PRUNED,0.5772767575996929,log2,800,7.0,4,4,
18,PRUNED,0.562976056698433,log2,500,,13,2,
19,COMPLETE,0.5222214622114212,float,200,20.0,2,2,0.9970262359174216
20,PRUNED,0.5816976927436082,log2,900,10.0,4,7,
21,COMPLETE,0.5189708961403764,log2,200,20.0,2,1,
22,COMPLETE,0.5175132470943693,log2,300,20.0,6,1,
23,PRUNED,0.5715107665009507,log2,300,20.0,7,4,
24,COMPLETE,0.5162532677903199,log2,500,20.0,6,2,
25,PRUNED,0.5630820765388769,log2,500,20.0,10,2,
26,PRUNED,0.5674079742537841,log2,400,,6,4,
27,PRUNED,0.6062616370069768,log2,600,5.0,8,3,
28,PRUNED,0.5777801528600552,sqrt,600,7.0,11,2,
29,PRUNED,0.5824319178414791,float,300,10.0,20,4,0.6658098030519365
30,PRUNED,0.5589496937938633,log2,700,30.0,5,3,
31,COMPLETE,0.5130971905980309,log2,300,20.0,4,1,
32,COMPLETE,0.5147100393368942,log2,400,20.0,5,1,
33,COMPLETE,0.5158773509395562,log2,500,10.0,4,2,
34,PRUNED,0.5502846834060677,log2,400,10.0,4,2,
35,COMPLETE,0.5092945089770804,log2,400,10.0,3,1,
36,COMPLETE,0.5190273994062343,float,400,10.0,3,1,0.6631591974836992
37,PRUNED,0.5944720118943385,sqrt,300,15.0,3,8,
38,COMPLETE,0.5132711043189951,log2,400,10.0,5,1,
39,PRUNED,0.6055854157507041,float,300,10.0,8,10,0.8549891443867176
40,PRUNED,0.568047890507245,sqrt,400,10.0,13,1,
41,COMPLETE,0.5132711043189951,log2,400,10.0,5,1,
42,PRUNED,0.5485752369790051,log2,500,10.0,3,2,
43,PRUNED,0.5556152213389222,log2,300,10.0,7,1,
44,COMPLETE,0.5132711043189951,log2,400,10.0,5,1,
45,COMPLETE,0.5132711043189951,log2,400,10.0,5,1,
46,PRUNED,0.5990033891924675,log2,400,10.0,3,9,
47,PRUNED,0.5560532932361657,log2,600,30.0,5,3,
48,PRUNED,0.6098512910356422,sqrt,500,5.0,9,5,
49,COMPLETE,0.5092945089770804,log2,400,10.0,3,1,
