,median
χₐₗₗ,2.3158695652173913
χ⁻,3.44
χ⁺(excl Li⁺),1.9137999999999997
χ⁺(incl Li⁺) - χ⁻,-1.7454592803030304
χ⁺(excl Li⁺) - χ⁻,-1.5165
χₘₐₓ - χₘᵢₙ,2.46
rₐₗₗ (pm),111.96508658008656
r⁻ (pm),138.2
r⁺(incl Li⁺) (pm),61.04742870779144
r⁺(excl Li⁺) (pm),39.480000000000004
r⁺(excl Li⁺) - r⁻,-102.20999999999998
r⁺(incl Li⁺) - r⁻,-96.00555555555555
r⁺(incl Li⁺) / r⁻,0.3304750166688305
ρ⁻ (C m⁻³),28978758058.690765
ρ⁺(incl Li⁺) (C m⁻³),3828207380575.535
ρ⁺(excl Li⁺) (C m⁻³),21569626083373.28
ρ⁺(incl Li⁺) / ρ⁻,318.97067594785955
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.050631182829325244
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.19369623478000114
nₕₒₛₜ cₐₜᵢₒₙ,0.21739130434782608
n_Li,0.2608695652173913
r_ratio_x_chi_diff,-0.548612084763249
log_rho_ratio,2.503544844514014
n_Li × r⁻ (pm),36.052173913043475
chi_range_x_r_avg,258.8382288213628
field_x_r_diff,-5.773601534263577
ir_mean_square_all,13687.477546368507
d_mean_c,2.121212121212121
r_mean_l,91.18382352941177
s_mean_square_c,39.85245901639344
entropy_c_l,0.7842517230059751
Vs_variance_c_l,14791262373291.168
mp_variance_c_l,287848.6368
atwt_geometric_mean_all,19.221286961498457
