trial,state,value,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
0,COMPLETE,0.6807426109727546,3.0,27,10,log2
1,COMPLETE,0.6342256368273244,,10,10,log2
2,COMPLETE,0.6628342903705317,3.0,6,1,sqrt
3,COMPLETE,0.6369905232318473,5.0,28,4,
4,COMPLETE,0.5896172560766193,5.0,28,2,log2
5,COMPLETE,0.6273648372065477,5.0,25,2,
6,COMPLETE,0.6572416910559365,3.0,5,13,
7,COMPLETE,0.627472462389427,10.0,22,12,sqrt
8,PRUNED,0.7170700535933141,15.0,16,14,log2
9,COMPLETE,0.6282990231613068,10.0,27,13,sqrt
10,COMPLETE,0.600059484179078,7.0,18,6,log2
11,COMPLETE,0.600059484179078,7.0,18,6,log2
12,COMPLETE,0.6453421165676064,20.0,14,6,log2
13,COMPLETE,0.5925848839154615,7.0,19,4,log2
14,PRUNED,0.6557327769162195,7.0,22,3,log2
15,PRUNED,0.6567409641278668,5.0,30,4,log2
16,COMPLETE,0.5995401839858474,15.0,22,1,log2
17,COMPLETE,0.5996373349466559,20.0,11,7,log2
18,COMPLETE,0.5752617101340879,,24,4,
19,COMPLETE,0.6018255310832401,,24,9,
20,COMPLETE,0.5828469731237158,,30,3,
21,COMPLETE,0.5828469731237158,,30,3,
22,COMPLETE,0.5895407943374009,,30,5,
23,COMPLETE,0.570783781719262,,25,3,
24,PRUNED,0.605933711451627,,25,8,
25,PRUNED,0.6548141432989572,,21,3,
26,PRUNED,0.62768851127298,,25,5,
27,PRUNED,0.6448647260923175,,24,2,
28,COMPLETE,0.5684421197548202,,20,5,
29,COMPLETE,0.5912621737077954,,15,8,
30,COMPLETE,0.5684421197548202,,20,5,
31,COMPLETE,0.5684421197548202,,20,5,
32,COMPLETE,0.5684421197548202,,20,5,
33,COMPLETE,0.5896519862104868,,20,7,
34,COMPLETE,0.5855207419709111,,2,5,sqrt
35,PRUNED,0.641649358952761,3.0,13,10,
36,COMPLETE,0.5937789098235238,20.0,17,7,
37,COMPLETE,0.5643605933194608,10.0,20,5,
38,PRUNED,0.6451797797912303,10.0,17,9,sqrt
39,COMPLETE,0.578337342130288,10.0,10,6,
40,PRUNED,0.6165323814485973,10.0,20,4,
41,COMPLETE,0.5684421197548202,15.0,20,5,
42,PRUNED,0.6321111135538484,3.0,19,5,
43,COMPLETE,0.5887996829983925,10.0,22,7,
44,PRUNED,0.6351289126555473,5.0,16,6,
45,PRUNED,0.6228326566950886,,18,2,sqrt
46,PRUNED,0.6037179258431421,10.0,21,11,
47,PRUNED,0.6217252066140648,,23,15,
48,PRUNED,0.6048165889717799,15.0,14,4,
49,PRUNED,0.7241290641965009,3.0,19,6,sqrt
